id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year
0,"Stereolithography is a solid freeform technique (SFF) that was introduced in the late 1980s. Although many other techniques have been developed since then, stereolithography remains one of the most powerful and versatile of all SFF techniques. It has the highest fabrication accuracy and an increasing number of materials that can be processed is becoming available. In this paper we discuss the characteristic features of the stereolithography technique and compare it to other SFF techniques. The biomedical applications of stereolithography are reviewed, as well as the biodegradable resin materials that have been developed for use with stereolithography. Finally, an overview of the application of stereolithography in preparing porous structures for tissue engineering is given.",Ferry PW Melchels and Jan Feijen and Dirk W Grijpma,1502,6541872660049310383,,24,6121-6130,Elsevier,A review on stereolithography and its applications in biomedical engineering,https://www.sciencedirect.com/science/article/pii/S0142961210005661,31,2010
1,"This review covers new experimental and theoretical physical research related to the formation of polymeric membranes by phase separation of a polymer solution, and to the morphology of these membranes. Two main phase separation processes for polymeric membrane formation are discussed: thermally induced phase separation and immersion precipitation. Special attention is paid to phase transitions like liquid-liquid demixing, crystallization, gelation, and vitrification, and their relation to membrane morphology. In addition, the mass transfer processes involved in immersion precipitation, and their influence on membrane morphology are discussed.",P Van de Witte and PJ Dijkstra and JWA Van den Berg and J Feijen,1301,13732209564217571805,,1-2,1-31,Elsevier,Phase separation processes in polymer solutions in relation to membrane formation,https://www.sciencedirect.com/science/article/pii/0376738896000889,117,1996
2,"Differential scanning calorimetry (DSC) was performed on aqueous solutions of polyCZV-isopropylacrylamide-co-butyl methacrylate-co-X), with X being hydrophilic, hydrophobic, cationic, or anionic comonomers, to elucidate the mechanism of temperature-induced phase separation and the effect of comonomer content, hydrophilicity, and charge on the lower critical solution temperature (LCST). The endothermic heat of phase separation, which is related to the breaking of hydrogen bonds between water molecules surrounding hydrophobic moieties on the polymer, was a linear, decreasing function of the LCST. This suggests that the hydrophobic interactions between polymer side groups, which are the major driving force for phase separation, are enhanced at elevated temperatures due to a decrease in the structuring of water around hydrophobic side groups. It is concluded that the changes in LCST caused by the …",Herman Feil and You Han Bae and Jan Feijen and Sung Wan Kim,1132,10538482510930661980,Macromolecules,10,2496-2500,American Chemical Society,Effect of comonomer hydrophilicity and ionization on the lower critical solution temperature of N-isopropylacrylamide copolymers,https://pubs.acs.org/doi/pdf/10.1021/ma00062a016,26,1993
3,"In the past decade, polymersomes (also referred to as polymeric vesicles) have attracted rapidly growing interest based on their intriguing aggregation phenomena, cell and virus-mimicking dimensions and functions, as well as tremendous potential applications in medicine, pharmacy, and biotechnology. Unlike liposomes self-assembled from low molecular weight lipids, polymersomes are in general prepared from macromolecular amphiphiles of various architectures including amphiphilic diblock, triblock, graft and dendritic copolymers. Polymersomes exhibit very unique features highlighted with high stability, tunable membrane properties, versatility, and capacity of transporting hydrophilic as well as hydrophobic species such as anticancer drugs, genes, proteins, and diagnostic probes. Recently, much effort has been directed to the development of intelligent polymersomes that respond to internal or external …",Fenghua Meng and Zhiyuan Zhong and Jan Feijen,1069,10103632908696691678,,2,197-209,American Chemical Society,Stimuli-responsive polymersomes for programmed drug delivery,https://pubs.acs.org/doi/abs/10.1021/bm801127d,10,2009
4,"The past couple of years have witnessed a tremendous progress in the development of glutathione-responsive nano-vehicles for targeted intracellular drug and gene delivery, as driven by the facts that (i) many therapeutics (e.g. anti-cancer drugs, photosensitizers, and anti-oxidants) and biotherapeutics (e.g. peptide and protein drugs, and siRNA) exert therapeutical effects only inside cells like the cytosol and cell nucleus, and (ii) several intracellular compartments such as cytosol, mitochondria, and cell nucleus contain a high concentration of glutathione (GSH) tripeptides (about 2–10 mM), which is 100 to 1000 times higher than that in the extracellular fluids and circulation (about 2–20 μM). Glutathione has been recognized as an ideal and ubiquitous internal stimulus for rapid destabilization of nano-carriers inside cells to accomplish efficient intracellular drug release. In this paper, we will review recent results on …",Ru Cheng and Fang Feng and Fenghua Meng and Chao Deng and Jan Feijen and Zhiyuan Zhong,967,18251120183107114900,Journal of controlled release,1,2-12,Elsevier,Glutathione-responsive nano-vehicles as a promising platform for targeted intracellular drug and gene delivery,https://www.sciencedirect.com/science/article/pii/S0168365911000368,152,2011
5,"In the past few years, protein biochips have emerged as promising proteomic and diagnostic tools for obtaining information about protein functions and interactions. Important technological innovations have been made. However, considerable development is still required, especially regarding protein immobilization, in order to fully realize the potential of protein biochips. In fact, protein immobilization is the key to the success of microarray technology. Proteins need to be immobilized onto surfaces with high density in order to allow the usage of small amount of sample solution. Nonspecific protein adsorption needs to be avoided or at least minimized in order to improve detection performances. Moreover, full retention of protein conformation and activity is a challenging task to be accomplished. Although a large number of review papers on protein biochips have been published in recent years, few have focused on …",Federica Rusmini and Zhiyuan Zhong and Jan Feijen,939,6896005360347527390,,6,1775-1789,American Chemical Society,Protein immobilization strategies for protein biochips,https://pubs.acs.org/doi/abs/10.1021/bm061197b,8,2007
6,"A cross-linking method for collagen-based biomaterials was developed using the water-soluble carbodiimide 1-ethyl-3-(3-dimethyl aminopropyl) carbodiimide hydrochloride (EN). Cross-linking using EDC involves the activation of carboxylic acid groups to give 0-acylisourea groups, which form cross-links after reaction with free amine groups. Treatment of dermal sheep collagen (DSC) with EDC (E-DSC) resulted in materials with an increased shrinkage temperature (T5) and a decreased free amine group content, showing that cross-linking occurred. Addition of N-hydroxysuccinimide to the EDC-containing cross-linking solution (E/N-DSC) increased the rate of cross-linking. Cross-linking increased the 7, of non-cross-linked DSC samples from 56 to 73 C for E-DSC and to 66 C for E/N-DSC samples, respectively. For both cross-linking methods a linear relation between the decrease in free amine group content and the increase in Ts was observed. The tensile strength and the high strain modulus of E/N-DSC samples decreased upon cross-linking from 18 to 15 MPa and from 26 to 16 MPa, respectively. The elongation at break of E/N-DSC increased upon cross-linking from 142 to 180%.",LHH Olde Damink and PJ Dijkstra and MJA Van Luyn and PB Van Wachem and P Nieuwenhuis and J Feijen,882,12014178595900017569,Biomaterials,8,765-773,Elsevier,Cross-linking of dermal sheep collagen using a water-soluble carbodiimide,https://ris.utwente.nl/ws/files/6862443/Olde_Damink96cross.pdf,17,1996
7,"Meshes of collagen and/or elastin were successfully prepared by means of electrospinning from aqueous solutions. Flow rate, applied electric field, collecting distance and composition of the starting solutions determined the morphology of the obtained fibres. Addition of PEO (M w= 8× 1 0 6) and NaCl was always necessary to spin continuous and homogeneous fibres. Spinning a mixture of collagen and elastin resulted in fibres in which the single components could not be distinguished by SEM. Increasing the elastin content determined an increase in fibres diameters from 220 to 600 nm. The voltage necessary for a continuous production of fibres was dependent on the composition of the starting solution, but always between 10 and 25 kV. Under these conditions, non-woven meshes could be formed and a partial orientation of the fibres constituting the mesh was obtained by using a rotating tubular mandrel as …",Laura Buttafoco and Nico G Kolkman and Paula Engbers-Buijtenhuijs and Andreas A Poot and Pieter J Dijkstra and Istvan Vermes and Jan Feijen,661,13610862239659866655,Biomaterials,5,724-734,Elsevier,Electrospinning of collagen and elastin for tissue engineering applications,https://www.sciencedirect.com/science/article/pii/S0142961205005910,27,2006
8,The in vitro interaction of human endothelial cells (HEC) and polymers with different wettabilities in culture medium containing serum was investigated. Optimal adhesion of HEC generally occurred onto moderately wettable polymers. Within a series of cellulose type of polymers the cell adhesion increased with increasing contact angle of the polymer surfaces. Proliferation of HEC occurred when adhesion was followed by progressive flattening of the cells.,PB Van Wachem and T Beugeling and Jan Feijen and A Bantjes and JP Detmers and WG Van Aken,636,13936616111210333494,Biomaterials,6,403-408,Elsevier,Interaction of cultured human endothelial cells with polymeric surfaces of different wettabilities,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.987.9631&rep=rep1&type=pdf,6,1985
9,"The formation of Schiff bases during crosslinking of dermal sheep collagen (DSC) with glutaraldehyde (GA), their stability and their reactivity towards GA was studied. All available free amine groups had reacted with GA to form a Schiff base within 5 min after the start of the reaction under the conditions studied (0.5% (w/w) GA). Before crosslinks are formed the hydrolysable Schiff bases initially present were stabilized by further reaction with GA molecules. An increase in shrinkage temperature (T s) from 56°C for non-crosslinked DSC (N-DSC) to 78°C for GA crosslinked DSC (G-DSC) was achieved after crosslinking for 1 h. From the relationship between the free amine group content and the T s during crosslinking it was concluded that higher GA concentrations and longer reaction times will result in the introduction of pendant-GA-related molecules rather than crosslinks. After 24 h crosslinking an average …",LHH Olde Damink and PJ Dijkstra and MJA Van Luyn and PB Van Wachem and P Nieuwenhuis and J Feijen,558,17310682729377600094,Journal of materials science: materials in medicine,8,460-472,Kluwer Academic Publishers,Glutaraldehyde as a crosslinking agent for collagen-based biomaterials,https://link.springer.com/content/pdf/10.1007/BF00123371.pdf,6,1995
