id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
20000,"Each year, the American Heart Association (AHA), in conjunction with the Centers for Disease Control and Prevention, the National Institutes of Health, and other government agencies, brings together the most up-to-date statistics related to heart disease, stroke, and other cardiovascular and metabolic diseases and presents them in its Heart Disease and Stroke Statistical Update. The Statistical Update represents a critical resource for the lay public, policy makers, media professionals, clinicians, healthcare administrators, researchers, and others seeking the best available data on these conditions. Together, cardiovascular disease (CVD) and stroke produce immense health and economic burdens in the United States and globally. The Statistical Update brings together in a single document up-to-date information on the core health behaviors and health factors that define cardiovascular health; a range of major …",Dariush Mozaffarian and Emelia J Benjamin and Alan S Go and Donna K Arnett and Michael J Blaha and Mary Cushman and Sarah De Ferranti and Jean-Pierre Després and Heather J Fullerton and Virginia J Howard and Mark D Huffman and Suzanne E Judd and Brett M Kissela and Daniel T Lackland and Judith H Lichtman and Lynda D Lisabeth and Simin Liu and Rachel H Mackey and David B Matchar and Darren K McGuire and Emile R Mohler III and Claudia S Moy and Paul Muntner and Michael E Mussolino and Khurram Nasir and Robert W Neumar and Graham Nichol and Latha Palaniappan and Dilip K Pandey and Mathew J Reeves and Carlos J Rodriguez and Paul D Sorlie and Joel Stein and Amytis Towfighi and Tanya N Turan and Salim S Virani and Joshua Z Willey and Daniel Woo and Robert W Yeh and Melanie B Turner,32758,13697592986102470826,Circulation,4,434-441,Lippincott Williams & Wilkins,Executive summary: heart disease and stroke statistics—2015 update: a report from the American Heart Association,https://www.ahajournals.org/doi/abs/10.1161/CIR.0000000000000157,131,2015,/scholar?cites=13697592986102470826,wzvZQeIAAAAJ:dBIO0h50nwkC
20001,"Cardiovascular disease (CVD) is the leading cause of death in the United States and is responsible for 17% of national health expenditures. As the population ages, these costs are expected to increase substantially.To prepare for future cardiovascular care needs, the American Heart Association developed methodology to project future costs of care for hypertension, coronary heart disease, heart failure, stroke, and all other CVD from 2010 to 2030. This methodology avoided double counting of costs for patients with multiple cardiovascular conditions. By 2030, 40.5% of the US population is projected to have some form of CVD. Between 2010 and 2030, real (2008$) total direct medical costs of CVD are projected to triple, from $273 billion to $818 billion. Real indirect costs (due to lost productivity) for all CVD are estimated to increase from $172 billion in 2010 to $276 billion in …",Paul A Heidenreich and Justin G Trogdon and Olga A Khavjou and Javed Butler and Kathleen Dracup and Michael D Ezekowitz and Eric Andrew Finkelstein and Yuling Hong and S Claiborne Johnston and Amit Khera and Donald M Lloyd-Jones and Sue A Nelson and Graham Nichol and Diane Orenstein and Peter WF Wilson and Y Joseph Woo,3767,1293787987082254970,Circulation,8,933-944,Lippincott Williams & Wilkins,Forecasting the future of cardiovascular disease in the United States: a policy statement from the American Heart Association,https://www.ahajournals.org/doi/abs/10.1161/CIR.0b013e31820a55f5,123,2011,/scholar?cites=1293787987082254970,wzvZQeIAAAAJ:d1gkVwhDpl0C
20002,"In 1998 the medical costs of obesity were estimated to be as high as $78.5 billion, with roughly half financed by Medicare and Medicaid. This analysis presents updated estimates of the costs of obesity for the United States across payers (Medicare, Medicaid, and private insurers), in separate categories for inpatient, non-inpatient, and prescription drug spending. We found that the increased prevalence of obesity is responsible for almost $40 billion of increased medical spending through 2006, including $7 billion in Medicare prescription drug costs. We estimate that the medical costs of obesity could have risen to $147 billion per year by 2008.",Eric A Finkelstein and Justin G Trogdon and Joel W Cohen and William Dietz,3759,1369660331334407929,Health affairs,Suppl1,w822-w831,"Project HOPE-The People-to-People Health Foundation, Inc.","Annual Medical Spending Attributable To Obesity: Payer-And Service-Specific Estimates: Amid calls for health reform, real cost savings are more likely to be achieved through …",https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.28.5.w822,28,2009,/scholar?cites=1369660331334407929,wzvZQeIAAAAJ:u5HHmVD_uO8C
20003,,Emelia J Benjamin and Michael J Blaha and Stephanie E Chiuve and Mary Cushman and Sandeep R Das and Rajat Deo and Sarah D de Ferranti and James Floyd and Myriam Fornage and Cathleen Gillespie and Carmen R Isasi and Monik C Jiménez and Lori Chaffin Jordan and Suzanne E Judd and Daniel Lackland and Judith H Lichtman and Lynda Lisabeth and Simin Liu and Chris T Longenecker and Rachel H Mackey and Kunihiro Matsushita and Dariush Mozaffarian and Michael E Mussolino and Khurram Nasir and Robert W Neumar and Latha Palaniappan and Dilip K Pandey and Ravi R Thiagarajan and Mathew J Reeves and Matthew Ritchey and Carlos J Rodriguez and Gregory A Roth and Wayne D Rosamond and Comilla Sasson and Amytis Towfighi and Connie W Tsao and Melanie B Turner and Salim S Virani and Jenifer H Voeks and Joshua Z Willey and John T Wilkins and Jason Hy Wu and Heather M Alger and Sally S Wong and Paul Muntner,2730,14100364970459236610,Heart disease and stroke statistics-2017 update: a report from the American Heart Association. Circulation,10,e146-e603,,American heart association statistics committee and stroke statistics subcommittee,http://scholar.google.com/scholar?cluster=14100364970459236610&hl=en&oi=scholarr,135,2017,/scholar?cites=14100364970459236610,wzvZQeIAAAAJ:3htObqc8RwsC
20004,"Objective: To estimate the incidence and direct medical costs for fatal and non-fatal fall injuries among US adults aged ⩾65 years in 2000, for three treatment settings stratified by age, sex, body region, and type of injury.Methods: Incidence data came from the 2000 National Vital Statistics System, 2001 National Electronic Injury Surveillance System-All Injury Program, 2000 Health Care Utilization Program National Inpatient Sample, and 1999 Medical Expenditure Panel Survey. Costs for fatal falls came from Incidence and economic burden of injuries in the United States; costs for non-fatal falls were based on claims from the 1998 and 1999 Medicare fee-for-service 5% Standard Analytical Files. A case crossover approach was used to compare the monthly costs before and after the fall.Results: In 2000, there were almost 10 300 fatal and 2.6 million medically treated non-fatal fall related injuries. Direct medical costs …",Judy A Stevens and Phaedra S Corso and Eric A Finkelstein and Ted R Miller,1766,17959793290069885158,Injury prevention,5,290-295,BMJ Publishing Group Ltd,The costs of fatal and non-fatal falls among older adults,https://injuryprevention.bmj.com/content/12/5/290.short,12,2006,/scholar?cites=17959793290069885158,wzvZQeIAAAAJ:9yKSN-GCB0IC
20005,"We use a regression framework and nationally representative data to compute aggregate overweight- and obesity-attributable medical spending for the United States and for select payers. Combined, such expenditures account for 9.1 percent of total annual U.S. medical expenditures in 1998 and may be as high as $78.5 billion ($92.6 billion in 2002 dollars). Medicare and Medicaid finance approximately half of these costs.",Eric A Finkelstein and Ian C Fiebelkorn and Guijing Wang,1712,9125646531607953951,Health affairs,Suppl1,W3-219-W3-226,"Project HOPE-The People-to-People Health Foundation, Inc.","National Medical Spending Attributable To Overweight And Obesity: How Much, And Who's Paying? Further evidence that overweight and obesity are contributing to the nation's …",https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.W3.219,22,2003,/scholar?cites=9125646531607953951,wzvZQeIAAAAJ:u-x6o8ySG0sC
20006,"Injuries are one of the most serious public health problems facing the United States today. Through premature death, disability, medical cost and lost productivity, injuries impact the health and welfare of all Americans. Deaths only begin to tell the story. Although many injuries are minor, a large proportion result in fractures, amputations, burns, or other significant injuries that have far-reaching consequences. Now, for the first time in over 15 years, we have comprehensive estimates of the impact of these injuries in economic terms. This book updates a landmark Report to Congress from 1989. Since the report, no undertaking has addressed the incidence and economic burden of injuries with more timely data, despite major changes in the fields of prevention, reporting, and surveillance. Since the mid-eighties, new safety technologies have been developed to prevent injuries or to decrease the severity of injuries, and new policies and laws have been enacted to promote injury prevention. Chapter topics include incidence by detailed categorizations, lifetime medical costs and productivity losses as a result of injuries, and a discussion of recent trends. Lavishly illustrated with tables and graphs, this volume is a valuable reference for public health practitioners, researchers, and students alike.",Eric Finkelstein and Phaedra S Corso and Ted R Miller,1249,15656228355437332190,,,,"Oxford University Press, USA",The incidence and economic burden of injuries in the United States,http://books.google.com/books?hl=en&lr=&id=RW_nCwAAQBAJ&oi=fnd&pg=PR5&dq=info:3oY9ML0YRtkJ:scholar.google.com&ots=i3RBBh1FJt&sig=44J21pCi7l18y-x75c7ZqUuZj0k,,2006,/scholar?cites=15656228355437332190,wzvZQeIAAAAJ:lgwcVrK6X84C
20007,"Previous efforts to forecast future trends in obesity applied linear forecasts assuming that the rise in obesity would continue unabated. However, evidence suggests that obesity prevalence may be leveling off.This study presents estimates of adult obesity and severe obesity prevalence through 2030 based on nonlinear regression models. The forecasted results are then used to simulate the savings that could be achieved through modestly successful obesity prevention efforts.The study was conducted in 2009–2010 and used data from the 1990 through 2008 Behavioral Risk Factor Surveillance System (BRFSS). The analysis sample included nonpregnant adults aged ≥18 years. The individual-level BRFSS variables were supplemented with state-level variables from the U.S. Bureau of Labor Statistics, the American Chamber of Commerce Research Association, and the Census of …",Eric A Finkelstein and Olga A Khavjou and Hope Thompson and Justin G Trogdon and Liping Pan and Bettylou Sherry and William Dietz,1214,1532529785389167017,American journal of preventive medicine,6,563-570,Elsevier,Obesity and severe obesity forecasts through 2030,https://www.sciencedirect.com/science/article/pii/S0749379712001468,42,2012,/scholar?cites=1532529785389167017,wzvZQeIAAAAJ:zYLM7Y9cAGgC
20008,"The pandemic of physical inactivity is associated with a range of chronic diseases and early deaths. Despite the well documented disease burden, the economic burden of physical inactivity remains unquantified at the global level. A better understanding of the economic burden could help to inform resource prioritisation and motivate efforts to increase levels of physical activity worldwide.Direct health-care costs, productivity losses, and disability-adjusted life-years (DALYs) attributable to physical inactivity were estimated with standardised methods and the best data available for 142 countries, representing 93·2% of the world's population. Direct health-care costs and DALYs were estimated for coronary heart disease, stroke, type 2 diabetes, breast cancer, and colon cancer attributable to physical inactivity. Productivity losses were estimated with a friction cost approach for physical inactivity …",Ding Ding and Kenny D Lawson and Tracy L Kolbe-Alexander and Eric A Finkelstein and Peter T Katzmarzyk and Willem Van Mechelen and Michael Pratt and Lancet Physical Activity Series 2 Executive Committee,1108,5631905591585523585,The Lancet,10051,1311-1324,Elsevier,The economic burden of physical inactivity: a global analysis of major non-communicable diseases,https://www.sciencedirect.com/science/article/pii/S014067361630383X,388,2016,/scholar?cites=5631905591585523585,wzvZQeIAAAAJ:lmc2jWPfTJgC
20009,"Obesity is not only a health but also an economic phenomenon. This chapter (a) examines underlying economic causes, such as technological advancements, behind the obesity epidemic; (b) describes economic consequences of obesity, including increasing obesity-related medical expenditures; and (c) discusses the role of government in combating the obesity epidemic. Because of the high costs of obesity, and the fact that the majority of these costs are financed by taxpayers, there is a clear motivation for government to try to reduce these costs. However, because obesity may result from poor information and addictive behavior and/or as a result of living in an increasingly obesogenic environment, interventions will need to be multifaceted to ensure the best chance of success.",Eric A Finkelstein and Christopher J Ruhm and Katherine M Kosa,946,13699219769757140673,,,239-257,Annual Reviews,Economic causes and consequences of obesity,https://www.annualreviews.org/doi/abs/10.1146/annurev.publhealth.26.021304.144628,26,2005,/scholar?cites=13699219769757140673,wzvZQeIAAAAJ:UeHWp8X0CEIC
