id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year
5000,"Since the emergence of large aspect ratio and multifunctional conductive fillers, such as carbon nanotubes, graphene nanoplates, etc., conductive polymer composites (CPCs) have attracted increasing attention. Although the morphological control of conductive networks in CPCs has been extensively investigated as an important issue for the preparation of high performance CPCs, recent extensive progress has not been systematically addressed in any review. It has been observed that the morphological control of conductive networks during the preparation of CPCs has crucial influence on the electrical properties of these composites. Several methods have been shown to be able to control the network structure, and thus, tune the electrical properties of CPCs, including the use of shear, polymer blends, thermal annealing, mixed filler, latex particle etc. Moreover, many novel and exciting applications have been …",Hua Deng and Lin Lin and Mizhi Ji and Shuangmei Zhang and Mingbo Yang and Qiang Fu,414,5222006117865495393,,4,627-655,Pergamon,Progress on the morphological control of conductive network in conductive polymer composites and the use as electroactive multifunctional materials,https://www.sciencedirect.com/science/article/pii/S0079670013000877,39,2014
5001,"Recent advances in controlled/living polymerization techniques and highly efficient coupling chemistries have enabled the facile synthesis of complex polymer architectures with controlled dimensions and functionality. As an example, star polymers consist of many linear polymers fused at a central point with a large number of chain end functionalities. Owing to this exclusive structure, star polymers exhibit some remarkable characteristics and properties unattainable by simple linear polymers. Hence, they constitute a unique class of technologically important nanomaterials that have been utilized or are currently under audition for many applications in life sciences and nanotechnologies. This article first provides a comprehensive summary of synthetic strategies towards star polymers, then reviews the latest developments in the synthesis and characterization methods of star macromolecules, and lastly outlines …",Jing M Ren and Thomas G McKenzie and Qiang Fu and Edgar HH Wong and Jiangtao Xu and Zesheng An and Sivaprakash Shanmugam and Thomas P Davis and Cyrille Boyer and Greg G Qiao,406,5031967184122104543,,12,6743-6836,American Chemical Society,Star polymers,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.6b00008,116,2016
5002,"A combination of high-pressure compression molding plus salt-leaching was first proposed to prepare porous graphene/polystyrene composites. The specific shielding effectiveness of the lightweight composite was as high as 64.4 dB cm3 g−1, the highest value ever reported for polymer based EMI shielding materials at such a low thickness (2.5 mm).",Ding-Xiang Yan and Peng-Gang Ren and Huan Pang and Qiang Fu and Ming-Bo Yang and Zhong-Ming Li,393,8822582020220696979,Journal of Materials Chemistry,36,18772-18774,Royal Society of Chemistry,Efficient electromagnetic interference shielding of lightweight graphene/polystyrene composite,https://pubs.rsc.org/no/content/articlehtml/2012/jm/c2jm32692b,22,2012
5003,"Inorganic clay was investigated as a compatibilizer for immiscible poly(propylene)/polystyrene blends. A substantial decrease in the number of polystyrene particles was seen after adding small amounts of an organically treated clay (2–5 wt.‐%) to the blends. A possible mechanism for this kind of compatibilization is discussed, but these unique and completely new findings need further verification.        Schematic representation of the intercalated structure in PP/PS/OMMT blends: (a) PP and PS confined in the same gallery of OMMT, and (b) parts of PP and PS molecules located outside the gallery serving as a compatibilizer.   ",Yong Wang and Qin Zhang and Qiang Fu,361,15752593060058465287,Macromolecular rapid communications,3,231-235,WILEY‐VCH Verlag,Compatibilization of immiscible poly (propylene)/polystyrene blends using clay,https://onlinelibrary.wiley.com/doi/abs/10.1002/marc.200390026,24,2003
5004,"In this work, we established a one-step strategy to synthesize three-dimensional porous graphitic biomass carbon (PGBC) from bamboo char (BC), and studied its electrochemical performance as electrode materials for supercapacitors. Using potassium ferrate (K2FeO4) to fulfil the synchronous carbonization and graphitization of bamboo carbon, this method is less time-demanding, highly efficient and pollution-free, when compared with a conventional two-step strategy. The as-prepared PGBC sample possessed a porous structure with a large specific surface area (1732 m2 g−1) and abundant micropores, as well as a high graphitization degree demonstrated by XRD and Raman. Further electrochemical measurements revealed that the PGBC electrode exhibited a high specific capacitance of 222.0 F g−1 at 0.5 A g−1, and the solid-state symmetric supercapacitor in an aqueous electrolyte (KOH/PVA) presented …",Youning Gong and Delong Li and Chengzhi Luo and Qiang Fu and Chunxu Pan,350,1039340584310163025,Green Chemistry,17,4132-4140,Royal Society of Chemistry,Highly porous graphitic biomass carbon as advanced electrode materials for supercapacitors,https://pubs.rsc.org/en/content/articlehtml/2017/gc/c7gc01681f,19,2017
5005,"It won't stick! Aligned carbon nanotube films were used as templates in the dip coating of polymers for biomedical applications. The resulting nanostructured polymeric surfaces have excellent anti‐adhesion to blood platelets, good blood compatibility, and superhydrophobicity. The SEM image shows the side view of a film coated with a fluorinated poly(carbonate urethane); inset: a water drop profile.       ",Taolei Sun and Hong Tan and Dong Han and Qiang Fu and Lei Jiang,325,482186919565613379,Small,10,959-963,WILEY‐VCH Verlag,No platelet can adhere—largely improved blood compatibility on nanostructured superhydrophobic surfaces,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.200500095,1,2005
5006,"Polymer/filler composites have been widely used in various areas. One of the keys to achieve the high performance of these composites is good interfacial interaction between polymer matrix and filler. As a relatively new approach, the possibility to enhance polymer/filler interfacial interaction via crystallization of polymer on the surface of fillers, i.e., interfacial crystallization, is summarized and discussed in this paper. Interfacial crystallization has attracted tremendous interest in the past several decades, and some unique hybrid crystalline structures have been observed, including hybrid shish–kebab and hybrid shish–calabash structures in which the filler served as the shish and crystalline polymer as the kebab/calabash. Thus, the manipulation of the interfacial crystallization architecture offers a potential highly effective route to achieve strong polymer/filler interaction. This review is based on the latest development …",Nanying Ning and Sirui Fu and Wei Zhang and Feng Chen and Ke Wang and Hua Deng and Qin Zhang and Qiang Fu,281,17328767315095557448,,10,1425-1455,Pergamon,Realizing the enhancement of interfacial interaction in semicrystalline polymer/filler composites via interfacial crystallization,https://www.sciencedirect.com/science/article/pii/S0079670011001444,37,2012
5007,"It is widely believed that the trigonal β-form is favorable and effective for toughening isotactic polypropylene (iPP). Therefore, β-form content should be achieved as high as possible to realize excellent toughness in iPP. However, in this study, we demonstrate that the connection between crystallites might mainly determine the toughness of iPP instead of the β-crystal content. A new rare earth nucleator (WBG) was used to generate the rich β-crystalline structure in the compression-molded bars that were fabricated upon different molten temperatures (Tf). Interestingly, the increase in tensile elongation can be as large as 8 times for increased Tf. The polymorphic composition and overall crystallinity of β-nucleated iPP are almost independent of Tf. Nevertheless, the β-nucleated crystalline morphology has completely changed. Three types of β-crystalline morphology, namely, β-spherulite, β-transcrystalline entity, and …",Feng Luo and Chengzhen Geng and Ke Wang and Hua Deng and Feng Chen and Qiang Fu and Bing Na,239,16834163079822268866,Macromolecules,23,9325-9331,American Chemical Society,New understanding in tuning toughness of β-polypropylene: the role of β-nucleated crystalline morphology,https://pubs.acs.org/doi/abs/10.1021/ma901651f,42,2009
5008,"Controlling the interface interaction of polymer/filler is essential for the fabrication of high-performance polymer composites. In this work, a core–shell structured hybrid (SiO2–GO) was prepared and introduced into an epoxy polymer matrix as a new filler. The incorporation of the hybrid optimized the modulus, strength and fracture toughness of the composites simultaneously. The ultrathin GO shells coated on silica surfaces were regarded as the main reason for the enhancement. Located at the silica-epoxy interface, GO served as an unconventional coupling agent of the silica filler, which effectively enhanced the interfacial interaction of the epoxy/SiO2–GO composites, and thus greatly improved the mechanical properties of the epoxy resin. We believe this new and effective approach that using GO as a novel fillers surface modifier may open a novel interface design strategy for developing high performance …",Li Chen and Songgang Chai and Kai Liu and Nanying Ning and Jian Gao and Qianfa Liu and Feng Chen and Qiang Fu,236,917887048046391528,ACS applied materials & interfaces,8,4398-4404,American Chemical Society,Enhanced epoxy/silica composites mechanical properties by introducing graphene oxide to the interface,https://pubs.acs.org/doi/abs/10.1021/am3010576,4,2012
5009,"Inspired by an ancient reducing method used in textile production, sodium hydrosulfite was used to reduce graphite oxide as an efficient reducing agent in our work. The reduced materials were characterized by x-ray photoelectron spectroscopy, thermogravimetric analysis, wide-angle x-ray scattering, Raman spectroscopy, solid state 13 C NMR spectroscopy and electrical conductivity measurements, respectively. The results showed that graphite oxide can be reduced with sodium hydrosulfite in a few minutes, with a degree of reduction comparable to those achieved with hydrazine. It provides an efficient method to reduce graphite oxide and could be used as a method to prepare novel composites.",Tiannan Zhou and Feng Chen and Kai Liu and Hua Deng and Qin Zhang and Jiwen Feng and Qiang Fu,232,3854392779575053171,Nanotechnology,4,045704,IOP Publishing,A simple and efficient method to prepare graphene by reduction of graphite oxide with sodium hydrosulfite,https://iopscience.iop.org/article/10.1088/0957-4484/22/4/045704/meta,22,2010
