,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
29817,“Mini-mental state”: a practical method for grading the cognitive state of patients for the clinician,1975,Marshal F Folstein and Susan E Folstein and Paul R McHugh,12,Journal of psychiatric research,3,189-198,Pergamon,EXAMINATION of the mental state is essential in evaluating psychiatric patients. 1 Many investigators have added quantitative assessment of cognitive performance to the standard examination. and have documented reliability and validity of the several “clinical tests of the sensorium”. 2* 3 The available batteries are lengthy. For example. WITHERS and HINTON’S test includes 33 questions and requires about 30 min to administer and score. The standard WAIS requires even more time. However. elderly patients. particularly those with delirium or dementia syndromes. cooperate well only for short periods. 4 Therefore. we devised a simplified. scored form of the cognitive mental status examination. the “Mini-Mental State”(MMS) which includes eleven questions. requires only 5-10 min to administer. and is therefore practical to use serially and routinely. It is “mini” because it concentrates only on the cognitive aspects of mental functions. and excludes questions concerning mood. abnormal mental experiences and the form of thinking. But within the cognitive realm it is thorough.,True,3JsfnzsAAAAJ:QYdC8u9Cj1oC,91061,https://www.academia.edu/download/48794085/0022-3956_2875_2990026-620160913-28497-y2c5d5.pdf,889307938343557605,/scholar?cites=889307938343557605,,https://www.academia.edu/download/48794085/0022-3956_2875_2990026-620160913-28497-y2c5d5.pdf,0
29818,“Mini-mental state”: a practical method for grading the cognitive state of patients for the clinician,1975,Marshal F Folstein and Susan E Folstein and Paul R McHugh,12,Journal of psychiatric research,3,189-198,Pergamon,EXAMINATION of the mental state is essential in evaluating psychiatric patients. 1 Many investigators have added quantitative assessment of cognitive performance to the standard examination. and have documented reliability and validity of the several “clinical tests of the sensorium”. 2* 3 The available batteries are lengthy. For example. WITHERS and HINTON’S test includes 33 questions and requires about 30 min to administer and score. The standard WAIS requires even more time. However. elderly patients. particularly those with delirium or dementia syndromes. cooperate well only for short periods. 4 Therefore. we devised a simplified. scored form of the cognitive mental status examination. the “Mini-Mental State”(MMS) which includes eleven questions. requires only 5-10 min to administer. and is therefore practical to use serially and routinely. It is “mini” because it concentrates only on the cognitive aspects of mental functions. and excludes questions concerning mood. abnormal mental experiences and the form of thinking. But within the cognitive realm it is thorough.,True,3JsfnzsAAAAJ:4vMrXwiscB8C,91041,https://www.academia.edu/download/48794085/0022-3956_2875_2990026-620160913-28497-y2c5d5.pdf,889307938343557605,/scholar?cites=889307938343557605,,https://www.academia.edu/download/48794085/0022-3956_2875_2990026-620160913-28497-y2c5d5.pdf,0
29819,Clinical diagnosis of Alzheimer's disease: Report of the NINCDS‐ADRDA Work Group* under the auspices of Department of Health and Human Services Task Force on Alzheimer's Disease,1984,Guy McKhann and David Drachman and Marshall Folstein and Robert Katzman and Donald Price and Emanuel M Stadlan,34,Neurology,7,939-939,Wolters Kluwer Health. Inc. on behalf of the American Academy of Neurology,Clinical criteria for the diagnosis of Alzheimer9s disease include insidious onset and progressive impairment of memory and other cognitive functions. There are no motor. sensory. or coordination deficits early in the disease. The diagnosis cannot be determined by laboratory tests. These tests are important primarily in identifying other possible causes of dementia that must be excluded before the diagnosis of Alzheimer9s disease may be made with confidence. Neuropsychological tests provide confirmatory evidence of the diagnosis of dementia and help to assess the course and response to therapy. The criteria proposed are intended to serve as a guide for the diagnosis of probable. possible. and definite Alzheimer9s disease; these criteria will be revised as more definitive information becomes available.,True,3JsfnzsAAAAJ:wBLCggQE-ToC,30902,https://n.neurology.org/content/34/7/939.short,5501567859114976444,/scholar?cites=5501567859114976444,,,0
29820,Population-based norms for the Mini-Mental State Examination by age and educational level,1993,Rosa M Crum and James C Anthony and Susan S Bassett and Marshal F Folstein,269,Jama,18,2386-2391,American Medical Association,—To report the distribution of Mini-Mental State Examination (MMSE) scores by age and educational level.—National Institute of Mental Health Epidemiologic Catchment Area Program surveys conducted between 1980 and 1984.—Community populations in New Haven. Conn; Baltimore. Md; St Louis. Mo; Durham. NC; and Los Angeles. Calif.—A total of 18 056 adult participants selected by probability sampling within census tracts and households.—Summary scores for the MMSE are given in the form of mean. median. and percentile distributions specific for age and educational level.—The MMSE scores were related to both age and educational level. There was an inverse relationship between MMSE scores and age. ranging from a median of 29 for those 18 to 24 years of age. to 25 for individuals 80 years of age and older. The median …,True,3JsfnzsAAAAJ:dBIO0h50nwkC,3222,https://jamanetwork.com/journals/jama/article-abstract/405973,12209431701157466340,/scholar?cites=12209431701157466340,,https://pogoe.org/sites/default/files/Crum_Handout.pdf,0
29821,Limits of the ‘Mini-Mental State’as a screening test for dementia and delirium among hospital patients,1982,James C Anthony and Linda LeResche and Unaiza Niaz and Michael R Von Korff and Marshal F Folstein,12,Psychological medicine,2,397-408,Cambridge University Press,With a psychiatrist's standardized clinical diagnosis as the criterion. the'Mini-Mental State'Examination (MMSE) was 87% sensitive and 82% specific in detecting dementia and delirium among hospital patients on a general medical ward. The false positive ratio was 39% and the false negative ratio was 5%. All false positives had less than 9 years of education; many were 60 years of age or older. Performance on specific MMSE items was related to education or age. These findings confirm the MMSE's value as a screen instrument for dementia and delirium when later. more intensive diagnostic enquiry is possible; they reinforce earlier suggestions that the MMSE alone cannot yield a diagnosis for these conditions.,True,3JsfnzsAAAAJ:HIFyuExEbWQC,1561,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0033291700046730,5026573300603841239,/scholar?cites=5026573300603841239,,,0
29822,The telephone interview for cognitive status,1988,Jason Brandt and Miriam Spencer and Marshal Folstein,1,Neuropsychiatry Neuropsychol Behav Neurol,2,111-117,,"Instructions to Proctor In a couple of minutes. l am going to be asking [examinee's name] a number of different questions to test [his/her] thinking and memory. Before we start. I need to ask you whether the address l have for your current location is correct. Please don't repeat it out loud if [examinee's name] is in the room with you. since I will be asking [him/her] the same question in a few minutes. Is your current address [examinee's address]? If the answer is"" no"" please ask the proctor either to step into another room before giving you the correct address or to have the examinee leave the room briefly before giving you the address. Then go on to say. Please be sure that all papers. pencils. books. calendars. newspapers. and everything else that might provide distraction or visual cues are removed from [examinee's name] sight. Also. please be sure that the room is quiet; there should be no television. radio. or music …",True,3JsfnzsAAAAJ:cWzG1nlazyYC,1393,https://www.researchprotocols.org/api/download?filename=301bc45c9c7e62133bb131ea8535b190.pdf&alt_name=6660-99053-3-SP.pdf,3904022196429160135,/scholar?cites=3904022196429160135,,https://www.researchprotocols.org/api/download?filename=301bc45c9c7e62133bb131ea8535b190.pdf&alt_name=6660-99053-3-SP.pdf,0
29823,Mini-mental state examination,2002,Joseph R Cockrell and Marshal F Folstein,,Principles and practice of geriatric psychiatry,,140-141,Wiley & Sons. West Sussex,The Mini-Mental State Examination (MMSE) is a 10-minute bedside measure of impaired thinking in undeveloped. uneducated. diseased. or very old populations. The summed score of the individual items indicates the current severity of cognitive impairment. Deterioration in cognition is indicated by decreasing scores of repeated tests. Scores are reliable between tests and between raters1 and correlate with other mental tests. electroencephalography2. computerized tomography3. magnetic resonance imaging4. single photon emission computed tomography (SPECT) scan5. CSF proteins and enzymes6. 7 and brain biopsy synapse numbers8. To administer the MMSE. gain the patient’s cooperation by asking him if there is a memory problem and then asking permission to test his memory. During testing. praise successes and ignore failures so as to avoid emotional reactions that will compromise cooperation and performance.The items of the MMSE include tests of orientation. registration. recall. calculation and attention. naming. repetition. comprehension. reading. writing and drawing. Level of consciousness is rated on a scale from coma to fully alert. but the consciousness rating is not summed with the other items. If all items are answered correctly. the score is 30. The mean score for a community-dwelling population over 65 years of age is 27. with a standard deviation of 1.71. The score is lower in those who completed comparatively fewer years of education and who have diagnosable diseases9–11. Patients with dementia. delirium. mental retardation. Parkinson’s disease. stroke and some cases of depression score lower than normal …,True,3JsfnzsAAAAJ:mNrWkgRL2YcC,908,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.4452&rep=rep1&type=pdf#page=150,14393228287397544649,/scholar?cites=14393228287397544649,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.4452&rep=rep1&type=pdf#page=150,0
29824,Psychiatric symptoms and nursing home placement of patients with Alzheimer's disease.,1990,Cynthia Steele and Barry Rovner and Gary A Chase and Marshal Folstein,,The American journal of psychiatry,,,American Psychiatric Assn,Examined 210 community-dwelling patients with Alzheimer's disease as part of a longitudinal study. 25 of these Ss who were institutionalized over 3 yrs were matched to 25 Ss who were not institutionalized. and the groups were compared. Institutionalized Ss had higher scores on standardized psychiatric rating scales but not on formal neuropsychological tests of cognition. Potentially treatable (noncognitive) behavioral and psychiatric symptoms may be risk factors for institutionalization. and treating these symptoms might delay or prevent institutionalization of some patients.(PsycINFO Database Record (c) 2016 APA. all rights reserved),True,3JsfnzsAAAAJ:DJbcl8HfkQkC,892,https://psycnet.apa.org/record/1991-05682-001,9385519250079349210,/scholar?cites=9385519250079349210,,,0
29825,Effects of age on dopamine and serotonin receptors measured by positron tomography in the living human brain,1984,Dean F Wong and Henry N Wagner and Robert F Dannals and Jonathan M Links and J James Frost and Hayden T Ravert and Alan A Wilson and Arthur E Rosenbaum and Albert Gjedde and Kenneth H Douglass,226,Science,4681,1393-1396,American Association for the Advancement of Science,D2 dopamine and S2 serotonin receptors were imaged and measured in healthy human subjects by positron emission tomography after intravenous injection of 11C-labeled 3-N-methylspiperone. Levels of receptor in the caudate nucleus. putamen. and frontal cerebral cortex declined over the age span studied (19 to 73 years). The decline in D2 receptor in males was different from that in females.,True,3JsfnzsAAAAJ:0ngZmJvimKcC,837,https://science.sciencemag.org/content/226/4681/1393.abstract,15845615070681467162,/scholar?cites=15845615070681467162,,,0
29826,The meaning of cognitive impairment in the elderly,1985,Marshal Folstein and James C Anthony and Irma Parhad and Bonnie Duffy and Ernest M Gruenberg,33,Journal of the American Geriatrics Society,4,228-235,Blackwell Publishing Ltd,In order to determine the meaning of cognitive impairment in community dwelling elderly. 3.481 adults were interviewed in their homes using the Mini‐Mental State Examination. Ninety‐six per cent of the population aged 18–64 scored 23 or higher. whereas 80 per cent of the population 65 and over scored 23 or higher. Individuals with low scores were suffering from a variety of psychiatric disorders including dementia. Thirty‐three per cent of the elderly population scoring in the range of 0–23 had no diagnosable DSM‐III condition. Prevalence of dementia from all causes was 6.1 per cent of the population over age 65. Two per cent of the population over age 65 were diagnosed as having Alzheimer's disease,True,3JsfnzsAAAAJ:bKqednn6t2AC,725,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1532-5415.1985.tb07109.x,17280093218968364753,/scholar?cites=17280093218968364753,,https://www.polyu.edu.hk/cbs/rclcn/images/cdl_articles/F/Folstein_et_al._1985.pdf,0
