,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
122603,The potential and challenges of nanopore sequencing,2010,Daniel Branton and David W Deamer and Andre Marziali and Hagan Bayley and Steven A Benner and Thomas Butler and Massimiliano Di Ventra and Slaven Garaj and Andrew Hibbs and Xiaohua Huang and Stevan B Jovanovich and Predrag S Krstic and Stuart Lindsay and Xinsheng Sean Ling and Carlos H Mastrangelo and Amit Meller and John S Oliver and Yuriy V Pershin and J Michael Ramsey and Robert Riehn and Gautam V Soni and Vincent Tabard- Cossa and Meni Wanunu and Matthew Wiggin and Jeffery A Schloss,,,,261-268,,,True,K7wXsg0AAAAJ:d1gkVwhDpl0C,2499,,15361924623455269072,/scholar?cites=15361924623455269072,,,0,0,0
122604,Reproducible measurement of single-molecule conductivity,2001,XD Cui and A Primak and X Zarate and J Tomfohr and OF Sankey and Ana L Moore and Thomas A Moore and D Gust and Gari Harris and SM Lindsay,294,science,5542,571-574,American Association for the Advancement of Science,,True,K7wXsg0AAAAJ:u5HHmVD_uO8C,1627,,8701279290253048075,/scholar?cites=8701279290253048075,,,0,0,0
122605,Charge transfer on the nanoscale: current status,2003,David M Adams and Louis Brus and Christopher ED Chidsey and Stephen Creager and Carol Creutz and Cherie R Kagan and Prashant V Kamat and Marya Lieberman and Stuart Lindsay and Rudolph A Marcus and Robert M Metzger and ME Michel-Beyerle and John R Miller and Marshall D Newton and Debra R Rolison and Otto Sankey and Kirk S Schanze and James Yardley and Xiaoyang Zhu,107,,28,6668-6697,American Chemical Society,,True,K7wXsg0AAAAJ:u-x6o8ySG0sC,1158,,10129562260141732615,/scholar?cites=10129562260141732615,,,0,0,0
122606,Comparison of electronic transport measurements on organic molecules,2003,Adi Salomon and David Cahen and Stuart Lindsay and John Tomfohr and Vincent B Engelkes and C Daniel Frisbie,15,,22,1881-1890,WILEY‐VCH Verlag,,True,K7wXsg0AAAAJ:9yKSN-GCB0IC,1009,,6509145908347675434,/scholar?cites=6509145908347675434,,,0,0,0
122607,Molecular transport junctions: Clearing mists,2007,Stuart M Lindsay and Mark A Ratner,19,Advanced Materials,1,23-31,WILEY‐VCH Verlag,,True,K7wXsg0AAAAJ:IjCSPb-OGe4C,566,,16884987270066481065,/scholar?cites=16884987270066481065,,,0,0,0
122608,Conductance of single alkanedithiols: conduction mechanism and effect of molecule− electrode contacts,2006,Xiulan Li and Jin He and Joshua Hihath and Bingqian Xu and Stuart M Lindsay and Nongjian Tao,128,Journal of the American Chemical Society,6,2135-2141,American Chemical Society,,True,K7wXsg0AAAAJ:zYLM7Y9cAGgC,566,,12012358483244973225,/scholar?cites=12012358483244973225,,,0,0,0
122609,A magnetically driven oscillating probe microscope for operation in liquids,1996,Wenhai Han and SM Lindsay and Tianwei Jing,69,Applied Physics Letters,26,4111-4113,American Institute of Physics,,True,K7wXsg0AAAAJ:2osOgNQ5qMEC,564,,4278451490266460742,/scholar?cites=4278451490266460742,,,0,0,0
122610,A bond-fluctuation mechanism for stochastic switching in wired molecules,2003,Ganesh K Ramachandran and Theresa J Hopson and Adam M Rawlett and Larry A Nagahara and Alex Primak and Stuart M Lindsay,300,Science,5624,1413-1416,American Association for the Advancement of Science,,True,K7wXsg0AAAAJ:qjMakFHDy7sC,513,,7850936841180902277,/scholar?cites=7850936841180902277,,,0,0,0
122611,Self-assembled water-soluble nucleic acid probe tiles for label-free RNA hybridization assays,2008,Yonggang Ke and Stuart Lindsay and Yung Chang and Yan Liu and Hao Yan,319,Science,5860,180-183,American Association for the Advancement of Science,,True,K7wXsg0AAAAJ:0EnyYjriUFMC,477,,6167940599718251203,/scholar?cites=6167940599718251203,,,0,0,0
122612,Single molecule force spectroscopy in biology using the atomic force microscope,2000,Jordanka Zlatanova and Stuart M Lindsay and Sanford H Leuba,74,,1-2,37-61,Pergamon,,True,K7wXsg0AAAAJ:Tyk-4Ss8FVUC,469,,1911554660832358906,/scholar?cites=1911554660832358906,,,0,0,0
