,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1260180,CO2 electroreduction to ethylene via hydroxide-mediated copper catalysis at an abrupt interface,2018,Cao-Thang Dinh* and Thomas Burdyny* and Md Golam Kibria* and Ali Seifitokaldani* and Christine M Gabardo and F Pelayo García de Arquer and Amirreza Kiani and Jonathan P Edwards and Phil De Luna and Oleksandr S Bushuyev and Chengqin Zou and Rafael Quintero-Bermudez and Yuanjie Pang and David Sinton and Edward H Sargent,360,Science,6390,783-787,American Association for the Advancement of Science,Carbon dioxide (CO2) electroreduction could provide a useful source of ethylene. but low conversion efficiency. low production rates. and low catalyst stability limit current systems. Here we report that a copper electrocatalyst at an abrupt reaction interface in an alkaline electrolyte reduces CO2 to ethylene with 70% faradaic efficiency at a potential of −0.55 volts versus a reversible hydrogen electrode (RHE). Hydroxide ions on or near the copper surface lower the CO2 reduction and carbon monoxide (CO)–CO coupling activation energy barriers; as a result. onset of ethylene evolution at −0.165 volts versus an RHE in 10 molar potassium hydroxide occurs almost simultaneously with CO production. Operational stability was enhanced via the introduction of a polymer-based gas diffusion layer that sandwiches the reaction interface between separate hydrophobic and conductive supports. providing constant ethylene …,True,0Z3-2JoAAAAJ:LkGwnXOMwfcC,633,https://science.sciencemag.org/content/360/6390/783.abstract,3662738513090137271,/scholar?cites=3662738513090137271,,,https://tspace.library.utoronto.ca/bitstream/1807/90350/1/CO2%20electroreduction%20to_TSpace.pdf,0,0,0
1260181,Steering post-C–C coupling selectivity enables high efficiency electroreduction of carbon dioxide to multi-carbon alcohols,2018,Tao-Tao Zhuang and Zhi-Qin Liang and Ali Seifitokaldani and Yi Li and Phil De Luna and Thomas Burdyny and Fanglin Che and Fei Meng and Yimeng Min and Rafael Quintero-Bermudez and Cao Thang Dinh and Yuanjie Pang and Miao Zhong and Bo Zhang and Jun Li and Pei-Ning Chen and Xue-Li Zheng and Hongyan Liang and Wen-Na Ge and Bang-Jiao Ye and David Sinton and Shu-Hong Yu and Edward H Sargent,1,Nature Catalysis,6,421-428,Nature Publishing Group,Engineering copper-based catalysts that favour high-value alcohols is desired in view of the energy density. ready transport and established use of these liquid fuels. In the design of catalysts. much progress has been made to target the C–C coupling step; whereas comparatively little effort has been expended to target post-C–C coupling reaction intermediates. Here we report a class of core–shell vacancy engineering catalysts that utilize sulfur atoms in the nanoparticle core and copper vacancies in the shell to achieve efficient electrochemical CO 2 reduction to propanol and ethanol. These catalysts shift selectivity away from the competing ethylene reaction and towards liquid alcohols. We increase the alcohol-to-ethylene ratio more than sixfold compared with bare-copper nanoparticles. highlighting an alternative approach to electroproduce alcohols instead of alkenes. We achieve a C 2+ alcohol production rate of …,True,0Z3-2JoAAAAJ:Se3iqnhoufwC,239,https://www.nature.com/articles/s41929-018-0084-7,15335754508172066648,/scholar?cites=15335754508172066648,,,https://light.utoronto.ca/wp-content/uploads/2019/02/2018_-_nature_catalysis_-_steering_post-c-c_coupling_selectivity_enables_high_efficiency_electroreduction_of_carbon_dioxide_to_multi-carbon_alcohols.pdf,0,0,0
1260182,CO 2 reduction on gas-diffusion electrodes and why catalytic performance must be assessed at commercially-relevant conditions,2019,Thomas Burdyny and Wilson A Smith,12,,5,1442-1453,Royal Society of Chemistry,Electrocatalytic CO2 reduction has the dual-promise of neutralizing carbon emissions in the near future. while providing a long-term pathway to create energy-dense chemicals and fuels from atmospheric CO2. The field has advanced immensely in recent years. taking significant strides towards commercial realization. Catalyst innovations have played a pivotal role in these advances. with a steady stream of new catalysts providing gains in CO2 conversion efficiencies and selectivities of both C1 and C2 products. Comparatively few of these catalysts have been tested at commercially-relevant current densities (∼200 mA cm−2) due to transport limitations in traditional testing configurations and a research focus on fundamental catalyst kinetics. which are measured at substantially lower current densities. A catalyst's selectivity and activity. however. have been shown to be highly sensitive to the local reaction …,True,0Z3-2JoAAAAJ:KlAtU1dfN6UC,226,https://pubs.rsc.org/lv/content/articlehtml/2019/ee/c8ee03134g,12181637035198557283,/scholar?cites=12181637035198557283,,,https://pubs.rsc.org/lv/content/articlehtml/2019/ee/c8ee03134g,0,0,0
1260183,Hybrid membrane/cryogenic separation of oxygen from air for use in the oxy-fuel process,2010,Thomas Burdyny and Henning Struchtrup,35,Energy,5,1884-1897,Pergamon,The process of oxy-fuel combustion requires the separation of oxygen from air on a large scale for use in the combustion chamber. This separation is currently done through energy intensive cryogenic distillation. To reduce the overall energy requirements for air separation it is examined whether a hybrid membrane and cryogenic process be utilized instead. The examined process uses an O2/N2 permeable membrane to create oxygen enriched air. This enriched air is then turned into high purity oxygen using cryogenic distillation. Several arrangements of such a system are investigated and compared on a practical and thermodynamic level to the current cryogenic process in use. It is found that using a vacuum pump arrangement to draw air through the membrane has potential to reduce energy requirements from the current standard. It is also found that the hybrid system is more productive in small to medium …,True,0Z3-2JoAAAAJ:u5HHmVD_uO8C,164,https://www.sciencedirect.com/science/article/pii/S0360544209005532,10166120672850198065,/scholar?cites=10166120672850198065,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.604.891&rep=rep1&type=pdf,0,0,0
1260184,Copper nanocavities confine intermediates for efficient electrosynthesis of C3 alcohol fuels from carbon monoxide,2018,Tao-Tao Zhuang and Yuanjie Pang and Zhi-Qin Liang and Ziyun Wang and Yi Li and Chih-Shan Tan and Jun Li and Cao Thang Dinh and Phil De Luna and Pei-Lun Hsieh and Thomas Burdyny and Hui-Hui Li and Mengxia Liu and Yuhang Wang and Fengwang Li and Andrew Proppe and Andrew Johnston and Dae-Hyun Nam and Zhen-Yu Wu and Ya-Rong Zheng and Alexander H Ip and Hairen Tan and Lih-Juann Chen and Shu-Hong Yu and Shana O Kelley and David Sinton and Edward H Sargent,1,Nature Catalysis,12,946-951,Nature Publishing Group,The electrosynthesis of higher-order alcohols from carbon dioxide and carbon monoxide addresses the need for the long-term storage of renewable electricity; unfortunately. the present-day performance remains below what is needed for practical applications. Here we report a catalyst design strategy that promotes C3 formation via the nanoconfinement of C2 intermediates. and thereby promotes C2: C1 coupling inside a reactive nanocavity. We first employed finite-element method simulations to assess the potential for the retention and binding of C2 intermediates as a function of cavity structure. We then developed a method of synthesizing open Cu nanocavity structures with a tunable geometry via the electroreduction of Cu 2 O cavities formed through acidic etching. The nanocavities showed a morphology-driven shift in selectivity from C2 to C3 products during the carbon monoxide electroreduction. to reach a …,True,0Z3-2JoAAAAJ:5nxA0vEk-isC,109,https://www.nature.com/articles/s41929-018-0168-4,14749153405864972317,/scholar?cites=14749153405864972317,,,https://scholar.nctu.edu.tw/en/publications/copper-nanocavities-confine-intermediates-for-efficient-electrosy,0,0,0
1260185,Combined high alkalinity and pressurization enable efficient CO 2 electroreduction to CO,2018,Christine M Gabardo and Ali Seifitokaldani and Jonathan P Edwards and Cao-Thang Dinh and Thomas Burdyny and Md Golam Kibria and Colin P O’Brien and Edward H Sargent and David Sinton,11,Energy & Environmental Science,9,2531-2539,Royal Society of Chemistry,The electroreduction of carbon dioxide (CO2) to carbon monoxide (CO) is a promising strategy to utilize CO2 emissions while generating a high value product. Commercial CO2 electroreduction systems will require high current densities (>100 mA cm−2) as well as improved energetic efficiencies (EEs). achieved via high CO selectivity and lowered applied potentials. Here we report a silver (Ag)-based system that exhibits the lowest overpotential among CO2-to-CO electrolyzers operating at high current densities. 300 mV at 300 mA cm−2. with near unity selectivity. We achieve these improvements in voltage efficiency and selectivity via operation in a highly alkaline reaction environment (which decreases overpotentials) and system pressurization (which suppresses the generation of alternative CO2 reduction products). respectively. In addition. we report a new record for the highest half-cell EE (>80%) for CO …,True,0Z3-2JoAAAAJ:UebtZRa9Y70C,91,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee01684d,4054904365575134925,/scholar?cites=4054904365575134925,,,https://tspace.library.utoronto.ca/bitstream/1807/90125/1/Combined%20high%20alkalinity_TSpace.pdf,0,0,0
1260186,A Surface Reconstruction Route to High Productivity and Selectivity in CO2 Electroreduction toward C2+ Hydrocarbons,2018,Md Golam Kibria and Cao‐Thang Dinh and Ali Seifitokaldani and Phil De Luna and Thomas Burdyny and Rafael Quintero‐Bermudez and Michael B Ross and Oleksandr S Bushuyev and F Pelayo García de Arquer and Peidong Yang and David Sinton and Edward H Sargent,30,Advanced Materials,49,1804867,,Electrochemical carbon dioxide reduction (CO2) is a promising technology to use renewable electricity to convert CO2 into valuable carbon‐based products. For commercial‐scale applications. however. the productivity and selectivity toward multi‐carbon products must be enhanced. A facile surface reconstruction approach that enables tuning of CO2‐reduction selectivity toward C2+ products on a copper‐chloride (CuCl)‐derived catalyst is reported here. Using a novel wet‐oxidation process. both the oxidation state and morphology of Cu surface are controlled. providing uniformity of the electrode morphology and abundant surface active sites. The Cu surface is partially oxidized to form an initial Cu (I) chloride layer which is subsequently converted to a Cu (I) oxide surface. High C2+ selectivity on these catalysts are demonstrated in an H‐cell configuration. in which 73% Faradaic efficiency (FE) for C2+ products is …,True,0Z3-2JoAAAAJ:hqOjcs7Dif8C,87,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201804867,3186541056847453783,/scholar?cites=3186541056847453783,,,https://www.light.utoronto.ca/edit/files/kibria_et_al-2018-advanced_materials_oct.pdf,0,0,0
1260187,Hydronium-Induced Switching between CO2 Electroreduction Pathways,2018,Ali Seifitokaldani and Christine M Gabardo and Thomas Burdyny and Cao-Thang Dinh and Jonathan P Edwards and Md Golam Kibria and Oleksandr S Bushuyev and Shana O Kelley and David Sinton and Edward H Sargent,140,Journal of the American Chemical Society,11,3833-3837,American Chemical Society,Over a broad range of operating conditions. many CO2 electroreduction catalysts can maintain selectivity toward certain reduction products. leading to materials and surfaces being categorized according to their products; here we ask. is product selectivity truly a property of the catalyst? Silver is among the best electrocatalysts for CO in aqueous electrolytes. where it reaches near-unity selectivity. We consider the hydrogenations of the oxygen and carbon atoms via the two proton-coupled-electron-transfer processes as chief determinants of product selectivity; and find using density functional theory (DFT) that the hydronium (H3O+) intermediate plays a key role in the first oxygen hydrogenation step and lowers the activation energy barrier for CO formation. When this hydronium influence is removed. the activation energy barrier for oxygen hydrogenation increases significantly. and the barrier for carbon …,True,0Z3-2JoAAAAJ:_FxGoFyzp5QC,76,https://pubs.acs.org/doi/abs/10.1021/jacs.7b13542,14512348356272559659,/scholar?cites=14512348356272559659,,,https://tspace.library.utoronto.ca/bitstream/1807/82797/1/Hydronium-Induced%20Switching_TSpace.pdf,0,0,0
1260188,Nanomorphology-Enhanced Gas-Evolution Intensifies CO2 Reduction Electrochemistry,2017,Thomas Burdyny and Percival J Graham and Yuanjie Pang and Cao-Thang Dinh and Min Liu and Edward H Sargent and David Sinton,5,ACS Sustainable Chemistry & Engineering,5,4031-4040,American Chemical Society,Nanostructured CO2 reduction catalysts now achieve near-unity reaction selectivity at increasingly improved Tafel slopes and low overpotentials. With excellent surface reaction kinetics. these catalysts encounter CO2 mass transport limitations at current densities ca. 20 mA cm–2. We show here that – in addition to influencing reaction rates and local reactant concentration – the morphology of nanostructured electrodes enhances long-range CO2 transport via their influence on gas-evolution. Sharper needle morphologies can nucleate and release bubbles as small as 20 μm. leading to a 4-fold increase in the limiting current density compared to a nanoparticle-based catalyst alone. By extending this observation into a diffusion model that accounts for bubble-induced mass transport near the electrode’s surface. diffusive transport can be directly linked to current densities and operating conditions. identifying efficient …,True,0Z3-2JoAAAAJ:Tyk-4Ss8FVUC,68,https://pubs.acs.org/doi/abs/10.1021/acssuschemeng.7b00023,6117688245851478918,/scholar?cites=6117688245851478918,,,https://www.light.utoronto.ca/edit/files/acssuschemeng_7b00023.pdf,0,0,0
1260189,Introductory Guide to Assembling and Operating Gas Diffusion Electrodes for Electrochemical CO2 Reduction,2019,Kai Liu and Wilson A Smith and Thomas Burdyny,4,ACS energy letters,3,639-643,American Chemical Society,Aglobal transition away from energy dense and cheap fossil fuels will require the commercial implementation of numerous new energy technologies. each of which must be scaled to large enough sizes to impact existing markets and substantially lower global CO2 emissions. The electrochemical conversion of CO2 to chemicals. fuels. and feedstocks has shown enough promise in the past decade to justify both academic and industrial sectors to increase efforts to better assess the potential economic and technical feasibility of the technology. Intensifying the process toward an industrial scale can be achieved by higher production rates. either by simply increasing the total area of catalyst in a reactor or by increasing the reaction rate (current density) for a given area of catalyst. Both approaches will be needed to economically produce an industrial quantity of product in a single plant (eg.> 100 tons product/day). In …,True,0Z3-2JoAAAAJ:YOwf2qJgpHMC,58,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.9b00137,9023864248501570116,/scholar?cites=9023864248501570116,,,https://pubs.acs.org/doi/pdfplus/10.1021/acsenergylett.9b00137,0,0,0
