,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1091938,Pathogen recognition and innate immunity,2006,"['S Akira', 'S Uematsu', 'O Takeuchi']",0TG2laoAAAAJ |  | V8JiuA0AAAAJ,,,,,,Microorganisms that invade a vertebrate host are initially recognized by the innate immune system through germline-encoded pattern-recognition receptors (PRRs). Several classes of PRRs. including Toll-like receptors and cytoplasmic receptors. recognize distinct microbial,False,,11940,https://www.sciencedirect.com/science/article/pii/S0092867406001905,,"/scholar?cites=14742408706547850320&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S0092867406001905,0,0,0
1091939,Pattern recognition receptors and inflammation,2010,"['O Takeuchi', 'S Akira']",V8JiuA0AAAAJ | 0TG2laoAAAAJ,,,,,,Infection of cells by microorganisms activates the inflammatory response. The initial sensing of infection is mediated by innate pattern recognition receptors (PRRs). which include Toll-like receptors. RIG-I-like receptors. NOD-like receptors. and C-type lectin receptors. The,False,,6619,https://www.sciencedirect.com/science/article/pii/S0092867410000231,,"/scholar?cites=17429871908973328912&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S0092867410000231,0,0,0
1091940,Differential roles of MDA5 and RIG-I helicases in the recognition of RNA viruses,2006,"['H Kato', 'O Takeuchi', 'S Sato', 'M Yoneyama']", | V8JiuA0AAAAJ |  | z6NenD4AAAAJ,,,,,,The innate immune system senses viral infection by recognizing a variety of viral components (including double-stranded (ds) RNA) and triggers antiviral responses 1. 2. The cytoplasmic helicase proteins RIG-I (retinoic-acid-inducible protein I. also known as Ddx58),False,,3619,https://www.nature.com/articles/nature04734,,"/scholar?cites=17092403120378469193&as_sdt=5,33&sciodt=0,33&hl=en","https://groups.molbiosci.northwestern.edu/horvath/journClubArticles/JC_for_April%2021,%202006.pdf",0,0,0
1091941,Pathogen recognition and inflammatory signaling in innate immune defenses,2009,['TH Mogensen'],,,,,,,The innate immune system constitutes the first line of defense against invading microbial pathogens and relies on a large family of pattern recognition receptors (PRRs). which detect distinct evolutionarily conserved structures on pathogens. termed pathogen-associated,False,,2446,https://cmr.asm.org/content/22/2/240.short,,"/scholar?cites=6508966894997637525&as_sdt=5,33&sciodt=0,33&hl=en",https://cmr.asm.org/content/cmr/22/2/240.full.pdf,0,0,0
1091942,RIG-I-mediated antiviral responses to single-stranded RNA bearing 5'-phosphates,2006,"['A Pichlmair', 'O Schulz', 'CP Tan', 'TI Näslund']", | GANW6A0AAAAJ |  | ,,,,,,Double-stranded RNA (dsRNA) produced during viral replication is believed to be the critical trigger for activation of antiviral immunity mediated by the RNA helicase enzymes retinoic acid–inducible gene I (RIG-I) and melanoma differentiation–associated gene 5 (MDA5). We,False,,2358,https://science.sciencemag.org/content/314/5801/997.abstract,,"/scholar?cites=16864078691002031393&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/Friedemann_Weber/publication/6756122_RIG-I-Mediated_Antiviral_Responses_to_Single-Stranded_RNA_Bearing_5'-Phosphates/links/0fcfd5056fa16cf594000000/RIG-I-Mediated-Antiviral-Responses-to-Single-Stranded-RNA-Bearing-5-Phosphates.pdf,0,0,0
1091943,TLR signaling,2006,"['T Kawai', 'S Akira']", | 0TG2laoAAAAJ,,,,,,The Toll-like receptor (TLR) family plays an instructive role in innate immune responses against microbial pathogens. as well as the subsequent induction of adaptive immune responses. TLRs recognize specific molecular patterns found in a broad range of microbial,False,,2278,https://www.nature.com/articles/4401850,,"/scholar?cites=3376689145358198545&as_sdt=5,33&sciodt=0,33&hl=en",https://www.nature.com/articles/4401850,0,0,0
1091944,Innate immune recognition of viral infection,2006,"['T Kawai', 'S Akira']", | 0TG2laoAAAAJ,,,,,,Induction of the antiviral innate immune response depends on recognition of viral components by host pattern-recognition receptors. Members of the Toll-like receptor family have emerged as key sensors that recognize viral components such as nucleic acids. Toll,False,,1947,https://www.nature.com/articles/ni1303,,"/scholar?cites=11047953547939466443&as_sdt=5,33&sciodt=0,33&hl=en",https://www.nature.com/articles/ni1303,0,0,0
1091945,Pathogen recognition by the innate immune system,2011,"['H Kumar', 'T Kawai', 'S Akira']",FmH7LksAAAAJ |  | 0TG2laoAAAAJ,,,,,,Microbial infection initiates complex interactions between the pathogen and the host. Pathogens express several signature molecules. known as pathogen-associated molecular patterns (PAMPs). which are essential for survival and pathogenicity. PAMPs are sensed by,False,,1955,https://www.tandfonline.com/doi/abs/10.3109/08830185.2010.529976,,"/scholar?cites=8668990322115570841&as_sdt=5,33&sciodt=0,33&hl=en",https://www.academia.edu/download/48618136/Iljazovic1_1.pdf,0,0,0
1091946,Interferons and viruses: an interplay between induction. signalling. antiviral responses and virus countermeasures,2008,"['RE Randall', 'S Goodbourn']",wI8WUbIAAAAJ | ,,,,,,The interferon (IFN) system is an extremely powerful antiviral response that is capable of controlling most. if not all. virus infections in the absence of adaptive immunity. However. viruses can still replicate and cause disease in vivo. because they have some strategy for at,False,,1745,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.83391-0?TRACK=RSS,,"/scholar?cites=4037988515421431979&as_sdt=5,33&sciodt=0,33&hl=en",https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.83391-0?TRACK=RSS,0,0,0
1091947,IRFs: master regulators of signalling by Toll-like receptors and cytosolic pattern-recognition receptors,2006,"['K Honda', 'T Taniguchi']",2mP0zJkAAAAJ | ,,,,,,The interferon-regulatory factor (IRF) family of transcription factors was initially found to be involved in the induction of genes that encode type I interferons. IRFs have now been shown to have functionally diverse roles in the regulation of the immune system. Recently. the,False,,1628,https://www.nature.com/articles/nri1900?message=remove&newwindow=true,,"/scholar?cites=4197683095609506870&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1091948,Length-dependent recognition of double-stranded ribonucleic acids by retinoic acid–inducible gene-I and melanoma differentiation–associated gene 5,2008,"['H Kato', 'O Takeuchi', 'E Mikamo-Satoh', 'R Hirai']", | V8JiuA0AAAAJ |  | ,,,,,,The ribonucleic acid (RNA) helicases retinoic acid-inducible gene-I (RIG-I) and melanoma differentiation–associated gene 5 (MDA5) recognize distinct viral and synthetic RNAs. leading to the production of interferons. Although 5′-triphosphate single-stranded RNA is a,False,,1485,https://rupress.org/jem/article-abstract/205/7/1601/46724,,"/scholar?cites=2104704403102537511&as_sdt=5,33&sciodt=0,33&hl=en",https://rupress.org/jem/article/205/7/1601/46724,0,0,0
1091949,Immune signaling by RIG-I-like receptors,2011,"['YM Loo', 'M Gale Jr']", | JO6gCPIAAAAJ,,,,,,The RIG-I-like receptors (RLRs) RIG-I. MDA5. and LGP2 play a major role in pathogen sensing of RNA virus infection to initiate and modulate antiviral immunity. The RLRs detect viral RNA ligands or processed self RNA in the cytoplasm to trigger innate immunity and,False,,1440,https://www.sciencedirect.com/science/article/pii/S1074761311001877,,"/scholar?cites=12300775312331653629&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S1074761311001877,0,0,0
1091950,Intracellular pattern recognition receptors in the host response,2006,"['E Meylan', 'J Tschopp', 'M Karin']",_dwwoIwAAAAJ |  | xVvyb1gAAAAJ,,,,,,The innate immune system relies on its capacity to rapidly detect invading pathogenic microbes as foreign and eliminate them. Indeed. Toll-like receptors are a class of membrane receptors that sense extracellular microbes and trigger anti-pathogen signalling cascades,False,,1309,https://www.nature.com/articles/nature04946,,"/scholar?cites=10642565883591178967&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1091951,NF-κ B and the immune response,2006,"['MS Hayden', 'AP West', 'S Ghosh']",M3-rj3AAAAAJ | 83_h4E0AAAAJ | SyQ-MLQAAAAJ,,,,,,One of the primary physiological roles of nuclear factor-kappa B (NF-κB) is in the immune system. In particular. NF-κB family members control the transcription of cytokines and antimicrobial effectors as well as genes that regulate cellular differentiation. survival and,False,,1257,https://www.nature.com/articles/1209943,,"/scholar?cites=10973785980314274243&as_sdt=5,33&sciodt=0,33&hl=en",https://www.nature.com/articles/1209943,0,0,0
