,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1278664,Model-based control of HCCI engines using exhaust recompression,2009,Nikhil Ravi and Matthew J Roelle and Hsien-Hsin Liao and Adam F Jungkunz and Chen-Fang Chang and Sungbae Park and J Christian Gerdes,18,IEEE Transactions on Control Systems Technology,6,1289-1302,IEEE,Homogeneous charge compression ignition (HCCI) is one of the most promising piston-engine concepts for the future. providing significantly improved efficiency and emissions characteristics relative to current technologies. This paper presents a framework for controlling an HCCI engine with exhaust recompression and direct injection of fuel into the cylinder. A physical model is used to describe the HCCI process. with the model states being closely linked to the thermodynamic state of the cylinder constituents. Separability between the effects of the control inputs on the desired outputs provides an opportunity to develop a simple linear control scheme. where the fuel is used to control the work output and the valve timings are used to control the phasing of combustion. The controller is tested on both a single and multi-cylinder HCCI engine. demonstrating the value of a physical model-based control approach that …,True,am6Ec0wAAAAJ:Wp0gIr-vW9MC,84,https://ieeexplore.ieee.org/abstract/document/5356220/,182880984900801088,/scholar?cites=182880984900801088,,,,0,0,0
1278665,A physics-based approach to the control of homogeneous charge compression ignition engines with variable valve actuation,2005,GM Shaver and MJ Roelle and PA Caton and NB Kaahaaina and N Ravi and JP Hathout and J Ahmed and A Kojic and S Park and CF Edwards and JC Gerdes,6,International Journal of Engine Research,4,361-375,SAGE Publications,Homogeneous charge compression ignition (HCCI) is a promising low-temperature combustion strategy for reducing NOx emissions and increasing efficiency in internal combustion engines. However. HCCI has no direct combustion initiator and. when achieved by reinducting or trapping residual exhaust gas with a variable valve actuation (VVA) system. becomes a dynamic process as the temperature of the residual gas couples one cycle to the next. These characteristics of residual-affected HCCI present a challenge for control engineers and a barrier to implementing HCCI in a production engine. In order to address these challenges. this paper outlines physics-based control strategies for both the VVA system and the HCCI combustion process. The results show that VVA system control can provide arbitrary valve timings on a cycle-to-cycle basis. enabling tight control of HCCI. By abstracting these valve timings …,True,am6Ec0wAAAAJ:QIV2ME_5wuYC,72,https://journals.sagepub.com/doi/abs/10.1243/146808705x30512,13947487295280326425,/scholar?cites=13947487295280326425,,,https://www.researchgate.net/profile/Greg_Shaver/publication/245394863_A_physics-based_approach_to_the_control_of_homogeneous_charge_compression_ignition_engines_with_variable_valve_actuation/links/540220c10cf23d9765a52717/A-physics-based-approach-to-the-control-of-homogeneous-charge-compression-ignition-engines-with-variable-valve-actuation.pdf,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1278666,Mechanism of combustion dynamics in a backward-facing step stabilized premixed flame,2005,Ahmed F Ghoniem and Sungbae Park and Adam Wachsman and Anuradha Annaswamy and Daehyun Wee and H Murat Altay,30,Proceedings of the Combustion Institute,2,1783-1790,Elsevier,Combustion dynamics leading to thermoacoustic instability in a rearward-facing step stabilized premixed flame is experimentally examined with the objective of investigating the fluid dynamic mechanism that drives heat release rate fluctuations. and how it couples with the acoustic field. The field is probed visually. using linear photodiode arrays that capture the spatiotemporal distribution of CH* and OH*; an equivalence ratio monitor; and a number of pressure sensors. Results show resonance between the acoustic quarter wave mode of the combustion tunnel and a fluid dynamic mode of the wake. Under unstable conditions. the flame is convoluted around a large vortex that extends several step heights downstream. During a typical cycle. while the velocity is decreasing. the vortex grows. and the flame extends downstream around its outer edge. As the velocity reaches its minimum. becoming mostly negative. the …,True,am6Ec0wAAAAJ:8k81kl-MbHgC,70,https://www.sciencedirect.com/science/article/pii/S008207840400253X,6287807004454183723,/scholar?cites=6287807004454183723,,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1278667,Stability and emissions control using air injection and H2 addition in premixed combustion,2005,Ahmed F Ghoniem and Anuradha Annaswamy and Sungbae Park and Ziaieh C Sobhani,30,Proceedings of the Combustion Institute,2,1765-1773,Elsevier,We experimentally study lean premixed combustion stabilized behind a backward-facing step. For a propane–air mixture. the lean blowout limit is associated with strong pressure fluctuation arising simultaneously with strong flame–vortex interactions. which have been shown to constitute the mechanism of heat release dynamics in this flow. A high-speed air jet. issuing from a small slot and injected perpendicular to the main flow near the step. is used to disrupt this mechanism. For momentum ratio of jet to main flow below unity. the jet dilutes the mixture. further destabilizing the flame or leading to complete blowout. Above unity. the flame becomes more stable. and the pressure oscillations are suppressed. Flow visualization and OH*/CH* chemiluminescence measurements show that a strong jet produces a more compact flame that is less driven by the wake vortex. anchored closer to the step. and deflected upwards …,True,am6Ec0wAAAAJ:W7OEmFMy1HYC,67,https://www.sciencedirect.com/science/article/pii/S0082078404002279,1667266534265665747,/scholar?cites=1667266534265665747,,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1278668,Optimal control of a swirl-stabilized spray combustor using system identification approach,2003,S Murugappan and S Acharya and DC Allgood and S Park and AM Annaswamy and AF Ghoniem,175,Combustion Science and Technology,1,55-81,Taylor & Francis Group,An optimal controller using the system identification (SI) method was developed for a swirl-stabilized spray combustor operating between 30 and 114 kW. The efficacy of the controller was tested with two different nozzle configurations. The first consisted of a dual-feed nozzle whose primary fuel stream was utilized to sustain combustion. while the secondarystreamwasused for active control. The second configuration used a single-feed nozzle with two different swirling air streams. An LQG-LTR (linear quadratic Gaussian-loop transfer recovery) controller was designed using the SI-based model to determine the active control input. which was in turn used to modulate the secondary fuel stream. Using this controller. the thermoacoustic oscillations. which occurred under lean operating conditions. were reduced to the background noise level. A time-delay controller was also implemented for comparison purposes …,True,am6Ec0wAAAAJ:hqOjcs7Dif8C,53,https://www.tandfonline.com/doi/abs/10.1080/00102200302360,5429785547951984834,/scholar?cites=5429785547951984834,,,https://www.researchgate.net/profile/Ahmed_Ghoniem2/publication/237218638_Optimal_control_of_a_swirl-stabilized_spray_combustor_using_system_identification_approach/links/00b7d5287afef7a12e000000/Optimal-control-of-a-swirl-stabilized-spray-combustor-using-system-identification-approach.pdf,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
