,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1231676,Variant of transcription factor 7-like 2 (TCF7L2) gene confers risk of type 2 diabetes,2006,Struan FA Grant and Gudmar Thorleifsson and Inga Reynisdottir and Rafn Benediktsson and Andrei Manolescu and Jesus Sainz and Agnar Helgason and Hreinn Stefansson and Valur Emilsson and Anna Helgadottir and Unnur Styrkarsdottir and Kristinn P Magnusson and G Bragi Walters and Ebba Palsdottir and Thorbjorg Jonsdottir and Thorunn Gudmundsdottir and Arnaldur Gylfason and Jona Saemundsdottir and Robert L Wilensky and Muredach P Reilly and Daniel J Rader and Yu Bagger and Claus Christiansen and Vilmundur Gudnason and Gunnar Sigurdsson and Unnur Thorsteinsdottir and Jeffrey R Gulcher and Augustine Kong and Kari Stefansson,38,Nature genetics,3,320-323,Nature Publishing Group,,True,b9__3zUAAAAJ:u5HHmVD_uO8C,2412,,4169999808542489740,/scholar?cites=4169999808542489740,,,0,0,0
1231677,Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis,2011,Stephen Sawcer and Garrett Hellenthal and Matti Pirinen and Chris CA Spencer and Nikolaos A Patsopoulos and Loukas Moutsianas and Alexander Dilthey and Zhan Su and Colin Freeman and Sarah E Hunt and Sarah Edkins and Emma Gray and David R Booth and Simon C Potter and An Goris and Gavin Band and Annette Bang Oturai and Amy Strange and Janna Saarela and Céline Bellenguez and Bertrand Fontaine and Matthew Gillman and Bernhard Hemmer and Rhian Gwilliam and Frauke Zipp and Alagurevathi Jayakumar and Roland Martin and Stephen Leslie and Stanley Hawkins and Eleni Giannoulatou and Sandra D’alfonso and Hannah Blackburn and Filippo Martinelli Boneschi and Jennifer Liddle and Hanne F Harbo and Marc L Perez and Anne Spurkland and Matthew J Waller and Marcin P Mycko and Michelle Ricketts and Manuel Comabella and Naomi Hammond and Ingrid Kockum and Owen T McCann and Maria Ban and Pamela Whittaker and Anu Kemppinen and Paul Weston and Clive Hawkins and Sara Widaa and John Zajicek and Serge Dronov and Neil Robertson and Suzannah J Bumpstead and Lisa F Barcellos and Rathi Ravindrarajah and Roby Abraham and Lars Alfredsson and Kristin Ardlie and Cristin Aubin and Amie Baker and Katharine Baker and Sergio E Baranzini and Laura Bergamaschi and Roberto Bergamaschi and Allan Bernstein and Achim Berthele and Mike Boggild and Jonathan P Bradfield and David Brassat and Simon A Broadley and Dorothea Buck and Helmut Butzkueven and Ruggero Capra and William M Carroll and Paola Cavalla and Elisabeth G Celius and Sabine Cepok and Rosetta Chiavacci and Françoise Clerget-Darpoux and Katleen Clysters and Giancarlo Comi and Mark Cossburn and Isabelle Cournu-Rebeix and Mathew B Cox and Wendy Cozen and Bruce AC Cree and Anne H Cross and Daniele Cusi and Mark J Daly and Emma Davis and Paul IW De Bakker and Marc Debouverie and Marie Beatrice D’hooghe and Katherine Dixon and Rita Dobosi and Bénédicte Dubois and David Ellinghaus and Irina Elovaara and Federica Esposito and Claire Fontenille and Simon Foote and Andre Franke and Daniela Galimberti and Angelo Ghezzi and Joseph Glessner and Refujia Gomez and Olivier Gout and Colin Graham and Struan FA Grant and Franca Rosa Guerini and Hakon Hakonarson and Per Hall and Anders Hamsten and Hans-Peter Hartung and Rob N Heard and Simon Heath and Jeremy Hobart and Muna Hoshi and Carmen Infante-Duarte and Gillian Ingram and Wendy Ingram and Talat Islam and Maja Jagodic and Michael Kabesch and Allan G Kermode and Trevor J Kilpatrick and Cecilia Kim and Norman Klopp and Keijo Koivisto and Malin Larsson and Mark Lathrop and Jeannette S Lechner-Scott and Maurizio A Leone and Virpi Leppä and Ulrika Liljedahl and Izaura Lima Bomfim and Robin R Lincoln and Jenny Link and Jianjun Liu and Åslaug R Lorentzen and Sara Lupoli and Fabio Macciardi and Thomas Mack and Mark Marriott and Vittorio Martinelli and Deborah Mason and Jacob L McCauley and Frank Mentch and Inger-Lise Mero,476,Nature,7359,214,Nature Publishing Group,,True,b9__3zUAAAAJ:u-x6o8ySG0sC,2344,,7783309922267322453,/scholar?cites=7783309922267322453,,,0,0,0
1231678,PennCNV: an integrated hidden Markov model designed for high-resolution copy number variation detection in whole-genome SNP genotyping data,2007,Kai Wang and Mingyao Li and Dexter Hadley and Rui Liu and Joseph Glessner and Struan FA Grant and Hakon Hakonarson and Maja Bucan,17,Genome research,11,1665-1674,Cold Spring Harbor Lab,,True,b9__3zUAAAAJ:d1gkVwhDpl0C,1660,,6238364513238573217,/scholar?cites=6238364513238573217,,,0,0,0
1231679,Autism genome-wide copy number variation reveals ubiquitin and neuronal genes,2009,Joseph T Glessner and Kai Wang and Guiqing Cai and Olena Korvatska and Cecilia E Kim and Shawn Wood and Haitao Zhang and Annette Estes and Camille W Brune and Jonathan P Bradfield and Marcin Imielinski and Edward C Frackelton and Jennifer Reichert and Emily L Crawford and Jeffrey Munson and Patrick MA Sleiman and Rosetta Chiavacci and Kiran Annaiah and Kelly Thomas and Cuiping Hou and Wendy Glaberson and James Flory and Frederick Otieno and Maria Garris and Latha Soorya and Lambertus Klei and Joseph Piven and Kacie J Meyer and Evdokia Anagnostou and Takeshi Sakurai and Rachel M Game and Danielle S Rudd and Danielle Zurawiecki and Christopher J McDougle and Lea K Davis and Judith Miller and David J Posey and Shana Michaels and Alexander Kolevzon and Jeremy M Silverman and Raphael Bernier and Susan E Levy and Robert T Schultz and Geraldine Dawson and Thomas Owley and William M McMahon and Thomas H Wassink and John A Sweeney and John I Nurnberger and Hilary Coon and James S Sutcliffe and Nancy J Minshew and Struan FA Grant and Maja Bucan and Edwin H Cook and Joseph D Buxbaum and Bernie Devlin and Gerard D Schellenberg and Hakon Hakonarson,459,Nature,7246,569-573,Nature Publishing Group,,True,b9__3zUAAAAJ:9yKSN-GCB0IC,1378,,6513813192988557703,/scholar?cites=6513813192988557703,,,0,0,0
1231680,The gene encoding 5-lipoxygenase activating protein confers risk of myocardial infarction and stroke,2004,Anna Helgadottir and Andrei Manolescu and Gudmar Thorleifsson and Solveig Gretarsdottir and Helga Jonsdottir and Unnur Thorsteinsdottir and Nilesh J Samani and Gudmundur Gudmundsson and Struan FA Grant and Gudmundur Thorgeirsson and Sigurlaug Sveinbjornsdottir and Einar M Valdimarsson and Stefan E Matthiasson and Halldor Johannsson and Olof Gudmundsdottir and Mark E Gurney and Jesus Sainz and Margret Thorhallsdottir and Margret Andresdottir and Michael L Frigge and Eric J Topol and Augustine Kong and Vilmundur Gudnason and Hakon Hakonarson and Jeffrey R Gulcher and Kari Stefansson,36,Nature genetics,3,233-239,Nature Publishing Group,,True,b9__3zUAAAAJ:2osOgNQ5qMEC,1124,,12744418178000344271,/scholar?cites=12744418178000344271,,,0,0,0
1231681,Common genetic variants on 5p14. 1 associate with autism spectrum disorders,2009,Kai Wang and Haitao Zhang and Deqiong Ma and Maja Bucan and Joseph T Glessner and Brett S Abrahams and Daria Salyakina and Marcin Imielinski and Jonathan P Bradfield and Patrick MA Sleiman and Cecilia E Kim and Cuiping Hou and Edward Frackelton and Rosetta Chiavacci and Nagahide Takahashi and Takeshi Sakurai and Eric Rappaport and Clara M Lajonchere and Jeffrey Munson and Annette Estes and Olena Korvatska and Joseph Piven and Lisa I Sonnenblick and Ana I Alvarez Retuerto and Edward I Herman and Hongmei Dong and Ted Hutman and Marian Sigman and Sally Ozonoff and Ami Klin and Thomas Owley and John A Sweeney and Camille W Brune and Rita M Cantor and Raphael Bernier and John R Gilbert and Michael L Cuccaro and William M McMahon and Judith Miller and Matthew W State and Thomas H Wassink and Hilary Coon and Susan E Levy and Robert T Schultz and John I Nurnberger and Jonathan L Haines and James S Sutcliffe and Edwin H Cook and Nancy J Minshew and Joseph D Buxbaum and Geraldine Dawson and Struan FA Grant and Daniel H Geschwind and Margaret A Pericak-Vance and Gerard D Schellenberg and Hakon Hakonarson,459,Nature,7246,528-533,Nature Publishing Group,,True,b9__3zUAAAAJ:qjMakFHDy7sC,985,,18123347360812872772,/scholar?cites=18123347360812872772,,,0,0,0
1231682,Reduced bone density and osteoporosis associated with a polymorphic Sp1 binding site in the collagen type I α 1 gene,1996,Struan FA Grant and David M Reid and Glen Blake and Ruth Herd and Ignac Fogelman and Stuart H Ralston,14,Nature genetics,2,203-205,Nature Publishing Group,,True,b9__3zUAAAAJ:UeHWp8X0CEIC,829,,17671461827577652835,/scholar?cites=17671461827577652835,,,0,0,0
1231683,Refining the impact of TCF7L2 gene variants on type 2 diabetes and adaptive evolution,2007,Agnar Helgason and Snæbjörn Pálsson and Gudmar Thorleifsson and Struan FA Grant and Valur Emilsson and Steinunn Gunnarsdottir and Adebowale Adeyemo and Yuanxiu Chen and Guanjie Chen and Inga Reynisdottir and Rafn Benediktsson and Anke Hinney and Torben Hansen and Gitte Andersen and Knut Borch-Johnsen and Torben Jorgensen and Helmut Schäfer and Mezbah Faruque and Ayo Doumatey and Jie Zhou and Robert L Wilensky and Muredach P Reilly and Daniel J Rader and Yu Bagger and Claus Christiansen and Gunnar Sigurdsson and Johannes Hebebrand and Oluf Pedersen and Unnur Thorsteinsdottir and Jeffrey R Gulcher and Augustine Kong and Charles Rotimi and Kari Stefansson,39,Nature genetics,2,218-225,Nature Publishing Group,,True,b9__3zUAAAAJ:Tyk-4Ss8FVUC,577,,3303388272231801610,/scholar?cites=3303388272231801610,,,0,0,0
1231684,A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene,2007,Hakon Hakonarson and Struan FA Grant and Jonathan P Bradfield and Luc Marchand and Cecilia E Kim and Joseph T Glessner and Rosemarie Grabs and Tracy Casalunovo and Shayne P Taback and Edward C Frackelton and Margaret L Lawson and Luke J Robinson and Robert Skraban and Yang Lu and Rosetta M Chiavacci and Charles A Stanley and Susan E Kirsch and Eric F Rappaport and Jordan S Orange and Dimitri S Monos and Marcella Devoto and Hui-Qi Qu and Constantin Polychronakos,448,Nature,7153,591-594,Nature Publishing Group,,True,b9__3zUAAAAJ:IjCSPb-OGe4C,567,,18406595052350876209,/scholar?cites=18406595052350876209,,,0,0,0
1231685,A COL1A1 Sp1 binding site polymorphism predisposes to osteoporotic fracture by affecting bone density and quality,2001,Val Mann and Emma E Hobson and Baohua Li and Tracy L Stewart and Struan FA Grant and Simon P Robins and Richard M Aspden and Stuart H Ralston,107,The Journal of clinical investigation,7,899-907,American Society for Clinical Investigation,,True,b9__3zUAAAAJ:Y0pCki6q_DkC,549,,12692965567481900078,/scholar?cites=12692965567481900078,,,0,0,0
