10293,Chatbot-based Tourist Recommendations Using Model-based Reasoning.,2018,Iulia Nica and Oliver A Tazl and Franz Wotawa,,,,25-30,,Chatbots have gained increasing importance for research and practice with a lot of applications available today including Amazon’s Alexa or Apple’s Siri. In this paper. we present the underlying methods and technologies behind a Chatbot for e-tourism that allows people textually communicate with the purpose of booking hotels. planning trips. and asking for interesting sights worth being visit. In particular. we show how model-based reasoning can be used for enhancing user experience during a chat. eg. in cases where too many possible selections are available or where user preferences are too restricted causing inconsistencies and as a consequence not possible answers to be provided. Besides the underlying foundations. we provide a use case from the intended tourism domain to show how such a model-based chatbot effectively can be used in practice.,True,f5mn-CoAAAAJ:u-x6o8ySG0sC,17,https://novuscpq.com/wp-content/uploads/2018/10/proceedings-configuration-workshop-2018_YslTwntH.pdf#page=33,8868946525425084129,/scholar?cites=8868946525425084129,,https://novuscpq.com/wp-content/uploads/2018/10/proceedings-configuration-workshop-2018_YslTwntH.pdf#page=33,0
10294,Chatbot testing using AI planning,2019,Josip Bozic and Oliver A Tazl and Franz Wotawa,,,,37-44,IEEE,Chatbots. i.e.. systems that can interact with humans in a more appropriate way using natural language. have been of increasing importance. This is due the fact of the availability of computational means for natural language interaction between computers and humans that are becoming closer to the interaction between humans alone. Consequently. there are more and more chatbots available that are intended to support humans organizing tasks or making decisions. In this paper. we focus on how to verify the communication capabilities provided by chatbots. In particular. we introduce an automated approach for generating communication sequences and carrying them out. The approach is based on AI planning where each action can be assumed to be a certain question that is given to the chatbot. The answer of the chatbot should make the action post-condition true. in order to proceed with the plan. In cases of …,True,f5mn-CoAAAAJ:u5HHmVD_uO8C,10,https://ieeexplore.ieee.org/abstract/document/8718222/,5226524043896875453,/scholar?cites=5226524043896875453,,,0
10295,Using model-based reasoning for enhanced chatbot communication,2019,Oliver A Tazl and Franz Wotawa,,,,791-798,Springer. Cham,Chatbots as conversational recommender have gained increasing importance for research and practice with a lot of applications available today. In this paper. we present the methods to support conversational defaults within a human-chatbot conversation that simplifies communication with the purpose of improving the overall recommendation process. In particular. we discuss our model-based reasoning approach for easing user experience during a chat. e.g.. in cases where user preferences are mentioned indirectly causing inconsistencies. As a consequence of inconsistencies. it would not be possible for the chatbot to provide answers and recommendations. The presented approach allows for removing inconsistencies during the interactions with the chatbot. Besides the basic foundations. we provide use cases from the intended tourism domain to show the simplification of the conversation process. In …,True,f5mn-CoAAAAJ:qjMakFHDy7sC,0,https://link.springer.com/chapter/10.1007/978-3-030-22999-3_67,,,,,0
10296,Conversational recommendations using model-based reasoning,2019,Oliver A Tazl and Alexander Perko and Franz Wotawa,,CEUR Workshop Proceedings,2467,13-19,RWTH Aachen,Chatbots as conversational recommender have gained increasing importance over the years. The chatbot market offers a variety of applications for research and industry alike. In this paper. we discuss an implementation that supports the use of our recommendation algorithm during chatbot communication. The program eases communication and improves the underlying recommendation flow. In particular. the implementation makes use of our model-based reasoning approach for improving user experience during a chat. ie. in cases where user configurations cause inconsistencies. The approach deals with such issues by removing inconsistencies in order to generate a valid recommendation. In addition to the underlying definitions. we demonstrate our implementation along use cases from the tourism domain.,True,f5mn-CoAAAAJ:d1gkVwhDpl0C,0,https://pdfs.semanticscholar.org/ffec/b614af311c1c12d4b11330c921f22b475e39.pdf,,,,https://pdfs.semanticscholar.org/ffec/b614af311c1c12d4b11330c921f22b475e39.pdf,0
10297,AS-IT-IC Databases,,Jernej Zupancic and Oliver A Tazl and Blaž Mahnic and Gregor Grasselli,,INFORMACIJSKA DRUŽBA-IS 2018,,14,,Austrian-Slovenian Intelligent Tourist Information Center (AS-IT-IC) is a project that was accepted in the Cooperation Programme Interreg VA Slovenia-Austria 2014-2020 call and has two main goals: one is to build information and communication technnology (ICT) tools to support the tourist when he or she creates personalized itinerary for the visit of Slovenian-Austrian cross-border area; and the second is to create a sustainable community that will support the use of the tools. In this paper we describe the provision. cleaning. integration and deployment of data and data services needed by the ICT tools in tourism. Data and data services form one of the main pillars that enables the ASIT-IC platform to provide tools and services. which could serve tourism-related information to end users–tourists and tourist information providers.,True,f5mn-CoAAAAJ:UeHWp8X0CEIC,0,https://as-it-ic.ijs.si/files/ASITIC-workshop_proceedings.pdf#page=24,,,,https://as-it-ic.ijs.si/files/ASITIC-workshop_proceedings.pdf#page=24,0
10298,Zhang. Pengcheng 35. 71 Zhu. Hong 149 Zohdy. Mohamed 17,,Vaibhav Sharma and Shivkumar Shivaji and Anton Sitnikov and Ross Smith and Seounghan Song and Madhusudan Srinivasan and Gerald Steinbauer and Sahar Tahvili and Oliver A Tazl and Lars Tornberg and Evgenii Tsymbalov and Javier Tuya and Stig Ursing and Anthony Ventresque and Abhishek Vijayakumar and Kesav Viswanadha and Dong Wang and Ziyuan Wang and Franz Wotawa and Yongming Yao and Rostislav Yavorskiy and Xin Yin,,,,,,Presents an index of the authors whose articles are published in the conference proceedings record.,True,f5mn-CoAAAAJ:2osOgNQ5qMEC,0,https://www.computer.org/csdl/proceedings-article/aitest/2019/049200a165/1fTh6O0RYoE,,,,,0
10299,System and method for indexing. searching. identifying. and editing portions of electronic multimedia files,2009,,,,,,,A method and system are provided for tagging. indexing. searching. retrieving. manipulating. and editing video images on a wide area network such as the Internet. A first set of methods is provided for enabling users to add bookmarks to multimedia files. such as movies. and audio files. such as music. The multimedia bookmark facilitates the searching of portions or segments of multimedia files. particularly when used in conjunction with a search engine. Additional methods are provided that reformat a video image for use on a variety of devices that have a wide range of resolutions by selecting some material (in the case of smaller resolutions) or more material (in the case of larger resolutions) from the same multimedia file. Still more methods are provided for interrogating images that contain textual information (in graphical form) so that the text may be copied to a tag or bookmark that can itself be indexed and …,True,_9U5qXwAAAAJ:u-x6o8ySG0sC,1310,https://patents.google.com/patent/US7624337B2/en,1104599060687558362,/scholar?cites=1104599060687558362,,,0
10300,Method and apparatus for fast metadata generation. delivery and access for live broadcast program,2009,,,,,,,Techniques for fast indexing of live video broadcasts are provided which incorporate both efficient manual processing and automatic indexing steps to generate semantically meaningful and practically usable highlight hierarchy of broadcast television programs in real-time. In one technique. a list of predefined keywords is provided. describing the highlights. and the manual marking process can be implemented by just a few mouse clicks. A technique is provided for grouping highlights into a semantic hierarchy in real-time. A technique is provided for efficiently generating highlight metadata on live broadcast programs. using a coarse-to-fine indexing methodology in order for a operator to quickly generate highlight summaries of live broadcast programs.,True,_9U5qXwAAAAJ:roLk4NBRz8UC,475,https://patents.google.com/patent/US7548565B2/en,16202869516714082228,/scholar?cites=16202869516714082228,,https://patentimages.storage.googleapis.com/a8/b9/ff/26eb5764c4f893/US7548565.pdf,0
10301,Methods and apparatuses for viewing. browsing. navigating and bookmarking videos and displaying images,2004,,,,,,,Locally generating content characteristics for a plurality of video programs which have been recorded and displaying the content characteristics of the plurality of video programs. thereby enabling users to easily select the video of interest as well as a segment of interest within the selected video. The content characteristic can be generated according to user preference. and will typically comprise at least one key frame image or a plurality of images displayed in the form of an animated image or a video stream shown in a small size.,True,_9U5qXwAAAAJ:LkGwnXOMwfcC,317,https://patents.google.com/patent/US20040128317A1/en,15279507640227891460,/scholar?cites=15279507640227891460,,https://patentimages.storage.googleapis.com/39/2a/15/dc5968f385225f/US20040128317A1.pdf,0
10302,Delivering and processing multimedia bookmark,2005,,,,,,,A multimedia bookmark (VMark) bulletin board service (BBS) system comprises: a web host comprising storage for messages. a web server. and a VMark BBS server; a media host comprising storage for audiovisual (AV) files. and a streaming server; a client comprising storage for VMark. a web browser. a media player and a VMark client; and a VMark server located at the media host or at the client; a communication network connecting the web host. the media host and the client. A method of performing a multimedia bookmark bulletin board service (BBS) comprises: creating a message including a multimedia bookmark for an AV file; and posting the message into the multimedia bookmark BBS. A method of sending multimedia bookmark (VMark) between clients comprises: at a first client. making a VMark indicative of a bookmarked position in an AV program; sending the VMark from the first client to a second client …,True,_9U5qXwAAAAJ:eQOLeE2rZwMC,312,https://patents.google.com/patent/US20050210145A1/en,12834045085189656740,/scholar?cites=12834045085189656740,,https://patentimages.storage.googleapis.com/cf/d2/59/803a0cf447c3d8/US20050210145A1.pdf,0
