,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
23915,Harrison's principles of internal medicine.,2018,J Larry Jameson,,,,,McGraw-Hill Education.,"""Harrison's is intended for learners throughout their careers. For students. Part 1. Chapter 1 begins with an overview of ""The Practice of Medicine"". In this introductory chapter. the editors continue the tradition of orienting clinicians to the",True,0dDO3SAAAAAJ:XOE35tnTnDYC,16729,https://dl.uswr.ac.ir/handle/Hannan/32696,5862064234657805498,/scholar?cites=5862064234657805498,,,0
23916,Harrison's principles of internal medicine.,2018,J Larry Jameson,,,,,McGraw-Hill Education.,"""Harrison's is intended for learners throughout their careers. For students. Part 1. Chapter 1 begins with an overview of ""The Practice of Medicine"". In this introductory chapter. the editors continue the tradition of orienting clinicians to the",True,0dDO3SAAAAAJ:lPNvfOEJVFUC,6148,https://dl.uswr.ac.ir/handle/Hannan/32696,5862064234657805498,/scholar?cites=5862064234657805498,,,0
23917,Harrison's Principles of Internal Medicine: Volume 2,2011,Dan L Longo and J Larry Jameson and Dennis Kaspe,,,,,Macgraw-Hill,The landmark text that has defined internal medicine for generations of clinicians and students-completely updated with a more streamlined. functional presentation Through six decades. no resource has matched the encyclopedic scope. esteemed scholarship. and scientific rigor of Harrison's Principles of Internal Medicine. Both an educational tool and a clinical reference. it remains one of the most widely read and universally respected textbooks in all of medical publishing and the pinnacle of current medical knowledge. The Nineteenth Edition of Harrison's features a new slimmer presentation. logically divided into two volumes.Volume 1 covers essential foundational-level material on the basic principles underlying optimal patient care and assessment of signs and symptoms. Volume 2 is devoted to specific diseases and the best evidence based approaches to their management. Capturing the countless advances …,True,0dDO3SAAAAAJ:K-tzbvM8PMoC,5265,http://kubalibri.cz/files/198---Harrison-s-Principles-of-Internal-Medicine-2-Volumes.pdf,3778134629400840392,/scholar?cites=3778134629400840392,,,0
23918,Heart disease,1988,Eugene Braunwald,,,,,,"This book contains 62 chapters. Some of the chapter titles are: Radiological and Angiographic
Examination of the Heart; Newer Cardiac Imaging Techniques: Digital Subtraction Angiography.
Computerized Tomography. Magnetic Resonance Imaging; Nuclear Cardiology; and G.
",True,0dDO3SAAAAAJ:GjQuYujAsN4C,4938,https://inis.iaea.org/search/search.aspx?orig_q=RN:21006733,350184201119468547,/scholar?cites=350184201119468547,,,0
23919,Wegener granulomatosis: an analysis of 158 patients,1992,Gary S Hoffman and Gail S Kerr and Randi Y Leavitt and Claire W Hallahan and Robert S Lebovics and William D Travis and Menachem Rottem and Anthony S Fauci,116,,6,488-498,American College of Physicians,▪Objective:To prospectively study the clinical features. pathophysiology. treatment. and prognosis of Wegener granulomatosis.▪Design:Of the 180 patients with Wegener granulomatosis referred to the National Institute of Allergy and Infectious Diseases during the past 24 years. 158 have been followed for 6 months to 24 years (a total of 1229 patient-years).▪Measurements:Characteristics of clinical presentation. surgical pathology. course of illness. laboratory and radiographic findings. and the results of medical and surgical treatment have been recorded in a computer-based information retrieval system.▪Setting:The Warren Magnuson Clinical Center of the National Institutes of Health.▪Main Results:Men and women were equally represented; 97% of patients were white. and 85% were more than 19 years of age. The mean period of follow-up was 8 years. One hundred and thirty …,True,0dDO3SAAAAAJ:u-x6o8ySG0sC,3251,https://www.acpjournals.org/doi/abs/10.7326/0003-4819-116-6-488,12929694332289592420,/scholar?cites=12929694332289592420,,,0
23920,The immunopathogenesis of human immunodeficiency virus infection,1993,Giuseppe Pantaleo and Cecilia Graziosi and Anthony S Fauci,328,,5,327-335,Massachusetts Medical Society,The human immunodeficiency virus (HIV) is probably the most intensively studied virus in the history of biomedical research. A large number of distinct isolates have been cloned and sequenced. and the genes of the virus and several of the protein products of these genes have been characterized1. Furthermore. many of the pathogenic mechanisms associated with HIV infection that lead to clinical disease have been established. such as the functional abnormalities and quantitative depletion of CD4 T lymphocytes that cause the profound immunosuppression characteristic of advanced HIV infection2. It is generally agreed that HIV itself has the primary role . . .,True,0dDO3SAAAAAJ:Y0pCki6q_DkC,2516,https://www.nejm.org/doi/full/10.1056/NEJM199302043280508,4660457094891240007,/scholar?cites=4660457094891240007,,,0
23921,The American College of Rheumatology 1990 criteria for the classification of giant cell arteritis,1990,Gene G Hunder and Daniel A Bloch and Beat A Michel and Mary Betty Stevens and William P Arend and Leonard H Calabrese and Steven M Edworthy and Anthony S Fauci and Randi Y Leavitt and JT Lie and Robert W Lightfoot Jr and Alfonse T Masi and Dennis J McShane and John A Mills and Stanley L Wallace and Nathan J Zvaifler,33,Arthritis & Rheumatism,8,1122-1128,John Wiley & Sons. Inc.,Criteria for the classification of giant cell (temporal) arteritis were developed by comparing 214 patients who had this disease with 593 patients with other forms of vasculitis. For the traditional format classification. 5 criteria were selected: age ≥50 years at disease onset. new onset of localized headache. temporal artery tenderness or decreased temporal artery pulse. elevated erythrocyte sedimentation rate (Westergren) ≥50 mm/hour. and biopsy sample including an artery. showing necrotizing arteritis. characterized by a predominance of mononuclear cell infiltrates or a granulomatous process with multinucleated giant cells. The presence of 3 or more of these 5 criteria was associated with a sensitivity of 93.5% and a specificity of 91.2%. A classification tree was also constructed using 6 criteria. These criteria were the same as for the traditional format. except that elevated erythrocyte sedimentation rate was …,True,0dDO3SAAAAAJ:W7OEmFMy1HYC,2313,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780330810,7895758973812745407,/scholar?cites=7895758973812745407,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/art.1780330810,0
23922,Wegener's granulomatosis: prospective clinical and therapeutic experience with 85 patients for 21 years,1983,ANTHONY S FAUCI and BARTON F HAYNES and PAUL KATZ and SHELDON M WOLFF,98,,1,76-85,American College of Physicians,Eighty-five patients with Wegener's granulomatosis were studied for 21 years at the National Institutes of Health. Patients were treated with a protocol consisting of cyclophosphamide. 2 mg/kg body weight · d. together with prednisone. 1 mg/kg body weight · d. followed by conversion of the prednisone to an alternate-day regimen. Complete remissions were achieved in 79 of 85 patients (93%). The mean duration of remission for living patients was 48.2 (± 3.6) months. Twenty-three patients are off all therapy for a mean duration of 35.3 (± 6.3) months without therapy. This study provides a prospective experience with Wegener's granulomatosis and shows that long-term remissions can be induced and maintained in an extremely high number of patients by the combination of daily cyclophosphamide and alternate-day prednisone therapy.,True,0dDO3SAAAAAJ:qjMakFHDy7sC,2284,https://www.acpjournals.org/doi/abs/10.7326/0003-4819-98-1-76,17033023593536192805,/scholar?cites=17033023593536192805,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.731.3818&rep=rep1&type=pdf,0
23923,The American College of Rheumatology 1990 criteria for the classification of Churg‐Strauss syndrome (allergic granulomatosis and angiitis),1990,Alfonse T Masi and Gene G Hunder and J Tetal Lie and Beat A Michel and Daniel A Bloch and William P Arend and Leonard H Calabrese and Steven M Edworthy and Anthony S Fauci and Randi Y Leavitt and Robert W Lightfoot Jr and Dennis J McShane and John A Mills and Mary Betty Stevens and Stanley L Wallace and Nathan J Zvaifler,33,Arthritis & Rheumatism,8,1094-1100,John Wiley & Sons. Inc.,Criteria for the classification of Churg‐Strauss syndrome (CSS) were developed by comparing 20 patients who had this diagnosis with 787 control patients with other forms of vasculitis. For the traditional format classification. 6 criteria were selected: asthma. eosinophilia >10% on differential white blood cell count. mononeuropathy (including multiplex) or polyneuropathy. non‐fixed pulmonary infiltrates on roentgenography. paranasal sinus abnormality. and biopsy containing a blood vessel with extravascular eosinophils. The presence of 4 or more of these 6 criteria yielded a sensitivity of 85% and a specificity of 99.7%. A classification tree was also constructed with 3 selected criteria: asthma. eosinophilia >10% on differential white blood cell count. and history of documented allergy other than asthma or drug sensitivity. If a subject has eosinophilia and a documented history of either asthma or allergy. then that …,True,0dDO3SAAAAAJ:YsMSGLbcyi4C,2237,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780330806,8202150584186585598,/scholar?cites=8202150584186585598,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/art.1780330806,0
23924,The American College of Rheumatology 1990 criteria for the classification of Wegener's granulomatosis,1990,Randi Y Leavitt and Anthony S Fauci and Daniel A Bloch and Beat A Michel and Gene G Hunder and William P Arend and Leonard H Calabrese and James F Fries and JT Lie and Robert W Lightfoot Jr and Alfonse T Masi and Dennis J McShane and John A Mills and Mary Betty Stevens and Stanley L Wallace and Nathan J Zvaifler,33,Arthritis & Rheumatism,8,1101-1107,John Wiley & Sons. Inc.,Criteria for the classification of Wegener's granulomatosis (WG) were developed by comparing 85 patients who had this disease with 722 control patients with other forms of vasculitis. For the traditional format classification. 4 criteria were selected: abnormal urinary sediment (red cell casts or >5 red blood cells per high power field). abnormal findings on chest radiograph (nodules. cavities. or fixed infiltrates). oral ulcers or nasal discharge. and granulomatous inflammation on biopsy. The presence of 2 or more of these 4 criteria was associated with a sensitivity of 88.2% and a specificity of 92.0%. A classification tree was also constructed with 5 criteria being selected. These criteria were the same as for the traditional format. but included hemoptysis. The classification tree was associated with a sensitivity of 87.1% and a specificity of 93.6%. We describe criteria which distinguish patients with WG from patients with …,True,0dDO3SAAAAAJ:Tyk-4Ss8FVUC,2206,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780330807,18298202134620081542,/scholar?cites=18298202134620081542,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/art.1780330807,0
