,Unnamed: 0,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
30,41917,FRS.“Advanced Inorganic Chemistry.”,1972.0,F Albert Cotton and Geoffrey Wilkinson,,,,309,John Wiley & Sons. Inc.. New York. London. Sydney. Toronto,,True,J666WVMAAAAJ:6sy8ByAbWgIC,28266,,16252076707222750729,/scholar?cites=16252076707222750729,,,0,1,None | RuNPc0kAAAAJ
31,41918,Advanced Inorganic Chemistry–A Comprehensive Text. 2,1966.0,F Albert Cotton and G Wilkinson,,2nd. ed. rev. and augm.,,,,,True,J666WVMAAAAJ:9tXw7Op4-u0C,27841,,16252076707222750729,/scholar?cites=16252076707222750729,,,0,1,None | pe0em2MAAAAJ
32,41919,Advanced inorganic chemistry,1988.0,Frank Albert Cotton and Geoffrey Wilkinson and Carlos A Murillo and Manfred Bochmann and Russell Grimes,6.0,,,,Wiley,,True,J666WVMAAAAJ:S_Qw7xXuMuIC,27722,,16252076707222750729,/scholar?cites=16252076707222750729,,,0,1,None | RuNPc0kAAAAJ | OZ76dfwAAAAJ | None | None
33,41920,Comprehensive coordination chemistry,1987.0,L Vilas Boas and J Costa Pessoa and G Wilkinson and RD Gillard and JA McCleverty,3.0,"by G. Wilkinson, Pergamon, Oxford",,453-583,,,True,J666WVMAAAAJ:5N-NJrZHaHcC,1863,,10323922965417293379,/scholar?cites=10323922965417293379,,,0,1,MhXek9cAAAAJ | bpcrVaMAAAAJ | pe0em2MAAAAJ | None | None
34,41921,Solutions manual to accompany... Basic inorganic chemistry,1987.0,Geoffrey Wilkinson and Paul L Gaus,,,,,Wiley,,True,J666WVMAAAAJ:zzCxg_vo7cAC,1526,,10238643801417808489,/scholar?cites=10238643801417808489,,,0,1,RuNPc0kAAAAJ | None
35,41922,The preparation and properties of tris (triphenylphosphine) halogenorhodium (I) and some reactions thereof including catalytic homogeneous hydrogenation of olefins and …,1966.0,John A Osborn and FH Jardine and J Francis Young and Geoffrey Wilkinson,,"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",,1711-1732,Royal Society of Chemistry,,True,J666WVMAAAAJ:mS4qin7VKjkC,1307,,14068985111347053026,/scholar?cites=14068985111347053026,,,0,1,Myexc6cAAAAJ | None | p-o76wsAAAAJ | RuNPc0kAAAAJ
36,41923,Comprehensive coordination chemistry. The synthesis. reactions. properties and applications of coordination compounds. V. 3. Main group and early transition elements,1987.0,Geoffrey Wilkinson and Robert D Gillard and Jon A McCleverty,,,,,,,True,J666WVMAAAAJ:oAywNP-vUhwC,1300,,10323922965417293379,/scholar?cites=10323922965417293379,,,0,1,RuNPc0kAAAAJ | KqxP4pgAAAAJ | None
37,41924,The structure of iron bis-cyclopentadienyl,1952.0,Geoffrey Wilkinson and M Rosenblum and MC Whiting and RB Woodward,74.0,Journal of the American Chemical Society,8,2125-2126,American Chemical Society,,True,J666WVMAAAAJ:8rLWgkbgOXQC,1138,,13212988713916732892,/scholar?cites=13212988713916732892,,,0,1,RuNPc0kAAAAJ | mjbEKbkAAAAJ | 5BZ-OjcAAAAJ | hWdkuEIAAAAJ
38,41925,Alkyl and aryl derivatives of π-cyclopentadienyl compounds of chromium. molybdenum. tungsten. and iron,1956.0,T_ S Piper and G Wilkinson,3.0,Journal of Inorganic and Nuclear Chemistry,2,104-124,Pergamon,,True,J666WVMAAAAJ:bbjcffOLshcC,1025,,12418287763969813709,/scholar?cites=12418287763969813709,,,0,1,puv0ktsAAAAJ | pe0em2MAAAAJ
39,41926,Comprehensive organometallic chemistry,1982.0,Geoffrey Wilkinson and F Gordon A Stone and Edward W Abel,,,,,Pergamon Press,,True,J666WVMAAAAJ:ML0RJ9NH7IQC,1005,,2664358951200305161,/scholar?cites=2664358951200305161,,,0,1,RuNPc0kAAAAJ | None | YpzQ344AAAAJ
