,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,got_publications,got_coauthors
1,Osaka University,@biken.osaka-u.ac.jp,383576,0TG2laoAAAAJ,False,immunology,Shizuo Akira,https://scholar.google.com/citations?view_op=medium_photo&user=0TG2laoAAAAJ,0,0
2,"Professor of Pharmacology and Pathology,UCSD,School of Medicine",@ucsd.edu,283865,xVvyb1gAAAAJ,False,Molecular Biology|Immunology|Cancer Biology|Signal Transduction,Michael Karin,https://scholar.google.com/citations?view_op=medium_photo&user=xVvyb1gAAAAJ,0,0
3,"Université de Paris, Hôpital Européen George Pompidou - AP-HP, Gustave Roussy Cancer …",@inserm.fr,263966,OU05Q_MAAAAJ,False,aging|cell biology|cancer|immunology|metabolism,Guido Kroemer,https://scholar.google.com/citations?view_op=medium_photo&user=OU05Q_MAAAAJ,0,0
4,Professor of Medcine Harvard Medical School,@bwh.harvard.edu,236101,1LgbXjEAAAAJ,False,medicine|cardiology|atherosclerosis|immunology,Peter Libby,https://scholar.google.com/citations?view_op=medium_photo&user=1LgbXjEAAAAJ,0,0
5,"Sterling Professor of Immunobiology, Yale University, HHMI Investigator",@yale.edu,233942,IPbxgZkAAAAJ,False,Immunology,Richard A. Flavell,https://scholar.google.com/citations?view_op=medium_photo&user=IPbxgZkAAAAJ,0,0
6,"Director, Institute of Stem Cell Biology and Regenerative Medicine",@stanford.edu,197639,Y66bJgUAAAAJ,False,stem cells|immunology|cancer|developmental biology|phylogeny,Irving Weissman,https://scholar.google.com/citations?view_op=medium_photo&user=Y66bJgUAAAAJ,0,0
7,Vanderbilt University,,130069,pLyPr9oAAAAJ,False,Immunology,Keunwook Lee,https://scholar.google.com/citations?view_op=medium_photo&user=pLyPr9oAAAAJ,0,0
8,Johns Hopkins University school of medicine,@jhmi.edu,127676,e0E4Lm8AAAAJ,False,immunology|cancer|immunotheapy,Andrew Pardoll,https://scholar.google.com/citations?view_op=medium_photo&user=e0E4Lm8AAAAJ,0,0
9,"Paul de Kruif Professor, University of Michigan Medical School",@umich.edu,121569,aJnM7c0AAAAJ,False,Immunology|Innate Immunity|Microbiome|Microbiology|Inflammation,Gabriel Nuñez,https://scholar.google.com/citations?view_op=medium_photo&user=aJnM7c0AAAAJ,0,0
10,"Professor, harvard",@fas.harvard.edu,118899,NKT5SkwAAAAJ,False,immunology,Jack Strominger,https://scholar.google.com/citations?view_op=medium_photo&user=NKT5SkwAAAAJ,0,0
11,Санкт-Петербургский государственный университет,@spbu.ru,118632,IemDEYcAAAAJ,False,Autoimmunity|Immunology|Rheumatology|Pathophysiology|Pathology,Yehuda Shoenfeld,https://scholar.google.com/citations?view_op=medium_photo&user=IemDEYcAAAAJ,0,0
12,"Skirball Institute, NYU School of Medicine",@med.nyu.edu,118556,k_88WOoAAAAJ,False,immunology|microbiome|inflammation|genomics|transcription,Dan Littman,https://scholar.google.com/citations?view_op=medium_photo&user=k_88WOoAAAAJ,0,0
13,"Dana-Farber Cancer Institute, Harvard Medical SchoolUnknown affiliation",,111467,SAKfVgEAAAAJ,False,immunology|costimulation,Gordon Freeman,https://scholar.google.com/citations?view_op=medium_photo&user=SAKfVgEAAAAJ,0,0
14,"Director Institute for Research in Biomedicine,",@irb.usi.ch,108989,lcq610IAAAAJ,False,Immunology,Antonio Lanzavecchia,https://scholar.google.com/citations?view_op=medium_photo&user=lcq610IAAAAJ,0,0
15,"Computer Scientist, National Institutes of Health",@nih.gov,105594,yB-7gCwAAAAJ,False,Bioinformatics|Cancer|Algorithms|Medical Genetics|Immunology,Alejandro Schaffer,https://scholar.google.com/citations?view_op=medium_photo&user=yB-7gCwAAAAJ,0,0
16,La Jolla Institute for Allergy & Immunology,@liai.org,105429,QzfSIEUAAAAJ,False,biology|evolution|immunology|genomics|machine learning,Yohan Kim,https://scholar.google.com/citations?view_op=medium_photo&user=QzfSIEUAAAAJ,0,0
17,Feinstein Institute for Medical Research,@northwell.edu,102729,g-GIWEMAAAAJ,False,immunology|neuroscience|sepsis|TNF|inflammatory reflex,Kevin J. Tracey,https://scholar.google.com/citations?view_op=medium_photo&user=g-GIWEMAAAAJ,0,0
18,"Immunology Frontier Research Center, Osaka University",@ifrec.osaka-u.ac.jp,101794,DnbGVYQAAAAJ,False,Immunology,Shimon Sakaguchi,https://scholar.google.com/citations?view_op=medium_photo&user=DnbGVYQAAAAJ,0,0
19,"Associated Professor of Immunology, Zhejiang University",@zju.edu.cn,100803,PRIfd6IAAAAJ,False,Immunology|Cell biology|Molecular biology,Di Wang,https://scholar.google.com/citations?view_op=medium_photo&user=PRIfd6IAAAAJ,0,0
20,"Professor of Microbiology and Immunology, UCSF",@ucsf.edu,100796,Vo2jOVYAAAAJ,False,Immunology,Lewis L Lanier,https://scholar.google.com/citations?view_op=medium_photo&user=Vo2jOVYAAAAJ,0,0
21,"Birmingham, Schering plough, DNAX, MD Anderson, Medimmune, Sanofi",@sanofi.com,100521,EfpBkNAAAAAJ,False,immunology|dendritic cell|innate|cancer|sensing,YJ liu,https://scholar.google.com/citations?view_op=medium_photo&user=EfpBkNAAAAAJ,0,0
22,Humanitas University,@hunimed.eu,100508,BweBfmEAAAAJ,False,Immunology|Mucosal Immunology|microbiota,Maria Rescigno,https://scholar.google.com/citations?view_op=medium_photo&user=BweBfmEAAAAJ,0,0
23,Director of Emory Vaccine Center,@emory.edu,94451,xNcyhtIAAAAJ,False,Immunology|Virology|Immunotherapy,Rafi Ahmed,https://scholar.google.com/citations?view_op=medium_photo&user=xNcyhtIAAAAJ,0,0
24,National Institutes of Health,@nih.gov,93667,--xLf1MAAAAJ,False,virology|medicine|microbiology|genetics|immunology,Bernard Moss,https://scholar.google.com/citations?view_op=medium_photo&user=--xLf1MAAAAJ,0,0
25,"Institut Gustave Roussy, Université de Paris Saclay, INSERM",@igr.fr,92514,QYyrxzsAAAAJ,False,cancer|tumor immunology|immunology,Laurence Zitvogel,https://scholar.google.com/citations?view_op=medium_photo&user=QYyrxzsAAAAJ,0,0
26,"Director, Ragon Institute of MGH, MIT and Harvard",@mgh.harvard.edu,90465,XfQwCTcAAAAJ,False,immunology|T cells|HIV|vaccines,Bruce D Walker,https://scholar.google.com/citations?view_op=medium_photo&user=XfQwCTcAAAAJ,0,0
27,Strieter Consulting,@virginia.edu,89375,IzQbe8YAAAAJ,False,Early drug development|Immunology|Inflammation|Fibrosis|Angiogenesis,"Robert M. Strieter, MD",https://scholar.google.com/citations?view_op=medium_photo&user=IzQbe8YAAAAJ,0,0
28,"HHMI, The Rockefeller University",@rockefeller.edu,87716,7FMLxGkAAAAJ,False,Immunology,michel nussenzweig,https://scholar.google.com/citations?view_op=medium_photo&user=7FMLxGkAAAAJ,0,0
29,Stanford University,@stanford.edu,86871,GljRwkUAAAAJ,False,immunology,Mark M. Davis,https://scholar.google.com/citations?view_op=medium_photo&user=GljRwkUAAAAJ,0,0
30,Lyell Immunopha,@lyell.com,85983,LVBMEQ8AAAAJ,False,Immunology|Tumor Immunology|T cell differentiation,"Nicholas P Restifo, MD",https://scholar.google.com/citations?view_op=medium_photo&user=LVBMEQ8AAAAJ,0,0
31,,,85760,Vq6NVkAAAAAJ,False,Immunology|Immunotherapy,James Allison,https://scholar.google.com/citations?view_op=medium_photo&user=Vq6NVkAAAAAJ,0,0
32,National Institutes for Quantum and Radiological Science and Technology,@alumni.osaka-u.ac.jp,84051,m5gIzNUAAAAJ,False,Immunology,Toshio Hirano,https://scholar.google.com/citations?view_op=medium_photo&user=m5gIzNUAAAAJ,0,0
33,,@liai.org,83513,Ep4PitkAAAAJ,False,immunology|MHC|bioinformatics|virology|microbiology,Alessandro Sette,https://scholar.google.com/citations?view_op=medium_photo&user=Ep4PitkAAAAJ,0,0
34,"Division of Infectious Diseases and International Health, University of Virginia",@virginia.edu,78859,6yMIM1MAAAAJ,False,Infectious diseases|global health|parasitology|immunology|microbiology,"William A. Petri, Jr., MD, Pj.D.",https://scholar.google.com/citations?view_op=medium_photo&user=6yMIM1MAAAAJ,0,0
35,Washington University,@wustl.edu,78615,AcFkmbcAAAAJ,False,Immunology,Kenneth M. Murphy,https://scholar.google.com/citations?view_op=medium_photo&user=AcFkmbcAAAAJ,0,0
