,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
0,University of East Anglia,@uea.ac.uk,137504,4Hme0r8AAAAJ,{'indices'},Climate|Climate Change|Paleoclimate,Philip Jones,https://scholar.google.com/citations?view_op=medium_photo&user=4Hme0r8AAAAJ,45099,155,88,561,358,0,0
0,"School of Biological Sciences, University of Adelaide, S.A., Australia: & NCAR, Boulder",52430,CvJWwe0AAAAJ,{'indices'},T M L Wigley,9858,112,49,293,137,0,0
0,University of East Anglia,33598,Pt6ox7kAAAAJ,{'indices'},Timothy Osborn,16491,70,47,137,108,0,0
0,University of Cambridge,47626,83cN-rIAAAAJ,{'indices'},Mike Hulme,15150,92,54,240,155,0,0
0,"Distinguished Professor, University of Massachusetts",39147,7Pgpfc4AAAAJ,{'indices'},Raymond S Bradley,11303,89,49,239,134,0,0
0,"University of Cape Town, University of East Anglia",29969,wRvAwT8AAAAJ,{'indices'},Mark New,11475,54,37,99,83,0,0
0,"School of Biological Sciences, University of Adelaide, S.A., Australia: & NCAR, Boulder",,52430,CvJWwe0AAAAJ,{'indices'},,T M L Wigley,,9858,112,49,293,137,0,0
0,University of East Anglia,,33598,Pt6ox7kAAAAJ,{'indices'},,Timothy Osborn,,16491,70,47,137,108,0,0
0,University of Cambridge,,47626,83cN-rIAAAAJ,{'indices'},,Mike Hulme,,15150,92,54,240,155,0,0
0,"Distinguished Professor, University of Massachusetts",,39147,7Pgpfc4AAAAJ,{'indices'},,Raymond S Bradley,,11303,89,49,239,134,0,0
0,"University of Cape Town, University of East Anglia",,29969,wRvAwT8AAAAJ,{'indices'},,Mark New,,11475,54,37,99,83,0,0
1,"School of Biological Sciences, University of Adelaide, S.A., Australia: & NCAR, Boulder",,52430,CvJWwe0AAAAJ,{'indices'},,T M L Wigley,,9858,112,49,293,137,0,0
2,University of East Anglia,,33598,Pt6ox7kAAAAJ,{'indices'},,Timothy Osborn,,16491,70,47,137,108,0,0
3,University of Cambridge,,47626,83cN-rIAAAAJ,{'indices'},,Mike Hulme,,15150,92,54,240,155,0,0
4,"Distinguished Professor, University of Massachusetts",,39147,7Pgpfc4AAAAJ,{'indices'},,Raymond S Bradley,,11303,89,49,239,134,0,0
5,"University of Cape Town, University of East Anglia",,29969,wRvAwT8AAAAJ,{'indices'},,Mark New,,11475,54,37,99,83,0,0
6,"Research Fellow, Met Office Hadley Centre UK & Guest Professor of Climate, Univ. of Gothenburg",,52988,AF0zLGIAAAAJ,{'indices'},,Chris Folland,,13446,73,41,135,87,0,0
1,"School of Biological Sciences, University of Adelaide, S.A., Australia: & NCAR, Boulder",,52430,CvJWwe0AAAAJ,{'indices'},,T M L Wigley,,9858,112,49,293,137,0,0
1,University of East Anglia,,33598,Pt6ox7kAAAAJ,{'indices'},,Timothy Osborn,,16491,70,47,137,108,0,0
1,University of Cambridge,,47626,83cN-rIAAAAJ,{'indices'},,Mike Hulme,,15150,92,54,240,155,0,0
1,"Distinguished Professor, University of Massachusetts",,39147,7Pgpfc4AAAAJ,{'indices'},,Raymond S Bradley,,11303,89,49,239,134,0,0
1,"University of Cape Town, University of East Anglia",,29969,wRvAwT8AAAAJ,{'indices'},,Mark New,,11475,54,37,99,83,0,0
1,"Research Fellow, Met Office Hadley Centre UK & Guest Professor of Climate, Univ. of Gothenburg",,52988,AF0zLGIAAAAJ,{'indices'},,Chris Folland,,13446,73,41,135,87,0,0
1,NCAR,,101690,ovnjqjMAAAAJ,{'indices'},,Kevin E Trenberth,,35036,125,75,317,203,0,0
1,"School of Biological Sciences, University of Adelaide, S.A., Australia: & NCAR, Boulder",,52430,CvJWwe0AAAAJ,{'indices'},,T M L Wigley,,9858,112,49,293,137,0,0
2,University of East Anglia,,33598,Pt6ox7kAAAAJ,{'indices'},,Timothy Osborn,,16491,70,47,137,108,0,0
3,University of Cambridge,,47626,83cN-rIAAAAJ,{'indices'},,Mike Hulme,,15150,92,54,240,155,0,0
4,"Distinguished Professor, University of Massachusetts",,39147,7Pgpfc4AAAAJ,{'indices'},,Raymond S Bradley,,11303,89,49,239,134,0,0
5,"University of Cape Town, University of East Anglia",,29969,wRvAwT8AAAAJ,{'indices'},,Mark New,,11475,54,37,99,83,0,0
