,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1274665,A Primer on Partial Least Squares Structural Equations Modeling (PLS-SEM),2014,Joseph F Hair and G Tomas M Hult and Christian M Ringle and Marko Sarstedt,,,,,SAGE Publications,A Primer on Partial Least Squares Structural Equation Modeling (PLS-SEM) by Joseph F. Hair. Jr.. G. Tomas M. Hult. Christian Ringle. and Marko Sarstedt is a practical guide that provides concise instructions on how to use partial least squares structural equation modeling (PLS-SEM). an evolving statistical technique. to conduct research and obtain solutions. Featuring the latest research. new examples using the SmartPLS software. and expanded discussions throughout. the Second Edition is designed to be easily understood by those with limited statistical and mathematical training who want to pursue research opportunities in new ways.,True,y5F176wAAAAJ:p2g8aNsByqUC,21630,http://books.google.com/books?hl=en&lr=&id=JDWmCwAAQBAJ&oi=fnd&pg=PP1&dq=info:2qYmkuh9908J:scholar.google.com&ots=ejHWPkIV2K&sig=1UIquq63UH7B2C8meCc6NB9gtKw,5762212686081730266,/scholar?cites=5762212686081730266,,,,0,0,0
1274666,PLS-SEM: Indeed a silver bullet,2011,Joe F Hair and Christian M Ringle and Marko Sarstedt,19,Journal of Marketing Theory and Practice,2,139-152,ME Sharpe Inc,"Structural equation modeling (SEM) has become a quasi-standard in marketing and management research when it comes to analyzing the cause-effect relations between latent constructs. For most researchers. SEM is equivalent to carrying out covariance-based SEM (CB-SEM). While marketing researchers have a basic understanding of CB-SEM. most of them are only barely familiar with the other useful approach to SEM-partial least squares SEM (PLS-SEM). The current paper reviews PLS-SEM and its algorithm. and provides an overview of when it can be most appropriately applied. indicating its potential and limitations for future research. The authors conclude that PLS-SEM path modeling. if appropriately applied. is indeed a ""silver bullet"" for estimating causal models in many theoretical models and empirical data situations.",True,y5F176wAAAAJ:ufrVoPGSRksC,12312,https://www.tandfonline.com/doi/abs/10.2753/MTP1069-6679190202,16893796055227252360,/scholar?cites=16893796055227252360,,,https://www.researchgate.net/profile/Christian_Ringle/publication/236033273_PLS-sem_Indeed_a_silver_bullet/links/00b7d52ecb004615ed000000.pdf,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1274667,The use of partial least squares path modeling in international marketing,2009,Jörg Henseler and Christian M Ringle and Rudolf R Sinkovics,20,Advances in International Marketing,2009,277-319,Emerald: Bingley,The advent of structural equation modeling (SEM) with latent variables has changed the nature of research in international marketing and management. Researchers acknowledge the possibilities of distinguishing between measurement and structural models and explicitly taking measurement error into account. As Gefen. Straub. and Boudreau (2000. p. 6) point out.‘‘SEM has become de rigueur in validating instruments and testing linkages between constructs.’’They furthermore distinguish between two families of SEM techniques: covariance-based techniques. as represented by LISREL. and variance-based techniques. of which partial least squares (PLS) path modeling is the most prominent representative. PLS has been used by a growing number of researchers from various disciplines such as strategic management (eg. Hulland. 1999). management information systems (eg. Dibbern. Goles. Hirschheim. & …,True,y5F176wAAAAJ:u-x6o8ySG0sC,9958,https://www.emerald.com/insight/content/doi/10.1108/S1474-7979(2009)0000020014/full/html,8810617593981794509,/scholar?cites=8810617593981794509,,,https://www.researchgate.net/profile/Joerg_Henseler/publication/229892421_The_Use_of_Partial_Least_Squares_Path_Modeling_in_International_Marketing/links/0046351913b310d64f000000.pdf,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1274668,A New Criterion for Assessing Discriminant Validity in Variance-based Structural Equation Modeling,2015,Jörg Henseler and Christian M Ringle and Marko Sarstedt,43,Journal of the Academy of Marketing Science,1,115-135,Springer US,Discriminant validity assessment has become a generally accepted prerequisite for analyzing relationships between latent variables. For variance-based structural equation modeling. such as partial least squares. the Fornell-Larcker criterion and the examination of cross-loadings are the dominant approaches for evaluating discriminant validity. By means of a simulation study. we show that these approaches do not reliably detect the lack of discriminant validity in common research situations. We therefore propose an alternative approach. based on the multitrait-multimethod matrix. to assess discriminant validity: the heterotrait-monotrait ratio of correlations. We demonstrate its superior performance by means of a Monte Carlo simulation study. in which we compare the new approach to the Fornell-Larcker criterion and the assessment of (partial) cross-loadings. Finally. we provide guidelines on how to …,True,y5F176wAAAAJ:W5xh706n7nkC,7383,https://link.springer.com/article/10.1007%252Fs11747-014-0403-8,16620720531883439890,/scholar?cites=16620720531883439890,,,https://link.springer.com/article/10.1007%252Fs11747-014-0403-8,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1274669,SmartPLS 2.0 (beta),2005,Christian M Ringle and Sven Wende and Alexander Will,,,,,Hamburg: SmartPLS,,True,y5F176wAAAAJ:u5HHmVD_uO8C,7020,http://scholar.google.com/scholar?cluster=2811477130157979371&hl=en&oi=scholarr,2811477130157979371,/scholar?cites=2811477130157979371,,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
