,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1275028,Toward Intrinsic Graphene Surfaces: A Systematic Study on Thermal Annealing and Wet-Chemical Treatment of SiO2-Supported Graphene Devices,2011,Zengguang Cheng and Qiaoyu Zhou and Chenxuan Wang and Qiang Li and Chen Wang and Ying Fang,11,Nano letters,2,767-771,American Chemical Society,,True,pJ6oB1UAAAAJ:pd13xYLNQIYC,558,,3693859394806986095,/scholar?cites=3693859394806986095,,,,0,0,0
1275029,Selective enhancement filters for nodules. vessels. and airway walls in two‐and three‐dimensional CT scans,2003,Qiang Li and Shusuke Sone and Kunio Doi,30,Medical physics,8,2040-2051,American Association of Physicists in Medicine,,True,pJ6oB1UAAAAJ:NPXGMAJaBc0C,504,,15400567975982664245,/scholar?cites=15400567975982664245,,,,0,0,0
1275030,Ultralight multiwalled carbon nanotube aerogel,2010,Jianhua Zou and Jianhua Liu and Ajay Singh Karakoti and Amit Kumar and Daeha Joung and Qiang Li and Saiful I Khondaker and Sudipta Seal and Lei Zhai,4,ACS nano,12,7293-7302,American Chemical Society,,True,pJ6oB1UAAAAJ:veuxFd29oYUC,460,,6739687542389341165,/scholar?cites=6739687542389341165,,,,0,0,0
1275031,Graphene and nanowire transistors for cellular interfaces and electrical recording,2010,Tzahi Cohen-Karni and Quan Qing and Qiang Li and Ying Fang and Charles M Lieber,10,Nano letters,3,1098-1102,American Chemical Society,,True,pJ6oB1UAAAAJ:l8HPBemuozgC,437,,185533245609064528,/scholar?cites=185533245609064528,,,,0,0,0
1275032,Wireless power transfer within a circuit breaker,2012,Andrew J Campanella and Qiang Li and Morris P Kesler and Katherine L Hall and Aristeidis Karalis and Konrad Kulikowski and Andre B Kurs and Marin Soljacic and Eric R Giler,,,,,,,True,pJ6oB1UAAAAJ:Vc_znlpJgV8C,414,,12323117645256196799,/scholar?cites=12323117645256196799,,,,0,0,0
1275033,Wireless transmission of solar generated power,2012,Andrew J Capanella and Ron Fiorello and Katherine L Hall and Aristeidis Karalis and Morris P Kesler and Konrad Kulikowski and Andre B Kurs and Qiang Li and Marin Soljacic and Eric R Giler and David Schatz,,,,,,,True,pJ6oB1UAAAAJ:a3sPKL9GjzYC,397,,7309991102632920390,/scholar?cites=7309991102632920390,,,,0,0,0
1275034,Improving enzymatic hydrolysis of wheat straw using ionic liquid 1-ethyl-3-methyl imidazolium diethyl phosphate pretreatment,2009,Qiang Li and Yu-Cai He and Mo Xian and Gao Jun and Xin Xu and Jian-Ming Yang and Liang-Zhi Li,100,Bioresource technology,14,3570-3575,Elsevier,,True,pJ6oB1UAAAAJ:gGo9PeUW_JsC,392,,1751390324309648818,/scholar?cites=1751390324309648818,,,,0,0,0
1275035,Wireless energy transfer systems,2013,Morris P Kesler and Aristeidis Karalis and Andre B Kurs and Andrew J Campanella and Ron Fiorello and Qiang Li and Konrad Kulikowski and Eric R Giler and Frank J Pergal and David A Schatz and Katherine L Hall and Marin Soljacic,,,,,,,True,pJ6oB1UAAAAJ:XZpvIhjRgrsC,391,,3016806033753945784,/scholar?cites=3016806033753945784,,,,0,0,0
1275036,Prevalence of mental disorders in China: a cross-sectional epidemiological study,2019,Yueqin Huang and YU Wang and Hong Wang and Zhaorui Liu and Xin Yu and Jie Yan and Yaqin Yu and Changgui Kou and Xiufeng Xu and Jin Lu and Zhizhong Wang and Shulan He and Yifeng Xu and Yanling He and Tao Li and Wanjun Guo and Hongjun Tian and Guangming Xu and Xiangdong Xu and Yanjuan Ma and Linhong Wang and Limin Wang and Yongping Yan and Bo Wang and Shuiyuan Xiao and Liang Zhou and Lingjiang Li and Liwen Tan and Tingting Zhang and Chao Ma and Qiang Li and Hua Ding and Hongchun Geng and Fujun Jia and Jianfei Shi and Shiliang Wang and Ning Zhang and Xinbai Du and Xiangdong Du and Yue Wu,6,The Lancet Psychiatry,3,211-224,Elsevier,,True,pJ6oB1UAAAAJ:-tmR84mPQEwC,376,,7778247823886049328,/scholar?cites=7778247823886049328,,,,0,0,0
1275037,Plateaus observed in the field profile of thermal conductivity in the superconductor Bi2Sr2CaCu2O8,1997,K Krishana and NP Ong and Q Li and GD Gu and N Koshizuka,277,Science,5322,83-85,American Association for the Advancement of Science,,True,pJ6oB1UAAAAJ:dDWX_BJh2WwC,333,,2762540584053832685,/scholar?cites=2762540584053832685,,,,0,0,0
1275038,Suspended graphene sensors with improved signal and reduced noise,2010,Zengguang Cheng and Qiang Li and Zhongjun Li and Qiaoyu Zhou and Ying Fang,10,Nano letters,5,1864-1868,American Chemical Society,,True,pJ6oB1UAAAAJ:ubdS_u6ZWmMC,318,,14262297995815868142,/scholar?cites=14262297995815868142,,,,0,0,0
1275039,Jet energy measurement and its systematic uncertainty in proton–proton collisions at√ s= 7TeV with the ATLAS detector,2015,Melissa Franklin and John Huth and L Jeanty and D Lopez Mateos and Kevin Mercurio and Masahiro Morii and William Spearman and Andy Yen and G Zevi Della Porta,,The European Physical Journal C,,,Springer Nature,,True,cWU96qkAAAAJ:noJvBAPgP0YC,2592,,6727422993564776635,/scholar?cites=6727422993564776635,,,,0,0,0
1275040,Local gabor binary pattern histogram sequence (lgbphs): A novel non-statistical model for face representation and recognition,2005,Wenchao Zhang and Shiguang Shan and Wen Gao and Xilin Chen and Hongming Zhang,1,,,786-791,IEEE,,True,cWU96qkAAAAJ:u5HHmVD_uO8C,1315,,16367867274177820987,/scholar?cites=16367867274177820987,,,,0,0,0
