,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1277114,X-ray imaging and analysis techniques for quantifying pore-scale structure and processes in subsurface porous medium systems,2013,Dorthe Wildenschild and Adrian P Sheppard,51,Advances in Water Resources,,217-246,Elsevier,We report here on recent developments and advances in pore-scale X-ray tomographic imaging of subsurface porous media. Our particular focus is on immiscible multi-phase fluid flow. i.e.. the displacement of one immiscible fluid by another inside a porous material. which is of central importance to many natural and engineered processes. Multiphase flow and displacement can pose a rather difficult problem. both because the underlying physics is complex. and also because standard laboratory investigation reveals little about the mechanisms that control micro-scale processes. X-ray microtomographic imaging is a non-destructive technique for quantifying these processes in three dimensions within individual pores. and as we report here. with rapidly increasing spatial and temporal resolution.,True,erjGsWoAAAAJ:738O_yMBCRsC,897,https://www.sciencedirect.com/science/article/pii/S0309170812002060,8396149342328011481,/scholar?cites=8396149342328011481,,,https://ir.library.oregonstate.edu/downloads/t148fh81z,0,0,0
1277115,Image processing of multiphase images obtained via X‐ray microtomography: a review,2014,Steffen Schlüter and Adrian Sheppard and Kendra Brown and Dorthe Wildenschild,50,,4,3615-3639,,Easier access to X‐ray microtomography (μCT) facilities has provided much new insight from high‐resolution imaging for various problems in porous media research. Pore space analysis with respect to functional properties usually requires segmentation of the intensity data into different classes. Image segmentation is a nontrivial problem that may have a profound impact on all subsequent image analyses. This review deals with two issues that are neglected in most of the recent studies on image segmentation: (i) focus on multiclass segmentation and (ii) detailed descriptions as to why a specific method may fail together with strategies for preventing the failure by applying suitable image enhancement prior to segmentation. In this way. the presented algorithms become very robust and are less prone to operator bias. Three different test images are examined: a synthetic image with ground‐truth information. a …,True,erjGsWoAAAAJ:FkBsMxS_Bp0C,412,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2014WR015256,16310805104678879256,/scholar?cites=16310805104678879256,,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015256,0,0,0
1277116,Assessment of bone ingrowth into porous biomaterials using MICRO-CT,2007,Anthony C Jones and Christoph H Arns and Adrian P Sheppard and Dietmar W Hutmacher and Bruce K Milthorpe and Mark A Knackstedt,28,Biomaterials,15,2491-2504,Elsevier,The three-dimensional (3D) structure and architecture of biomaterial scaffolds play a critical role in bone formation as they affect the functionality of the tissue-engineered constructs. Assessment techniques for scaffold design and their efficacy in bone ingrowth studies require an ability to accurately quantify the 3D structure of the scaffold and an ability to visualize the bone regenerative processes within the scaffold structure. In this paper. a 3D micro-CT imaging and analysis study of bone ingrowth into tissue-engineered scaffold materials is described. Seven specimens are studied in this paper; a set of three specimens with a cellular structure. varying pore size and implant material. and a set of four scaffolds with two different scaffold designs investigated at early (4 weeks) and late (12 weeks) explantation times. The difficulty in accurately phase separating the multiple phases within a scaffold undergoing bone …,True,erjGsWoAAAAJ:9yKSN-GCB0IC,408,https://www.sciencedirect.com/science/article/pii/S0142961207001287,10860703513713312633,/scholar?cites=10860703513713312633,,,https://www.academia.edu/download/45697951/j.biomaterials.2007.01.04620160517-17606-fhfnhf.pdf,0,0,0
1277117,Techniques for image enhancement and segmentation of tomographic images of porous materials,2004,Adrian P Sheppard and Robert M Sok and Holger Averdunk,339,Physica A: Statistical mechanics and its applications,1-2,145-151,North-Holland,This article presents a three-stage approach. combining novel and traditional algorithms. for the segmentation of images of porous and composite materials obtained from X-ray tomography. The first stage is an anisotropic diffusion filter which removes noise while preserving significant features. The second stage applies the unsharp mask sharpening filter which enhances edges and partially reverses the smoothing that is often a consequence of tomographic reconstruction. The final stage uses a combination of watershed and active contour methods for segmentation of the grey-scale data. For the data sets we have analysed. this approach gives the highest quality results. In addition. it has been implemented on cluster-type parallel computers and applied to cubic images comprising up to 20003 voxels.,True,erjGsWoAAAAJ:qjMakFHDy7sC,389,https://www.sciencedirect.com/science/article/pii/S037843710400370X,5875249240698477462,/scholar?cites=5875249240698477462,,,https://www.researchgate.net/profile/Robert_Sok/publication/222625287_Techniques_for_Image_Enhancement_and_Segmentation_of_Tomographic_Images_of_Porous_Materials/links/5e91ac5f4585150839d2467f/Techniques-for-Image-Enhancement-and-Segmentation-of-Tomographic-Images-of-Porous-Materials.pdf,0,0,0
1277118,The correlation of pore morphology. interconnectivity and physical properties of 3D ceramic scaffolds with bone ingrowth,2009,Anthony C Jones and Christoph H Arns and Dietmar W Hutmacher and Bruce K Milthorpe and Adrian P Sheppard and Mark A Knackstedt,30,Biomaterials,7,1440-1451,Elsevier,In the design of tissue engineering scaffolds. design parameters including pore size. shape and interconnectivity. mechanical properties and transport properties should be optimized to maximize successful inducement of bone ingrowth. In this paper we describe a 3D micro-CT and pore partitioning study to derive pore scale parameters including pore radius distribution. accessible radius. throat radius. and connectivity over the pore space of the tissue engineered constructs. These pore scale descriptors are correlated to bone ingrowth into the scaffolds. Quantitative and visual comparisons show a strong correlation between the local accessible pore radius and bone ingrowth; for well connected samples a cutoff accessible pore radius of ∼100 μm is observed for ingrowth. The elastic properties of different types of scaffolds are simulated and can be described by standard cellular solids theory: (E/E0) = (ρ/ρs)n …,True,erjGsWoAAAAJ:eQOLeE2rZwMC,335,https://www.sciencedirect.com/science/article/pii/S014296120800817X,5794118549335089033,/scholar?cites=5794118549335089033,,,https://www.academia.edu/download/45697934/j.biomaterials.2008.10.05620160517-14842-13czk06.pdf,0,0,0
1277119,Morphological clues to wet granular pile stability,2008,Mario Scheel and Ralf Seemann and MDMM Brinkmann and Marco Di Michiel and Adrian Sheppard and Boris Breidenbach and Stephan Herminghaus,7,Nature materials,3,189-193,Nature Publishing Group,When a granular material such as sand is mixed with a certain amount of liquid. the surface tension of the latter bestows considerable stiffness to the material. which enables. for example. sand castles to be sculpted 1. 2. 3. 4. The geometry of the liquid interface within the granular pile is of extraordinary complexity and strongly varies with the liquid content 5. 6. 7. Surprisingly. the mechanical properties of the pile are largely independent of the amount of liquid 2. 8. 9. 10. 11. 12. 13 over a wide range 14. 15. 16. We resolve this puzzle with the help of X-ray microtomography. showing that the remarkable insensitivity of the mechanical properties to the liquid content is due to the particular organization of the liquid in the pile into open structures. For spherical grains. a simple geometric rule is established. which relates the macroscopic properties to the internal liquid morphologies. We present evidence that this concept is …,True,erjGsWoAAAAJ:LkGwnXOMwfcC,326,https://www.nature.com/articles/nmat2117,14123985458477426080,/scholar?cites=14123985458477426080,,,https://www.researchgate.net/profile/Mario_Scheel/publication/5588225_Morphological_clues_to_wet_granular_pilestability/links/53f619d90cf2888a74929a0b.pdf,0,0,0
1277120,Pore scale characterization of carbonates using X-ray microtomography,2005,Christoph H Arns and Fabrice Bauget and Ajay Limaye and Arthur Sakellariou and Timothy Senden and Adrian Sheppard and Robert Martin Sok and Val Pinczewski and Stig Bakke and Lars Inge Berge and Paul E Oren and Mark A Knackstedt,10,Spe Journal,04,475-484,OnePetro,A reservoir carbonate core plug has been imaged in 3D across a range of length scales using high-resolution X-ray microtomography. Data from the original 40-mm diameter plug was obtained at the vug scale and allows the size. shape. and spatial distribution of the disconnected vuggy porosity to be measured. Within the imaged volume over 32.000 separate vugs are identified and a broad vug size distribution is measured. Higher resolution images on subsets of the plug exhibit interconnected porosity and allow one to measure characteristic. intergranular pore size. Pore scale structure and petrophysical properties (permeability. drainage capillary pressure. formation factor. and NMR response) are derived directly on the highest resolution tomographic dataset. We show that data over a range of porosity can be computed from a single plug fragment. Data for the carbonate core is compared to results derived from …,True,erjGsWoAAAAJ:roLk4NBRz8UC,296,https://onepetro.org/SJ/article-abstract/10/04/475/112624,11791131481384728416,/scholar?cites=11791131481384728416,,,,0,0,0
1277121,Theory and algorithms for constructing discrete Morse complexes from grayscale digital images,2011,Vanessa Robins and Peter John Wood and Adrian P Sheppard,33,IEEE Transactions on pattern analysis and machine intelligence,8,1646-1658,IEEE,We present an algorithm for determining the Morse complex of a two or three-dimensional grayscale digital image. Each cell in the Morse complex corresponds to a topological change in the level sets (i.e.. a critical point) of the grayscale image. Since more than one critical point may be associated with a single image voxel. we model digital images by cubical complexes. A new homotopic algorithm is used to construct a discrete Morse function on the cubical complex that agrees with the digital image and has exactly the number and type of critical cells necessary to characterize the topological changes in the level sets. We make use of discrete Morse theory and simple homotopy theory to prove correctness of this algorithm. The resulting Morse complex is considerably simpler than the cubical complex originally used to represent the image and may be used to compute persistent homology.,True,erjGsWoAAAAJ:2P1L_qKh6hAC,227,https://ieeexplore.ieee.org/abstract/document/5766002/,5388488681100176321,/scholar?cites=5388488681100176321,,,"https://www.ljll.math.upmc.fr/~frey/papers/scientific%20visualisation/Robins%20V.,%20Theory%20and%20algorithms%20for%20constructing%20discrete%20Morse%20complexes%20from%20grayscale%20digital%20images.pdf",0,0,0
1277122,Polarized dark solitons in isotropic Kerr media,1997,Adrian P Sheppard and Yuri S Kivshar,55,Physical Review E,4,4773,American Physical Society,We characterize dark-type vector optical solitons of arbitrary polarization in isotropic. Kerr-type media by applying Hirota's method to the integrable Manakov model with a defocusing nonlinearity. We find that nonuniformly polarized solitons comprise a rich solution family that can be divided into two categories: dark-dark and dark-bright vector solitons. We consider the propagation dynamics and the interactions of these vector solitons by deriving multisoliton solutions. and show the existence of stationary bound states. a phenomenon not observed for scalar dark solitons.,True,erjGsWoAAAAJ:d1gkVwhDpl0C,215,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.55.4773,6451639865268998984,/scholar?cites=6451639865268998984,,,https://pdfs.semanticscholar.org/e0e0/ed946b12e013ac0c535b6983c93709ea3c37.pdf,0,0,0
1277123,Analysis of 3D bone ingrowth into polymer scaffolds via micro-computed tomography imaging,2004,Anthony C Jones and Bruce Milthorpe and Holger Averdunk and Ajay Limaye and Tim J Senden and Arthur Sakellariou and Adrian P Sheppard and Rob M Sok and Mark A Knackstedt and Arthur Brandwood and Dennis Rohner and Dietmar W Hutmacher,25,Biomaterials,20,4947-4954,Elsevier,This paper illustrates the utility of micro-computed tomography (micro-CT) to study the process of tissue engineered bone growth. A micro-CT facility for imaging and visualising biomaterials in three dimensions (3D) is described. The facility is capable of acquiring 3D images made up of 20003 voxels on specimens up to 60 mm in extent with resolutions down to 2 μm. This allows the 3D structure of tissue engineered materials to be imaged across three orders of magnitude of detail. The capabilities of micro-CT are demonstrated by imaging the Haversian network within human femoral cortical bone (distal diaphysis) and bone ingrowth into a porous scaffold at varying resolutions. Phase identification combined with 3D visualisation enables one to observe the complex topology of the canalicular system of the cortical bone. Imaging of the tissue engineered bone at a scale of 1 cm and resolutions of 10 μm allows …,True,erjGsWoAAAAJ:2osOgNQ5qMEC,200,https://www.sciencedirect.com/science/article/pii/S0142961204000882,2255406182442230151,/scholar?cites=2255406182442230151,,,https://www.academia.edu/download/51927759/Analysis_of_3D_bone_ingrowth_into_polyme20170224-1407-1lsc8r6.pdf,0,0,0
