,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1091148,Toll-like receptor signalling,2004,"['S Akira', 'K Takeda']",0TG2laoAAAAJ | ,,,,,,One of the mechanisms by which the innate immune system senses the invasion of pathogenic microorganisms is through the Toll-like receptors (TLRs). which recognize specific molecular patterns that are present in microbial components. Stimulation of different,False,,9450,https://www.nature.com/articles/nri1391,,"/scholar?cites=9893533541972366892&as_sdt=5,33&sciodt=0,33&hl=en",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.598.7351&rep=rep1&type=pdf,0,0,0
1091149,Monocyte and macrophage heterogeneity,2005,"['S Gordon', 'PR Taylor']", | ,,,,,,Heterogeneity of the macrophage lineage has long been recognized and. in part. is a result of the specialization of tissue macrophages in particular microenvironments. Circulating monocytes give rise to mature macrophages and are also heterogeneous themselves,False,,5421,https://www.nature.com/articles/nri1733,,"/scholar?cites=16624420678369626103&as_sdt=5,33&sciodt=0,33&hl=en",http://courses.washington.edu/conj514/readings/heinecke_reading4.pdf,0,0,0
1091150,Toll-like receptor control of the adaptive immune responses,2004,"['A Iwasaki', 'R Medzhitov']", | 7oY-qF4AAAAJ,,,,,,Recognition of microbial infection and initiation of host defense responses is controlled by multiple mechanisms. Toll-like receptors (TLRs) have recently emerged as a key component of the innate immune system that detect microbial infection and trigger antimicrobial host,False,,4821,https://www.nature.com/articles/ni1112,,"/scholar?cites=925545645687491204&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/Akiko_Iwasaki2/publication/8260410_Iwasaki_A_Medzhitov_R_Toll-like_receptor_control_of_the_adaptive_immune_responses_Nat_Immunol_5_987-995/links/55a66aec08ae51639c571d99/Iwasaki-A-Medzhitov-R-Toll-like-receptor-control-of-the-adaptive-immune-responses-Nat-Immunol-5-987-995.pdf,0,0,0
1091151,Signaling to NF-κB,2004,"['MS Hayden', 'S Ghosh']",M3-rj3AAAAAJ | SyQ-MLQAAAAJ,,,,,,The transcription factor NF-κB has been the focus of intense investigation for nearly two decades. Over this period. considerable progress has been made in determining the function and regulation of NF-κB. although there are nuances in this important signaling,False,,4580,http://genesdev.cshlp.org/content/18/18/2195.short,,"/scholar?cites=3716213714211097631&as_sdt=5,33&sciodt=0,33&hl=en",http://genesdev.cshlp.org/content/18/18/2195.full.pdf,0,0,0
1091152,EPOS 2012: European position paper on rhinosinusitis and nasal polyps 2012. A summary for otorhinolaryngologists.,2012,"['WJ Fokkens', 'VJ Lund', 'J Mullol', 'C Bachert', 'I Alobid']", |  |  | gwi62DIAAAAJ | ,,,,,,The European Position Paper on Rhinosinusitis and Nasal Polyps 2012 is the update of similar evidence based position papers published in 2005 and 2007. The document contains chapters on definitions and classification. we now also proposed definitions for,False,,4558,https://europepmc.org/article/med/22469599,,"/scholar?cites=12386590835263198176&as_sdt=5,33&sciodt=0,33&hl=en",https://espace.library.uq.edu.au/view/UQ:326143/UQ326143_OA.pdf,0,0,0
1091153,NF-κB-dependent induction of microRNA miR-146. an inhibitor targeted to signaling proteins of innate immune responses,2006,"['KD Taganov', 'MP Boldin', 'KJ Chang']", |  | HkyvmGoAAAAJ,,,,,,Activation of mammalian innate and acquired immune responses must be tightly regulated by elaborate mechanisms to control their onset and termination. MicroRNAs have been implicated as negative regulators controlling diverse biological processes at the level of,False,,4282,https://www.pnas.org/content/103/33/12481.short,,"/scholar?cites=7890088929250870342&as_sdt=5,33&sciodt=0,33&hl=en",https://www.pnas.org/content/pnas/103/33/12481.full.pdf,0,0,0
1091154,Recognition of commensal microflora by toll-like receptors is required for intestinal homeostasis,2004,"['S Rakoff-Nahoum', 'J Paglino', 'F Eslami-Varzaneh']",13EyAAYAAAAJ |  | ,,,,,,Toll-like receptors (TLRs) play a crucial role in host defense against microbial infection. The microbial ligands recognized by TLRs are not unique to pathogens. however. and are produced by both pathogenic and commensal microorganisms. It is thought that an,False,,4204,https://www.sciencedirect.com/science/article/pii/S0092867404006610,,"/scholar?cites=12324622745093093740&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S0092867404006610,0,0,0
1091155,Species-specific recognition of single-stranded RNA via toll-like receptor 7 and 8,2004,"['F Heil', 'H Hemmi', 'H Hochrein', 'F Ampenberger']", |  | 4rFTmksAAAAJ | ,,,,,,Double-stranded ribonucleic acid (dsRNA) serves as a danger signal associated with viral infection and leads to stimulation of innate immune cells. In contrast. the immunostimulatory potential of single-stranded RNA (ssRNA) is poorly understood and innate immune,False,,4194,https://science.sciencemag.org/content/303/5663/1526.abstract,,"/scholar?cites=10719852929497121788&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1091156,Naturally arising CD4+ regulatory T cells for immunologic self-tolerance and negative control of immune responses,2004,['S Sakaguchi'],DnbGVYQAAAAJ,,,,,,▪ Abstract Naturally occurring CD4+ regulatory T cells. the majority of which express CD25. are engaged in dominant control of self-reactive T cells. contributing to the maintenance of immunologic self-tolerance. Their depletion or functional alteration leads to the development,False,,4144,https://www.annualreviews.org/doi/full/10.1146/annurev.immunol.21.120601.141122,,"/scholar?cites=7423853312027430291&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1091157,Toll-like receptors in innate immunity,2005,"['K Takeda', 'S Akira']", | 0TG2laoAAAAJ,,,,,,Functional characterization of Toll-like receptors (TLRs) has established that innate immunity is a skillful system that detects invasion of microbial pathogens. Recognition of microbial components by TLRs initiates signal transduction pathways. which triggers,False,,4141,https://academic.oup.com/intimm/article-abstract/17/1/1/721976,,"/scholar?cites=5885392777539371064&as_sdt=5,33&sciodt=0,33&hl=en",https://academic.oup.com/intimm/article/17/1/1/721976,0,0,0
1091158,Innate antiviral responses by means of TLR7-mediated recognition of single-stranded RNA,2004,"['SS Diebold', 'T Kaisho', 'H Hemmi', 'S Akira']", |  |  | 0TG2laoAAAAJ,,,,,,Interferons (IFNs) are critical for protection from viral infection. but the pathways linking virus recognition to IFN induction remain poorly understood. Plasmacytoid dendritic cells produce vast amounts of IFN-α in response to the wild-type influenza virus. Here. we show that this,False,,3835,https://science.sciencemag.org/content/303/5663/1529.abstract,,"/scholar?cites=17747587052776236027&as_sdt=5,33&sciodt=0,33&hl=en",https://fenix.ciencias.ulisboa.pt/downloadFile/563087392375583/Artigo%2003%20Science%202004%20303%201529.pdf,0,0,0
1091159,Microbial translocation is a cause of systemic immune activation in chronic HIV infection,2006,"['JM Brenchley', 'DA Price', 'TW Schacker', 'TE Asher']", |  |  | ,,,,,,Chronic activation of the immune system is a hallmark of progressive HIV infection and better predicts disease outcome than plasma viral load. yet its etiology remains obscure. Here we show that circulating microbial products. probably derived from the gastrointestinal,False,,3545,https://www.nature.com/articles/nm1511,,"/scholar?cites=9161213813406743950&as_sdt=5,33&sciodt=0,33&hl=en",https://www.academia.edu/download/42792553/Microbial_Translocation_is_a_Cause_of_Sy20160218-4843-1lyxe6f.pdf,0,0,0
1091160,Role of adaptor TRIF in the MyD88-independent toll-like receptor signaling pathway,2003,"['M Yamamoto', 'S Sato', 'H Hemmi', 'K Hoshino']", |  |  | ,,,,,,Stimulation of Toll-like receptors (TLRs) triggers activation of a common MyD88-dependent signaling pathway as well as a MyD88-independent pathway that is unique to TLR3 and TLR4 signaling pathways leading to interferon (IFN)-β production. Here we disrupted the,False,,3501,https://science.sciencemag.org/content/301/5633/640.abstract,,"/scholar?cites=3379138214562081196&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/Osamu_Takeuchi/publication/10665863_Role_of_Adaptor_TRIF_in_the_MyD88-Independent_Toll-Like_Receptor_Signaling_Pathway/links/0912f50c2988822cbb000000/Role-of-Adaptor-TRIF-in-the-MyD88-Independent-Toll-Like-Receptor-Signaling-Pathway.pdf,0,0,0
1091161,Cancer immunotherapy: moving beyond current vaccines,2004,"['SA Rosenberg', 'JC Yang', 'NP Restifo']",XkJsAeQAAAAJ |  | LVBMEQ8AAAAJ,,,,,,Great progress has been made in the field of tumor immunology in the past decade. but optimism about the clinical application of currently available cancer vaccine approaches is based more on surrogate endpoints than on clinical tumor regression. In our cancer vaccine,False,,3268,https://www.nature.com/articles/nm1100,,"/scholar?cites=9800748980672409219&as_sdt=5,33&sciodt=0,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1435696/,0,0,0
