Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
1315,"Senior Lecturer, University of Venda",,436,OKgPPJAAAAAJ,{'indices'},,Caston Sigauke,,351,12,11,16,15,1,1
1316,Lecturer in Statistics and Actuarial Science University of Witwatersrand,,32,dH6F0y8AAAAJ,{'indices'},,Rendani Mbuvha,,32,4,4,1,1,1,1
1317,Google Brain,,8531,20Y73oIAAAAJ,{'indices'},,Lichan Hong,,3902,37,23,72,41,1,1
1318,Seoul National University,,8191,-nlhtEkAAAAJ,{'indices'},,Bongwon Suh,,3430,26,19,41,31,1,1
1319,,,13854,jYHJAagAAAAJ,{'indices'},,Jim Pitkow,,2243,49,24,63,42,1,1
1320,"Staff Research Scientist, Google",,3425,zEYMVR0AAAAJ,{'indices'},,Alex Beutel,,3129,32,30,44,43,1,1
1321,"Adjunct Professor, Computer Science Dept., Stanford University",,51440,ccCNF08AAAAJ,{'indices'},,Stuart K. Card,,9629,91,41,170,103,1,1
1322,"Professor, Carnegie Mellon University",,11967,2vZ5zRQAAAAJ,{'indices'},,Aniket Kittur,,6183,41,35,76,61,1,1
1323,Google,,2808,x9NyDZ0AAAAJ,{'indices'},,Gregorio Convertino,,1174,26,18,48,29,1,1
1324,"Associate Professor, Stanford University",,33887,zkhHirIAAAAJ,{'indices'},,Michael S. Bernstein,,29412,47,42,105,92,1,1
1325,Google,,1162,SLg5E9cAAAAJ,{'indices'},,Rowan Nairn,,338,10,7,10,7,1,1
1326,"Research Scientist, Google Inc.",,1210,TRZB0J4AAAAJ,{'indices'},,Zhe Zhao,,1111,14,14,16,14,1,1
1327,Google,,2181,YgtBXP0AAAAJ,{'indices'},,Bryan A. Pendleton,,641,14,11,15,13,1,1
1328,"Technical Fellow, Tableau Software",,28770,SWworh8AAAAJ,{'indices'},,Jock D. Mackinlay,,6613,67,38,128,82,1,1
1329,University of Munich,,54697,qIL9dWUAAAAJ,{'indices'},,Hinrich Schütze,,22110,63,48,199,138,1,1
1330,Google Research & Machine Intelligence,,737,r0c4bz4AAAAJ,{'indices'},,Xinyang Yi,,702,11,11,12,12,1,1
1331,University of Washington,,21646,vlgs4G4AAAAJ,{'indices'},,Jeffrey Heer,,12282,69,53,144,123,1,1
1332,University of Minnesota,,63267,PH4mytYAAAAJ,{'indices'},,Joseph A. Konstan,,23197,81,54,147,115,1,1
1333,"Research scientist, Google",,2515,kR7DersAAAAJ,{'indices'},,Minmin Chen,,1936,17,17,23,20,1,1
1334,Google Brain / Google Research,,3022,qYYPst0AAAAJ,{'indices'},,Derek Zhiyuan Cheng,,1774,16,15,18,17,1,1
1335,"Senior Research Scientist, Twitch",,1091,BH7jpGIAAAAJ,{'indices'},,Sanjay Kairam,,501,13,10,14,10,1,1
1336,Microsoft Research,,2854,Z4y_Z3sAAAAJ,{'indices'},,Todd Mytkowicz,,1535,24,18,35,25,1,1
