Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
188480,"Professor of Astrophysics, University of Ferrara",,42750,_9bItzkAAAAJ,{'indices'},Observational Astrophysics - Cosmology,Piero Rosati,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_9bItzkAAAAJ&citpid=2,14687,108,59,348,235,0,0
188481,Gemini Observatory,,29274,7w57_eQAAAAJ,{'indices'},astronomy|astrophysics|cosmology,John P. Blakeslee,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7w57_eQAAAAJ&citpid=10,8592,81,47,202,143,0,0
188482,"Professor of Physics and Astronomy, Michigan State University",,20502,FKIFfHYAAAAJ,{'indices'},Clusters of galaxies|Cosmology|Galaxy Evolution|Astronomy Education,Megan Donahue,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FKIFfHYAAAAJ&citpid=4,8794,72,47,197,143,0,0
188483,"Ikerbasque Prof. of Astrophysics, University of the Basque Country",,27969,unjiYgQAAAAJ,{'indices'},Cosmology|Gravitational Lensing|Dark Matter|Galaxy Clusters|Galaxy Evolution,Tom Broadhurst,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=unjiYgQAAAAJ&citpid=2,8547,93,50,254,171,0,0
188484,Space Telescope Science Institute,,80262,mq6cQ3QAAAAJ,{'indices'},Astronomy|Astrophysics|Cosmology|Black Holes|Galaxy Formation,Anton M. Koekemoer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=unjiYgQAAAAJ&citpid=2,39310,149,99,592,514,0,0
188485,"PhD, Astronomy and Astrophysics, Ben-Gurion University",,9941,qAqDwFwAAAAJ,{'indices'},Astronomy|Cosmology and Astrophysics,Adi Zitrin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qAqDwFwAAAAJ&citpid=2,7025,55,47,131,122,0,0
188486,"Institute of Astronomy and Astrophysics, Academia Sinica (ASIAA)",,10907,JHAdrV0AAAAJ,{'indices'},Astrophysics|Cosmology|Dark Matter|Galaxy Clusters|Gravitational Lensing,Keiichi Umetsu (梅津敬一),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JHAdrV0AAAAJ&citpid=9,6417,56,43,148,125,0,0
188487,Princeton University,,6778,i2wUs3oAAAAJ,{'indices'},Cosmology|Weak Lensing|Clusters of Galaxies,Elinor Medezinski,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JHAdrV0AAAAJ&citpid=9,4657,47,37,64,61,0,0
188488,"Professor of Physics and Astronomy, Michigan State University",,11382,tbQptOgAAAAJ,{'indices'},Astrophysics,G. Mark Voit,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tbQptOgAAAAJ&citpid=3,3780,58,34,110,75,0,0
188489,"Associate Research Professor of Astronomy, Research Scientist, NCSA, University of Illinois at",,19492,VA6vB64AAAAJ,{'indices'},Observational Cosmology|Large Astronomical Surveys|Galaxy Clusters|Galaxy Formation,Felipe Menanteau,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VA6vB64AAAAJ&citpid=5,12492,66,54,209,181,0,0
