,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
618656,"Department of Animal Morphology, Adam Mickiewicz University",,1579,nf5EVHUAAAAJ,{'indices'},,Maciej Skoracki,,553,18,10,61,11,0,0
618657,"Professor, School of Biological Sciences University of Auckland & Researcher, Landcare Research",,6873,xcw-MJwAAAAJ,{'indices'},,Zhi-Qiang ZHANG,,3167,35,21,153,49,0,0
618658,"Professor of Zoology and Ecology of Animals, University of Montenegro",,4025,KdCHuTUAAAAJ,{'indices'},,Vladimir Pešić,,2388,25,19,127,48,0,0
618659,Zoological Institute RAS,,772,1j5i6R0AAAAJ,{'indices'},,Sergey Mironov,,396,16,11,27,12,0,0
618660,"Ministry for Primary Industries , New Zealand",,2145,oeUxFEUAAAAJ,{'indices'},,Q.-H. Fan,,1140,20,13,53,20,0,0
618661,"Professor Emeritus, Crop Protection Cluster, College of Agriculture, University of the Philippines",,1258,etLbocgAAAAJ,{'indices'},,Leonila Corpuz-Raros,,482,18,9,39,9,0,0
618662,"Zoological Institute of the Russian Academy of Sciences,    Saint-Petersburg, Russia",,3417,J6DSGDMAAAAJ,{'indices'},,Alexei V. Abramov,,1720,31,19,100,58,0,0
618663,"United States National Tick Collection, Georgia Southern University",,2733,AZW9Bk0AAAAJ,{'indices'},,Dmitry A. Apanaskevich,,1902,24,22,47,36,0,0
618664,"Department of Plant Protection, Faculty of Agriculture, University of Tehran, Karaj, Iran",,2546,NFTzfT4AAAAJ,{'indices'},,Alireza Saboori,,1145,22,14,84,24,0,0
618665,Auburn University,,2368,3hMMuYAAAAAJ,{'indices'},,Geoff Williams,,1680,23,22,35,32,0,0
618666,University of Alberta,,5674,HjN5Xk4AAAAJ,{'indices'},,Heather Proctor,,2008,32,19,99,47,0,0
618667,"Parasitologist, IEFP Keldur, University of Iceland",,2356,ga6JbAkAAAAJ,{'indices'},,Karl Skirnisson,,895,28,15,63,33,0,0
618668,Royal Belgian Institute of Natural Sciences & University of Antwerp,,6111,0ULq4awAAAAJ,{'indices'},,Erik Verheyen,,2177,41,24,112,72,0,0
618669,"profesor zoologii, UAM",,1802,WZY8SKYAAAAJ,{'indices'},,Jacek Dabert,,860,20,13,47,17,0,0
618670,"Senior Research Coordinator, San Diego Zoo Institute for Conservation Research",,568,nqQ4MJ8AAAAJ,{'indices'},,Sarah Hendricks,,528,10,9,10,9,0,0
618671,Museu de Zoologia da Universidade de São Paulo,,914,qD0AZV0AAAAJ,{'indices'},,Michel P. Valim,,395,17,11,30,13,0,0
618672,"Profesor Titular, Departamento de Microbiología, Universidad del Valle, Cali, Colombia",,827,kos3trgAAAAJ,{'indices'},,Mauricio Barreto,,208,14,8,20,6,0,0
618673,"Laboratory of Parasitic Arthropods, Zoological Institute RAS",,609,XLrRY9oAAAAJ,{'indices'},,Stekolnikov Alexandr A.,,378,14,11,20,12,0,0
618674,,,11653,rKDqVVIAAAAJ,{'indices'},,David Evans Walter,,3775,46,22,129,57,0,0
618675,Museum National d'Histoire naturelle,,3489,RPmM3j8AAAAJ,{'indices'},,HUGOT Jean-Pierre,,1121,30,16,79,32,0,0
618676,"Bioengineering and Psychiatry, Stanford University",,99282,WhhC4LwAAAAJ,{'indices'},,Karl Deisseroth,,59031,152,128,423,402,0,0
618677,"Regents Professor, Psychology, Neurology and Neuroscience",,43238,ujQTWgIAAAAJ,{'indices'},,"Carol A. Barnes, Ph.D.",,11141,104,54,232,162,0,0
618678,University of Florida,,3436,EYPe4zQAAAAJ,{'indices'},,Sara N Burke,,1714,26,22,39,38,0,0
618679,"Associate Professor, MIT",,4745,f5FgCmIAAAAJ,{'indices'},,Kwanghun Chung,,3414,26,22,30,29,0,0
618680,"Raymond Leo Erikson Life Sciences Professor of Molecular & Cellular Biology, Harvard",,11988,vSeHOe4AAAAJ,{'indices'},,Venkatesh N. Murthy,,4203,44,32,72,58,0,0
618681,"Bell Museum, EEB, Univ. MN",,11353,7Ajir6EAAAAJ,{'indices'},,Robert Zink,,2327,58,25,135,58,0,0
618682,"Professor of Biology and Curator, Emeritus, University of Washington",,9653,DxSZ5CkAAAAJ,{'indices'},,Sievert Rohwer,,1810,55,23,127,64,0,0
618683,"Research Fellow, School of Biological Sciences, Monash University",,2004,AQkKPOgAAAAJ,{'indices'},,Alexandra Pavlova,,1342,28,21,42,37,0,0
618684,Texas A&M University,,2420,BWScQYMAAAAJ,{'indices'},,Gary Voelker,,943,30,19,57,34,0,0
618685,"Associate Research Fellow, Biodiversity Research Center, Academia Sinica",,508,nUsJjQkAAAAJ,{'indices'},,Chih-Ming Hung (洪志銘),,362,11,11,12,12,0,0
618686,National Institutes of Health,,808,tMVojYkAAAAJ,{'indices'},,Nicolle Mode,,602,16,12,20,14,0,0
618687,"CIBIO/InBIO & MHNCUP, University of Porto",,3264,GI40eYQAAAAJ,{'indices'},,Ricardo Jorge Lopes,,1606,22,14,45,25,0,0
618688,"Yerevan State University, Department of Zoology",,5056,7h8OZiIAAAAJ,{'indices'},,Sargis A. Aghayan,,5015,14,14,17,17,0,0
618689,"Postdoctoral Research Fellow, University of Colorado",,232,xaks9OwAAAAJ,{'indices'},,Georgy Semenov,,210,9,9,6,6,0,0
618690,"Univ. California, Berkeley",,12799,DbJaoMgAAAAJ,{'indices'},,David P. Mindell,,4557,52,22,97,55,0,0
618691,University of Miami & University of Alaska Fairbanks,,3160,SNGmET4AAAAJ,{'indices'},,Kevin G. McCracken,,1252,31,21,68,47,0,0
618692,"Researcher @ CIBIO, University of Porto",,341,9AROB6kAAAAJ,{'indices'},,Vanessa A. Mata,,328,9,9,9,9,0,0
618693,American Museum of Natural History,,135,3MKj6IIAAAAJ,{'indices'},,Johanna A. Harvey,,125,5,5,3,3,0,0
618694,"Professor of Biology, University of North Carolina Wilmington",,2078,1V3G8cAAAAAJ,{'indices'},,Brian Arbogast,,488,17,13,20,15,0,0
618695,"Professor of Biology, Villanova University",,2213,zhU37BIAAAAJ,{'indices'},,Robert L. Curry,,755,24,13,34,17,0,0
618696,"Professor of Biology, Queen's University",,14912,AjTltIwAAAAJ,{'indices'},,Peter T. Boag,,2737,58,23,125,60,0,0
618697,"Senior curator ornithologist, Natural History Museum in Belgrade",,89,jTv_vQwAAAAJ,{'indices'},,Marko Rakovic,,74,5,5,2,1,0,0
618698,"Professor of Biology, Boston University",,11100,oX7HSbQAAAAJ,{'indices'},,Michael D. Sorenson,,2887,52,31,94,61,0,0
618699,"U.S. Geological Survey, Alaska Science Center",,429,fsjptLIAAAAJ,{'indices'},,Andrew Reeves,,322,11,10,15,13,0,0
618700,University of Minnesota,,238,H9BXeeYAAAAJ,{'indices'},,Shannon L. Farrell,,135,8,7,7,6,0,0
618701,Royal Botanic Gardens Kew,,70000,hVLMjrkAAAAJ,{'indices'},,Mark W. Chase,,21466,133,65,470,321,0,0
618702,"Royal Botanic Gardens, Kew",,28691,WVDpF4IAAAAJ,{'indices'},,M F Fay,,10150,78,45,228,150,0,0
618703,"Professor of Biological Science, Inha University",,821,hLEIagcAAAAJ,{'indices'},,Byoung-Hee Choi,,391,15,10,26,10,0,0
618704,"Senior Research Leader, Royal Botanic Gardens, Kew",,7523,t8q9_Y4AAAAJ,{'indices'},,Felix Forest,,4389,47,35,113,94,0,0
618705,"Professor, Department of Biology, Oberlin College",,5472,I89XmKsAAAAJ,{'indices'},,Michael J. Moore,,3029,33,28,46,45,0,0
618706,Florida Museum of Natural History,,5191,LqpkkskAAAAJ,{'indices'},,William Mark Whitten,,1677,38,21,64,43,0,0
618707,"School of Life Sciences and Technology, Tongji University, Shanghai, China",,564,Z5sfUIMAAAAJ,{'indices'},,Shichao Chen,,339,13,8,17,8,0,0
618708,"N.G. Hairston Professor of Ecology, Evolutionary Biology, & Complex Systems, University of Michigan",,5591,UEDi4ZcAAAAJ,{'indices'},,Aaron A. King,,3132,36,26,53,43,0,0
618709,"Biology Department, Washington University",,31680,G4Np3c0AAAAJ,{'indices'},,Jonathan B. Losos,,12770,92,58,220,183,0,0
618710,Professor University of California Davis,,37982,36-nn5QAAAAJ,{'indices'},,Thomas W. Schoener,,8519,80,36,147,100,0,0
618711,"Dept. Ecology, Evolution, and Natural Resources, Rutgers University",,4409,hpctKUUAAAAJ,{'indices'},,Henry John-Alder,,1176,39,19,59,38,0,0
618712,"Associate Professor of Biology, University of Virginia",,3315,9-rUhp0AAAAJ,{'indices'},,Robert Cox,,1667,29,24,48,44,0,0
618713,"Assistant Professor of Biology, University of Nebraska",,509,S10_OzUAAAAJ,{'indices'},,Clayton E. Cressler,,464,10,10,11,11,0,0
618714,University of Hawaii at Manoa,,502,5ZQiks0AAAAJ,{'indices'},,Aditya Singh,,362,14,11,16,12,0,0
618715,"Washington University, Charles Rebstock Professor Emeritus",,34654,o4y7kIEAAAAJ,{'indices'},,Alan Templeton,,4576,75,34,216,84,0,0
618716,Professor Emeritus University of California Davis,,16182,X6enZRwAAAAJ,{'indices'},,Judy Stamps,,4961,68,35,121,74,0,0
618717,"Professor, School of Biosciences, The University of Melbourne",,4599,IY72IMEAAAAJ,{'indices'},,Devi Stuart-Fox,,2730,33,25,79,69,0,0
618718,"University of Oxford, UK",,66120,VoBNag8AAAAJ,{'indices'},,R.I.M. Dunbar,,26272,123,82,448,325,0,0
618719,"Associate Head, Professor, Departments of Psychology and Ecology & Evolutionary Biology",,3060,dosMt1QAAAAJ,{'indices'},,Todd M. Freeberg,,1405,32,18,60,38,0,0
618720,"Professor Ecology & Evolutionary Biology, UCLA",,24698,cFbbY_gAAAAJ,{'indices'},,Daniel T Blumstein,,12175,85,55,305,250,0,0
618721,"Department of Ecology, Environment & Evolution, La Trobe University",,1668,nLWvqxwAAAAJ,{'indices'},,Richard A Peters,,778,22,16,35,28,0,0
618722,Washington University in St Louis,,647,n7gyHT4AAAAJ,{'indices'},,Joan Garcia-Porta,,454,16,14,21,16,0,0
618723,"Research Fellow, National University of Singapore",,84,4ZiHzl4AAAAJ,{'indices'},,Danielle A. Klomp,,80,7,7,3,3,0,0
618724,Royal North Shore Hospital,,485,F-_X9C0AAAAJ,{'indices'},,Georgina Schlub (nee Cooke),,327,14,11,17,12,0,0
618725,Humboldt State University,,1367,A_vf7UoAAAAJ,{'indices'},,Barbara Clucas,,760,15,12,16,16,0,0
618726,"Professor, Evolution & Ecology Research Centre,  BEES, UNSW",,2923,GDgxEnYAAAAJ,{'indices'},,Tracey Rogers,,1822,31,20,71,52,0,0
618727,"Department of Environmental Science, Radboud University",,700,yXPvP-IAAAAJ,{'indices'},,Marlee Tucker,,683,8,8,8,7,0,0
618728,Surgo,,361,kc_fImQAAAAJ,{'indices'},,Grace Charles,,300,9,8,9,8,0,0
618729,"Biology Department, Washington University",,31680,G4Np3c0AAAAJ,{'indices'},,Jonathan B. Losos,,12770,92,58,220,183,0,0
618730,"Professor, Institute of Biodiversity and Environmental Conservation, Universiti Malaysia Sarawak",,9098,6NAEu7kAAAAJ,{'indices'},,Indraneil Das,,4310,39,22,137,60,0,0
618731,Kaiser Permanente,,632,NRXJIGMAAAAJ,{'indices'},,Ketan Mane,,200,9,6,9,4,0,0
618732,"Victor H. Yngve Distinguished Professor of Engineering and Information Science, Indiana University",,11808,YirSp_cAAAAJ,{'indices'},,Katy Borner,,5181,48,36,113,64,0,0
618733,University of Queensland,,248,ML7vgtAAAAAJ,{'indices'},,Courtney Morgans,,240,6,6,6,6,0,0
618734,Anglia Ruskin University,,489,KHOO-NoAAAAJ,{'indices'},,Sophie Mowles,,292,12,10,18,12,0,0
618735,"Professor of Mathematics, Indiana University",,1544,1Z1_oLIAAAAJ,{'indices'},,Elizabeth Ann Housworth,,545,17,11,20,13,0,0
618736,"Professor, Department of Molecular Biology and Genetics, Cornell University",,13617,udHf1vgAAAAJ,{'indices'},,Cedric Feschotte,,7185,55,42,89,79,0,0
618737,"Professor of Human Genetics, University of Utah",,46540,V2tZdyQAAAAJ,{'indices'},,Mark Yandell,,15266,64,53,105,95,0,0
618738,Department of Biological Sciences | University at Buffalo,,4645,PBV6PjEAAAAJ,{'indices'},,Vincent J. Lynch,,2965,28,24,41,30,0,0
618739,"School of Biological Sciences, University of East Anglia",,3724,-J4CG5QAAAAJ,{'indices'},,Alexander Suh,,3280,25,24,35,35,0,0
618740,"Professor, Human Genetics, McGill University",,25763,Et_RonIAAAAJ,{'indices'},,Guillaume Bourque,,12200,55,48,107,95,0,0
618741,Mississippi State University,,1834,dyvuiscAAAAJ,{'indices'},,Jean-Francois Gout,,1204,17,16,20,17,0,0
618742,"CNRS, université Lyon 1",,19236,Jhya3psAAAAJ,{'indices'},,Laurent Duret,,5992,72,43,127,96,0,0
618743,"University of Utah, School of Medicine, Molecular Biology",,2627,HVtr6AIAAAAJ,{'indices'},,Zev N Kronenberg,,2407,20,20,29,29,0,0
618744,washington university school of medicine,,616,Rj_iTdgAAAAJ,{'indices'},,Xiaoyu Zhuo,,481,6,6,6,6,0,0
618745,McGill University,,859,HHVqX1sAAAAJ,{'indices'},,LeeAnn Ramsay,,690,5,5,5,5,0,0
618746,Associate Research Scientist,,530,iMfIu2QAAAAJ,{'indices'},,Mauris Nnamani,,503,7,7,7,7,0,0
618747,"Professor of Ecology and Evolutionary Biology, Yale University",,26379,YVFHQagAAAAJ,{'indices'},,Gunter Wagner,,9186,83,44,241,146,0,0
618748,University of Utah - UCGD - UGP,,230,k38oTaIAAAAJ,{'indices'},,Shawn Rynearson,,206,5,5,5,3,0,0
618749,,,1157,znG0iu4AAAAJ,{'indices'},,Chase Miller,,1007,13,12,13,12,0,0
618750,Texas A&M University,,11934,K7skQWwAAAAJ,{'indices'},,Carrie Byington,,5910,58,38,140,101,0,0
618751,"Professor, Biomedical Informatics, University of Utah",,24674,ccf6djEAAAAJ,{'indices'},,Karen Eilbeck,,5852,30,24,49,41,0,0
618752,"Professor of Human Genetics, University of Utah",,77749,9XnituQAAAAJ,{'indices'},,Gabor T Marth,,52094,50,43,83,70,0,0
618753,"Rutgers, the State University of New Jersey",,30725,JE4GTLYAAAAJ,{'indices'},,Jinchuan Xing,,17830,49,34,85,74,0,0
618754,"Professor of Computer Science, McGill University",,13954,8vXnOQsAAAAJ,{'indices'},,Mathieu Blanchette,,4111,48,32,100,68,0,0
618755,Institute for Systems Biology,,35412,SOqGFioAAAAJ,{'indices'},,Robert Hubley,,10544,23,19,24,21,0,0
618756,,,19757,MIA26AYAAAAJ,{'indices'},,Olivier POCH,,5397,67,36,177,120,0,0
618757,UNISTRA,,49790,EgK5H84AAAAJ,{'indices'},,Moras Dino,,7674,111,41,472,202,0,0
618758,SPYGEN (hosted in LIRMM),,806,eFQ58QQAAAAJ,{'indices'},,Benjamin Linard,,591,14,13,16,15,0,0
618759,Laboratoire de Génétique Médicale U1112,,16831,KkIt1ZsAAAAJ,{'indices'},,Jean Muller,,8263,37,31,70,60,0,0
618760,"SNSF Professor at UNIL, Professor at UCL",,8607,QInd7HoAAAAJ,{'indices'},,Christophe Dessimoz,,6404,45,39,70,67,0,0
618761,"Group Leader, Institute for Research in Biomedicine (IRB) and Barcelona Supercomputing Centre (BSC)",,21699,f5qDizoAAAAJ,{'indices'},,Toni Gabaldon,,15442,70,55,177,158,0,0
618762,"Professor of Biology, UPMC-Paris 6, Station Biologique de Roscoff",,2811,ppQLqZQAAAAJ,{'indices'},,François H. LALLIER,,621,31,14,69,25,0,0
618763,"Professeur de Mathématiques Appliquées, Université de Lille",,568,P_T4oeEAAAAJ,{'indices'},,Nicolas Wicker,,126,10,7,11,3,0,0
618764,"Researcher, CNRS",,3112,HSY_rZYAAAAJ,{'indices'},,Stephane Hourdez,,1191,32,20,69,39,0,0
618765,"Group Leader at CBGP (UPM-INIA), Madrid, Spain",,19150,lUCR9rIAAAAJ,{'indices'},,Jaime Huerta-Cepas,,16669,38,28,50,47,0,0
618766,Jackson Laboratory,,800,gMg9yUUAAAAJ,{'indices'},,Nguyen Ngoc  Hoan,,576,13,11,14,11,0,0
618767,"NCBI, NLM, National Institutes of Health",,31297,lXt-YBgAAAAJ,{'indices'},,Michael Y. Galperin,,10621,80,45,156,117,0,0
618768,"Microbiology, Wageningen University",,40946,8oqozzkAAAAJ,{'indices'},,John van der Oost,,17908,85,52,278,181,0,0
