Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
48976,Broad Institute,,498777,LXVfPc8AAAAJ,{'indices'},Biology|Genomics|Genetics|Bioinformatics|Mathematics,Eric Lander,https://scholar.google.com/citations?view_op=medium_photo&user=LXVfPc8AAAAJ,186032,280,193,609,458,1,0
48977,Independent Researcher,@nada.ltd,447849,GsfvB24AAAAJ,{'indices'},Biology|Astronomy|Genetics|Mountaineering|Ethical Hacking,Zubair Ahmad,https://scholar.google.com/citations?view_op=medium_photo&user=GsfvB24AAAAJ,106136,89,85,89,89,1,0
48978,"National Heart, Lung, and Blood Institute",@nih.gov,310586,xmOaZ8EAAAAJ,{'indices'},Genetics|Genomics|Epidemiology|Cardiovascular Disease,Daniel Levy,https://scholar.google.com/citations?view_op=medium_photo&user=xmOaZ8EAAAAJ,117557,241,142,991,766,1,0
48979,"Director, Institute for Molecular Medicine Finland (FIMM) & Chief, ATGU, MGH & Broad …",@atgu.mgh.harvard.edu,305546,SW3aNagAAAAJ,{'indices'},Genetics,Mark Daly,https://scholar.google.com/citations?view_op=medium_photo&user=SW3aNagAAAAJ,134015,205,147,559,469,1,0
48980,Johns Hopkins University,@jhmi.edu,295817,tV32RXkAAAAJ,{'indices'},Cancer|Genetics|Genomics,Kenneth Kinzler,https://scholar.google.com/citations?view_op=medium_photo&user=tV32RXkAAAAJ,79227,230,130,537,429,1,0
48981,MIT,@wi.mit.edu,286562,1wq5H9oAAAAJ,{'indices'},Cancer Biology|Cell Biology|Genetics,Robert A. Weinberg,https://scholar.google.com/citations?view_op=medium_photo&user=1wq5H9oAAAAJ,96819,199,102,462,280,1,0
48982,Nationwide Children's Hospital; Ohio State University,@NationwideChildrens.org,263046,nKkZybgAAAAJ,{'indices'},Genomics|Molecular Biology|Genetics,"Richard K. Wilson, Ph.D.",https://scholar.google.com/citations?view_op=medium_photo&user=nKkZybgAAAAJ,115923,192,150,574,428,1,0
48983,Princeton University,@princeton.edu,254934,0BQzlisAAAAJ,{'indices'},Genetics,David Botstein,https://scholar.google.com/citations?view_op=medium_photo&user=0BQzlisAAAAJ,53290,184,74,462,256,1,0
48984,"Professor, Ohio State University",@osumc.edu,249185,2SF6AXQAAAAJ,{'indices'},Cancer|Genetics|Leukemia|microRNA,Carlo Croce,https://scholar.google.com/citations?view_op=medium_photo&user=2SF6AXQAAAAJ,68019,234,122,1198,672,1,0
48985,"Monash University, BakerIDI",@monash.edu,233921,d-NvY4cAAAAJ,{'indices'},Diabetes|Epidemiology|Genetics|Epigenetics,Paul Zimmet,https://scholar.google.com/citations?view_op=medium_photo&user=d-NvY4cAAAAJ,92863,153,93,700,378,1,0
48986,University of Michigan School of Public Health,@umich.edu,230073,t53jWtYAAAAJ,{'indices'},Biostatistics|Human Genetics|Statistical Computing|Genetics|Complex Traits,Goncalo Abecasis,https://scholar.google.com/citations?view_op=medium_photo&user=t53jWtYAAAAJ,125318,181,132,422,394,1,0
48987,National Institutes of Health,,209825,aSXlZbwAAAAJ,{'indices'},genetics,Francis S. Collins,https://scholar.google.com/citations?view_op=medium_photo&user=aSXlZbwAAAAJ,66566,197,111,706,423,1,0
48988,"Professor of Cardiovascular Genomics, Queen Mary University of London",@qmul.ac.uk,206970,rqu8VysAAAAJ,{'indices'},Genetics|Genomics|Heart Disease,Panos Deloukas,https://scholar.google.com/citations?view_op=medium_photo&user=rqu8VysAAAAJ,102414,164,135,378,346,1,0
48989,Professor of Biochemistry and Genetics,,202659,wOG8bN4AAAAJ,{'indices'},Genomics|Genetics|diagnostics|biosensors,"Ronald W Davis, Ronald Davis, Ron W Davis, R Davis, Ron Davis, RW Davis",https://scholar.google.com/citations?view_op=medium_photo&user=wOG8bN4AAAAJ,38667,172,77,577,330,1,0
48990,"Professor of Internal Medicine, University of Eastern Finland",@uef.fi,198868,ZGCyRqoAAAAJ,{'indices'},Diabetes|Cardiovascular disease|Genetics|Metabolism,Markku Laakso,https://scholar.google.com/citations?view_op=medium_photo&user=ZGCyRqoAAAAJ,88103,174,101,823,517,1,0
48991,"BC Cancer Agency; University of British Columbia, Genome Sciences Centre",@bcgsc.ca,197182,24w4w9AAAAAJ,{'indices'},Genomics|Bioinformatics|Cancer biology|Genetics|Epigenomics,Marco Marra,https://scholar.google.com/citations?view_op=medium_photo&user=24w4w9AAAAAJ,102907,167,126,450,382,1,0
48992,"CRUK, Cambridge University, New York Genome Center, Cold Spring Harbor Laboratory",@cruk.cam.ac.uk,194432,f-XvE6UAAAAJ,{'indices'},noncoding RNA|genetics|molecular biology|genomics|cancer,Gregory Hannon,https://scholar.google.com/citations?view_op=medium_photo&user=f-XvE6UAAAAJ,57562,167,102,344,289,1,0
48993,"JFCR, University of Chicago, University of Tokyo, RIKEN, Cancer Institute, Univ. of Utah …",@jfcr.or.jp,188718,dDQevDQAAAAJ,{'indices'},Cancer|Genomics|Genetics|Precision Medicine|Drug Development,Yusuke Nakamura,https://scholar.google.com/citations?view_op=medium_photo&user=dDQevDQAAAAJ,44771,191,91,1456,785,1,0
48994,University of North Carolina at Chapel Hill,@med.unc.edu,187682,JCqzqUMAAAAJ,{'indices'},Breast Cancer|Cancer|Genetics|Genomics|Clinical Research,Charles M. Perou,https://scholar.google.com/citations?view_op=medium_photo&user=JCqzqUMAAAAJ,98747,155,122,384,350,1,0
48995,"Statistics, Cambridge, University College London",,186592,66ioxOQAAAAJ,{'indices'},statistics|genetics|evolutionary biology,Ronald A. Fisher,https://scholar.google.com/citations?view_op=medium_photo&user=66ioxOQAAAAJ,39068,110,57,458,162,1,0
48996,icahn school of medicine at mount sinai,@mssm.edu,185719,gMhW8hoAAAAJ,{'indices'},schizophrenia|neuroimaging|genetics|cognition,Rene Kahn,https://scholar.google.com/citations?view_op=medium_photo&user=gMhW8hoAAAAJ,102049,184,129,1220,980,1,0
48997,BC Cancer,@bcgsc.ca,185369,XTZ7_NUAAAAJ,{'indices'},Genomics|Bioinformatics|Cancer biology|Genetics|Epigenomics,Marco Marra,https://scholar.google.com/citations?view_op=medium_photo&user=XTZ7_NUAAAAJ,99810,166,127,441,375,1,0
48998,"Professor and Eminent Scholar, Virginia Commonwealth University",@vcuhealth.org,183377,PKXVXTgAAAAJ,{'indices'},psychiatry|genetics|psychiatric genetics|behavior genetics|psychiatric nosology,Kenneth Kendler,https://scholar.google.com/citations?view_op=medium_photo&user=PKXVXTgAAAAJ,61804,203,106,1104,809,1,0
48999,HudsonAlpha Institute for Biotechnology,@hudsonalpha.com,173890,uNSng0gAAAAJ,{'indices'},Genetics|Genomics,Richard M. Myers,https://scholar.google.com/citations?view_op=medium_photo&user=uNSng0gAAAAJ,62396,160,96,419,304,1,0
49000,"St Thomas Hospital, Kings College London",@kcl.ac.uk,169992,FIK--DEAAAAJ,{'indices'},medicine|genetics,Tim D Spector,https://scholar.google.com/citations?view_op=medium_photo&user=FIK--DEAAAAJ,86283,203,144,1091,889,1,0
