,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
126998,"University College London, Royal Free",@ucl.ac.uk,69078,8lMTD1cAAAAJ,{'indices'},science,A Schapira,https://scholar.google.com/citations?view_op=medium_photo&user=8lMTD1cAAAAJ,27269,124,70,431,279,0,0
126999,"Professor of Sociology & Public Policy, UCLA; Research Associate, National Bureau of …",@ucla.edu,41442,u3yBiQUAAAAJ,{'indices'},Institutional Theory|Social Change|Economic Sociology and Organizations|Socio-economics of Information and …|Science,Lynne G. Zucker,https://scholar.google.com/citations?view_op=medium_photo&user=u3yBiQUAAAAJ,9716,44,27,69,39,0,0
127000,University of Central Florida,@ucf.edu,37709,PD_2CZQAAAAJ,{'indices'},Engineering|Science|Medicine,Sudipta Seal,https://scholar.google.com/citations?view_op=medium_photo&user=PD_2CZQAAAAJ,19376,96,64,369,258,0,0
127001,"Stanford, CERN, LHCb, NIO, Athena Robotics, BORGWARD",@syr.edu,36920,l5SGbzEAAAAJ,{'indices'},Physics|Science|Deep Learning|AI|Autonomous Driving,Dr. Zhou Xing,https://scholar.google.com/citations?view_op=medium_photo&user=l5SGbzEAAAAJ,22594,104,77,269,258,0,0
127002,Professor,@usc.edu,36695,Edh7brQAAAAJ,{'indices'},science,Mark Humayun,https://scholar.google.com/citations?view_op=medium_photo&user=Edh7brQAAAAJ,13408,93,55,433,300,0,0
127003,"Professor, uOttawa",@uottawa.ca,35211,SzVN9h8AAAAJ,{'indices'},science,"Scaiano, Juan C.",https://scholar.google.com/citations?view_op=medium_photo&user=SzVN9h8AAAAJ,7772,86,39,616,169,0,0
127004,"Professor of innovation and sustainable Development, Maastricht University",@maastrichtuniversity.nl,30684,UTa35TcAAAAJ,{'indices'},science,Rene Kemp,https://scholar.google.com/citations?view_op=medium_photo&user=UTa35TcAAAAJ,14306,70,53,181,130,0,0
127005,National Institue of Standards and Technology,@nist.gov,30518,Krt_vnwAAAAJ,{'indices'},Science|Art|History,Miral Dizdaroglu,https://scholar.google.com/citations?view_op=medium_photo&user=Krt_vnwAAAAJ,6122,91,32,232,118,0,0
127006,kanpur university,,29488,R3EO5R4AAAAJ,{'indices'},science,rohit kumar,https://scholar.google.com/citations?view_op=medium_photo&user=R3EO5R4AAAAJ,17651,67,51,632,419,0,0
127007,Dana-Farber Cancer Institute,@dfci.harvard.edu,28617,cdpX8SoAAAAJ,{'indices'},Science|Medicine|Oncology|Myeloma|MGUS,Irene Ghobrial,https://scholar.google.com/citations?view_op=medium_photo&user=cdpX8SoAAAAJ,15279,84,57,289,203,0,0
