Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
29988,"Professor of Statistics, Stanford University",@stanford.edu,255211,tQVe-fAAAAAJ,{'indices'},Statistical learning and modeling|data mining|machine learning,Trevor Hastie,https://scholar.google.com/citations?view_op=medium_photo&user=tQVe-fAAAAAJ,119120,136,100,370,269,1,1
29989,"Abel Bliss Professor of Computer Science, University of Illinois",@cs.uiuc.edu,199706,Kv9AbjMAAAAJ,{'indices'},data mining|database systems|data warehousing|information networks,Jiawei Han,https://scholar.google.com/citations?view_op=medium_photo&user=Kv9AbjMAAAAJ,71825,180,110,878,649,1,1
29990,"Technical Fellow, Microsoft Research",@microsoft.com,133680,XPdhXUUAAAAJ,{'indices'},Data Mining|Web Search|Education|Privacy,Rakesh Agrawal,https://scholar.google.com/citations?view_op=medium_photo&user=XPdhXUUAAAAJ,27967,111,54,345,201,0,1
29991,"Professor of Computer Science, University of Illinons at Chicago",@cs.uic.edu,132928,D0lL1r0AAAAJ,{'indices'},Data mining|Database|Privacy,Philip S. Yu,https://scholar.google.com/citations?view_op=medium_photo&user=D0lL1r0AAAAJ,52271,169,97,1164,777,0,1
29992," Professor of Computer Science, Stanford University",@stanford.edu,132818,wUJ2bXgAAAAJ,{'indices'},Database Systems|Data Mining,Jeffrey Ullman,https://scholar.google.com/citations?view_op=medium_photo&user=wUJ2bXgAAAAJ,18002,115,48,320,118,0,1
29993,Senior Data Architect,@Conexus.ca,130613,w7KbjWkAAAAJ,{'indices'},Data Mining|Machine Learning|Business Intelligence|Big Data|Predictive Analytics,Yaohua (Ivan) Chen Ph.D.,https://scholar.google.com/citations?view_op=medium_photo&user=w7KbjWkAAAAJ,61442,120,83,1011,736,0,1
29994,"IARC, WHO",@who.int,121000,UdqIdckAAAAJ,{'indices'},Computational analysis|statistics|data mining|cancer genomics|particle physics,Sergey Senkin,https://scholar.google.com/citations?view_op=medium_photo&user=UdqIdckAAAAJ,81570,156,132,482,464,0,1
29995,"Professor of Computing Science, Simon Fraser University",@cs.sfu.ca,102694,zIMEVKsAAAAJ,{'indices'},Data mining|big data analytics|database systems|information retrieval,Jian Pei,https://scholar.google.com/citations?view_op=medium_photo&user=zIMEVKsAAAAJ,36290,91,60,274,206,0,1
29996,University of Minnesota,@umn.edu,101949,BnxU9TEAAAAJ,{'indices'},Data mining|parallel computing|high performance computing|Artificial Intelligence|machine learning,Vipin Kumar,https://scholar.google.com/citations?view_op=medium_photo&user=BnxU9TEAAAAJ,37346,121,70,526,278,0,1
29997,"Professor of Computer Science, National Taiwan University",@csie.ntu.edu.tw,100107,SLMkts8AAAAJ,{'indices'},Machine learning|Data Mining|Optimization|Artificial Intelligence,Chih-Jen Lin,https://scholar.google.com/citations?view_op=medium_photo&user=SLMkts8AAAAJ,41285,64,50,146,93,0,1
29998,"Professor of Computer Science, Cornell University",@cs.cornell.edu,95835,VX7d5EQAAAAJ,{'indices'},algorithms|data mining|information networks|social networks|Web mining,Jon Kleinberg,https://scholar.google.com/citations?view_op=medium_photo&user=VX7d5EQAAAAJ,37147,110,73,238,193,0,1
29999,CMU,@cs.cmu.edu,95736,nd8lQQIAAAAJ,{'indices'},Data Mining|Graph Mining|Databases,Christos Faloutsos,https://scholar.google.com/citations?view_op=medium_photo&user=nd8lQQIAAAAJ,32097,135,86,537,371,0,1
30000,"Honorary Research Associate, University of Waikato, New Zealand",@cs.waikato.ac.nz,93298,ZH31nVgAAAAJ,{'indices'},Machine Learning|Data Mining|Artificial Intelligence,Mark Hall,https://scholar.google.com/citations?view_op=medium_photo&user=ZH31nVgAAAAJ,37123,61,45,137,106,0,1
30001,"Founder/consultant with Data Tecnica International to the Laboratory of Neurogenetics, NIA …",@mail.nih.gov,92982,ZjfgPLMAAAAJ,{'indices'},statistical genetics|parkinson's disease|big data|data mining|epidemiology,Mike A. Nalls,https://scholar.google.com/citations?view_op=medium_photo&user=ZjfgPLMAAAAJ,63924,111,93,328,312,0,1
30002,"Professor Computer Science and AI, Granada Univ.; Senior Associate Researcher in …",@decsai.ugr.es,92314,HULIk-QAAAAJ,{'indices'},Artificial Intelligence|Computational Intelligence|Data mining|Evolutionary Algorithms|Big Data Analytics,Francisco Herrera,https://scholar.google.com/citations?view_op=medium_photo&user=HULIk-QAAAAJ,48130,149,112,605,471,0,1
30003,"Student, Daffodil International University",@diu.edu.bd,87835,o4JzRq4AAAAJ,{'indices'},Data Mining|Machine Learning|Artificial Intelligence,Sobayer Abedin Amit,https://scholar.google.com/citations?view_op=medium_photo&user=o4JzRq4AAAAJ,30905,9,4,8,3,0,1
30004,"PhD Candidate at Computer Science and Engineering, Arizona State University",@asu.edu,87777,3Y-Ix1EAAAAJ,{'indices'},Social Computing|Data Mining|Machine Learning,Xufei Wang,https://scholar.google.com/citations?view_op=medium_photo&user=3Y-Ix1EAAAAJ,51947,122,90,1442,1093,0,1
30005,"Professor, Department of Computer Science, University of Waikato",@cs.waikato.ac.nz,86484,dUV_NvIAAAAJ,{'indices'},Machine Learning|Data Mining,Eibe Frank,https://scholar.google.com/citations?view_op=medium_photo&user=dUV_NvIAAAAJ,34238,56,45,98,84,0,1
30006,"KU Leuven, Belgium",@rousseeuw.net,81652,5LMM6rsAAAAJ,{'indices'},Cluster Analysis|Data Mining|Data Science|Mathematics|Statistics,Peter Rousseeuw,https://scholar.google.com/citations?view_op=medium_photo&user=5LMM6rsAAAAJ,30381,73,47,186,116,0,1
30007,"Professor of Computer Science, Stanford University",@cs.stanford.edu,77171,Q_kKkIUAAAAJ,{'indices'},Data mining|Machine Learning|Graph Neural Networks|Knowledge Graphs|Complex Networks,Jure Leskovec,https://scholar.google.com/citations?view_op=medium_photo&user=Q_kKkIUAAAAJ,53660,111,98,237,224,0,1
30008,"Professor, Department of Computer Science & Engineering, University of Minnesota",@umn.edu,76853,ElqwScwAAAAJ,{'indices'},Data mining|Parallel computing|Recommender systems|Learning analytics|Chemical informatics,George Karypis,https://scholar.google.com/citations?view_op=medium_photo&user=ElqwScwAAAAJ,23884,96,58,268,190,0,1
30009,"Professor für Informatik, Ludwig-Maximilians-University Munich",@dbs.ifi.lmu.de,76643,DBf9LC4AAAAJ,{'indices'},Database Systems|Data Mining,Hans-Peter  Kriegel,https://scholar.google.com/citations?view_op=medium_photo&user=DBf9LC4AAAAJ,30202,98,55,303,165,0,1
30010,Google,@google.com,73626,FtMADIMAAAAJ,{'indices'},Algorithms|Web|Data mining,Prabhakar Raghavan,https://scholar.google.com/citations?view_op=medium_photo&user=FtMADIMAAAAJ,19969,92,48,204,122,0,1
30011,"Distinguished Professor, University of Illinois at Chicago",@uic.edu,69123,Kt1bjZoAAAAJ,{'indices'},Sentiment Analysis|Natural Language Processing|Data Mining|Machine Learning|Web Mining,Bing Liu,https://scholar.google.com/citations?view_op=medium_photo&user=Kt1bjZoAAAAJ,36114,95,74,252,192,0,1
30012,Shanghai Jiao Tong University,,65909,qM-zsXgAAAAJ,{'indices'},scientometrics|machine learning|data mining,zhihui zhang,https://scholar.google.com/citations?view_op=medium_photo&user=qM-zsXgAAAAJ,38471,111,85,491,386,0,1
30013,"Associate Professor of Computer Science, Uninversity of Electronic Science and Technology …",@uestc.edu.cn,65529,pOmjyCEAAAAJ,{'indices'},Recommender System|Data Mining|Big Data Analyze,Junlin Zhou,https://scholar.google.com/citations?view_op=medium_photo&user=pOmjyCEAAAAJ,45042,107,82,1299,1083,0,1
30014,Huawei technologies,,65184,KqdXSKYAAAAJ,{'indices'},network architecture|wireless communication|data mining|machine learning|HCI,Gong Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=KqdXSKYAAAAJ,36412,100,76,1322,901,0,1
30015,"Distinguished Research Scientist, Google",@google.com,63522,lxt0O5IAAAAJ,{'indices'},User Modeling|Internet Monetization|Data Mining,Ramakrishnan Srikant,https://scholar.google.com/citations?view_op=medium_photo&user=lxt0O5IAAAAJ,12890,34,22,34,31,0,1
30016,"Professor of Computer Science and Engineering, Arizona State University",@asu.edu,63176,Dzf46C8AAAAJ,{'indices'},Feature Selection|Data Mining|AI|Social Computing|Social Media Mining,Huan Liu,https://scholar.google.com/citations?view_op=medium_photo&user=Dzf46C8AAAAJ,33695,110,85,400,318,0,1
30017,"Sr. Staff Research Scientist, Visa Research, Palo Alto",@visa.com,62203,njFoZewAAAAJ,{'indices'},Data Mining|Machine Learning|Databases|Algorithms,Mahashweta Das,https://scholar.google.com/citations?view_op=medium_photo&user=njFoZewAAAAJ,27610,89,57,849,570,0,1
30018,Microsoft,@microsoft.com,62057,udZSrkYAAAAJ,{'indices'},Database systems|data mining|information extraction|ranking/recommendation|social networks,Raghu Ramakrishnan,https://scholar.google.com/citations?view_op=medium_photo&user=udZSrkYAAAAJ,17856,90,42,253,142,0,1
30019,"University of California, Berkeley",@cs.berkeley.edu,61407,LAv0HTEAAAAJ,{'indices'},HCI|Ubicomp|ICTD|Data Mining|Health Technologies,John Canny,https://scholar.google.com/citations?view_op=medium_photo&user=LAv0HTEAAAAJ,15622,80,37,222,128,0,1
30020,"Distinguished Engineer, Microsoft",@microsoft.com,59388,-YmsnYMAAAAJ,{'indices'},networking|data centers|data mining,David A. Maltz,https://scholar.google.com/citations?view_op=medium_photo&user=-YmsnYMAAAAJ,14921,65,42,145,95,0,1
30021,"Institute of Computational Health Sciences,UCSF School of Medicine",@ucsf.edu,59285,3TQ5YmMAAAAJ,{'indices'},Bioinformatics|Data Mining,Sanchita Bhattacharya,https://scholar.google.com/citations?view_op=medium_photo&user=3TQ5YmMAAAAJ,41200,84,68,427,346,0,1
30022,The University of Sydney,@sydney.edu.au,57407,RwlJNLcAAAAJ,{'indices'},artificial intelligence|machine learning|computer vision|image processing|data mining,Dacheng Tao,https://scholar.google.com/citations?view_op=medium_photo&user=RwlJNLcAAAAJ,41941,124,106,667,579,0,1
30023,"Distinguished Research Staff Member, IBM TJ Watson Research Center",@us.ibm.com,55761,x_wsduUAAAAJ,{'indices'},Data Mining|Data Streams|Outlier Detection|Graph Mining|Recommender Systems,Charu Aggarwal,https://scholar.google.com/citations?view_op=medium_photo&user=x_wsduUAAAAJ,27835,123,73,334,285,0,1
30024,Nanjing University,@nju.edu.cn,55275,rSVIHasAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Data Mining,Zhi-Hua Zhou,https://scholar.google.com/citations?view_op=medium_photo&user=rSVIHasAAAAJ,32497,104,76,363,304,0,1
30025,"Professor, Computer Science, University of California Irvine",@ics.uci.edu,54808,OsoQ-dcAAAAJ,{'indices'},machine learning|artificial intelligence|pattern recognition|data mining|applied statistics,Padhraic Smyth,https://scholar.google.com/citations?view_op=medium_photo&user=OsoQ-dcAAAAJ,16145,82,49,210,134,0,1
30026,Monash University,@monash.edu,54264,wAk7PgMAAAAJ,{'indices'},Artificial Intelligence|Knowledge and Data Engineering|Signal Processing|Finance|Data Mining,"V Lee, VCS Lee, Cheng Siong Lee, Cheng S Lee, CS Lee",https://scholar.google.com/citations?view_op=medium_photo&user=wAk7PgMAAAAJ,25219,96,64,960,559,0,1
30027,"Professor, Polytechnique Montréal & Mila, Element AI, Canada CIFAR AI Chair",@polymtl.ca,54248,1ScWJOoAAAAJ,{'indices'},Deep Learning|Computer Vision & Pattern Recognition|Natural Language Processing|Data Mining|AI,Chris Pal,https://scholar.google.com/citations?view_op=medium_photo&user=1ScWJOoAAAAJ,22838,47,39,91,76,0,1
30028,University of  South Carolina,@email.sc.edu,54144,8lT_tUYAAAAJ,{'indices'},computer engineering|FPGA|Data Mining|Hardware Accelerator,yan zhang,https://scholar.google.com/citations?view_op=medium_photo&user=8lT_tUYAAAAJ,27964,88,66,1370,787,0,1
30029,"Professor of computer science, University of Texas, Arlington",@uta.edu,52959,q7FfnjgAAAAJ,{'indices'},machine learning|data mining|bioinformatics|computer vision,Chris HQ Ding,https://scholar.google.com/citations?view_op=medium_photo&user=q7FfnjgAAAAJ,30063,90,67,550,418,0,1
30030,"Professor of Computer Science, University of California - Riverside",@cs.ucr.edu,51790,slVcOQIAAAAJ,{'indices'},Data Mining|Time Series|Time Series Mining,Eamonn Keogh,https://scholar.google.com/citations?view_op=medium_photo&user=slVcOQIAAAAJ,22217,95,68,215,178,0,1
30031,"Professor of Statistics, University of Queensland",@uq.edu.au,50679,1bYCHtsAAAAJ,{'indices'},Statistics|Applied statistics|Classification|Data mining|Mixture modelling,Geoff McLachlan,https://scholar.google.com/citations?view_op=medium_photo&user=1bYCHtsAAAAJ,17153,58,39,196,96,0,1
30032,"Northeastern Univ. - Univ. Pompeu Fabra - Univ. de Chile; USA, Spain & Chile",@upf.edu,48867,v9xULZwAAAAJ,{'indices'},Information retrieval|Web search|Web mining|data mining|algorithms and data structures,Ricardo Baeza-Yates,https://scholar.google.com/citations?view_op=medium_photo&user=v9xULZwAAAAJ,10177,85,42,323,153,0,1
30033,Microsoft,@microsoft.com,47541,FtbGhBQAAAAJ,{'indices'},Database systems|data science|distributed systems|data mining,Johannes Gehrke,https://scholar.google.com/citations?view_op=medium_photo&user=FtbGhBQAAAAJ,14213,81,50,192,130,0,1
30034,"Professor of Computer Science, New Jersey Institute of Technology",@njit.edu,47366,zT1g-WYAAAAJ,{'indices'},Data Mining|Databases|Machine Learning|Computational Biology,Jason TL Wang,https://scholar.google.com/citations?view_op=medium_photo&user=zT1g-WYAAAAJ,19212,89,56,994,444,0,1
30035,"Schubmehl-Prein Family Professor of Computer Science and Engineering, University of …",@nd.edu,46614,XZkvOTEAAAAJ,{'indices'},Biometrics|Pattern Recognition|Computer Vision|Data Mining,Kevin W. Bowyer,https://scholar.google.com/citations?view_op=medium_photo&user=XZkvOTEAAAAJ,18639,79,49,276,150,0,1
30036,"Professor of Computer Science, University of New Brunswick",@unb.ca,45422,AFn_Ki0AAAAJ,{'indices'},machine learning|data mining|artificial intelligence,Harry Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=AFn_Ki0AAAAJ,19790,88,55,801,397,0,1
30037,Microsoft,@microsoft.com,45049,pQ2vZBUAAAAJ,{'indices'},text mining|data mining|machine learning|information retrieval|natural language processing,Lifeng Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=pQ2vZBUAAAAJ,24169,80,61,1087,648,0,1
30038,"Professor of Computer Science, Rutgers University",@cs.rutgers.edu,42025,fEYp6hEAAAAJ,{'indices'},Data Mining|Search Technology,tomasz imielinski,https://scholar.google.com/citations?view_op=medium_photo&user=fEYp6hEAAAAJ,7202,58,21,109,41,0,1
30039,University of Arizona,@email.arizona.edu,41603,ypvW54sAAAAJ,{'indices'},business analytics|data mining|security informatics|health informatics,Hsinchun Chen,https://scholar.google.com/citations?view_op=medium_photo&user=ypvW54sAAAAJ,16522,102,54,337,215,0,1
30040,"Professor, Computing Science, University of Alberta",@ualberta.ca,40788,QzFTFLEAAAAJ,{'indices'},Data Mining|Clustering|Spatial and Temporal Data|Databases,Jörg Sander,https://scholar.google.com/citations?view_op=medium_photo&user=QzFTFLEAAAAJ,20829,45,28,83,62,0,1
30041,"Professor of Computer Science, Simon Fraser University",@cs.sfu.ca,40772,ZYwC_CQAAAAJ,{'indices'},Data Mining|Recommender Systems|Social Media|Bioinformatics,Martin Ester,https://scholar.google.com/citations?view_op=medium_photo&user=ZYwC_CQAAAAJ,19998,63,41,139,106,0,1
30042,CEO of Open Insights,@fayyad.com,39545,RlpTB_UAAAAJ,{'indices'},Data Science|AI|Machine Learning|Data Mining|Databases,Usama Fayyad,https://scholar.google.com/citations?view_op=medium_photo&user=RlpTB_UAAAAJ,9223,66,27,115,55,0,1
30043,Professor of Computer Science at Georgia Tech,@cc.gatech.edu,39213,nfkH5V4AAAAJ,{'indices'},security|systems|networking|machine learning|data mining,Wenke Lee,https://scholar.google.com/citations?view_op=medium_photo&user=nfkH5V4AAAAJ,12934,88,64,192,157,0,1
30044,"Professor of Computer Science, Max Planck Institute for Informatics, Saarland Informatics …",@mpi-inf.mpg.de,38106,vNAD0mAAAAAJ,{'indices'},Databases|Data Mining|Information Retrieval|Web Data Management|Knowledge Bases,Gerhard Weikum,https://scholar.google.com/citations?view_op=medium_photo&user=vNAD0mAAAAAJ,13191,94,50,440,201,0,1
30045,"Professor of Computer Science, University of Texas at Austin",@cs.utexas.edu,37833,p9RsPG4AAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Data Mining|Natural Language Processing|Computational Linguistics,Raymond Mooney,https://scholar.google.com/citations?view_op=medium_photo&user=p9RsPG4AAAAJ,13234,87,54,239,149,0,1
30046,Zhejiang Sci-Tech University,@zstu.edu.cn,37177,rol80n4AAAAJ,{'indices'},Computational Geometry and its application|Computer Graphics|Data mining,李重(Zhong Li),https://scholar.google.com/citations?view_op=medium_photo&user=rol80n4AAAAJ,21186,77,62,871,548,0,1
30047,Imperial College London,@imperial.ac.uk,36987,yQm49s8AAAAJ,{'indices'},Statistics|machine learning|data mining|data science|big data,David Hand,https://scholar.google.com/citations?view_op=medium_photo&user=yQm49s8AAAAJ,11059,71,46,224,108,0,1
30048,"National Science Chair, Indian Statistical Institute",@isical.ac.in,36120,HErC5agAAAAJ,{'indices'},Soft Computing|Pattern Recognition & Image Processing|Data Mining|Machine Intelligence|Cognitive Machine,Sankar Kumar Pal,https://scholar.google.com/citations?view_op=medium_photo&user=HErC5agAAAAJ,10054,79,41,347,181,0,1
30049,University of Utah,@cs.utah.edu,35939,GucaTBQAAAAJ,{'indices'},Web Mining|Data Mining|Machine Learning|Knowledge-base,Thanh Hoang Nguyen,https://scholar.google.com/citations?view_op=medium_photo&user=GucaTBQAAAAJ,23181,78,59,631,488,0,1
30050,"Professor of Computer Science, University of Waikato",@waikato.ac.nz,35611,PEv3OQUAAAAJ,{'indices'},Machine Learning|Data Mining,Bernhard Pfahringer,https://scholar.google.com/citations?view_op=medium_photo&user=PEv3OQUAAAAJ,17834,52,41,118,84,0,1
30051,"Professor Computer Sciences, University of Wisconsin Madison",@cs.wisc.edu,35596,OkJ1G8YAAAAJ,{'indices'},Optimization|Data Mining|Classification,Olvi Mangasarian,https://scholar.google.com/citations?view_op=medium_photo&user=OkJ1G8YAAAAJ,7496,89,46,208,115,0,1
30052,Tongji University,,35518,E0-bz5MAAAAJ,{'indices'},pattern recognition|granular computing|data mining,Ying Yu,https://scholar.google.com/citations?view_op=medium_photo&user=E0-bz5MAAAAJ,19501,76,58,639,408,0,1
30053,"Helmholtz Zentrum München, German Mouse Clinic, German Diabetes Center, Technische …",@helmholtz-muenchen.de,34071,6ur84LkAAAAJ,{'indices'},genetics|diabetes|phenotyping|data mining|notch,Martin Hrabe de Angelis,https://scholar.google.com/citations?view_op=medium_photo&user=6ur84LkAAAAJ,16353,86,60,412,297,0,1
30054,Sogang University,@sogang.ac.kr,33792,yDENnYoAAAAJ,{'indices'},Computer architecture|Embedded Systems|Networking|Data mining,Hyuk-Jun Lee,https://scholar.google.com/citations?view_op=medium_photo&user=yDENnYoAAAAJ,14424,76,49,657,354,0,1
30055,"Frank Freimann Professor of Computer Science & Engg., Notre Dame",@nd.edu,33608,hDLBEhkAAAAJ,{'indices'},Data science|machine learning|data mining|network science,Nitesh V Chawla,https://scholar.google.com/citations?view_op=medium_photo&user=hDLBEhkAAAAJ,22079,65,49,179,157,0,1
30056,LinkedIn,@linkedin.com,33338,uCQVcHwAAAAJ,{'indices'},Machine Learning|Data Mining|Ranking|Scoring|Optimization,Arun Swami,https://scholar.google.com/citations?view_op=medium_photo&user=uCQVcHwAAAAJ,6777,29,15,34,18,0,1
30057,,,32966,tc-t7aAAAAAJ,{'indices'},Data mining,Gotam Singh,https://scholar.google.com/citations?view_op=medium_photo&user=tc-t7aAAAAAJ,17872,72,53,683,390,0,1
30058,Shenzhen Key Laboratory of Internet Information Collaboration,,32647,zsCpXWQAAAAJ,{'indices'},Urban Computing|Data Mining,Muhammad Omer Farooq,https://scholar.google.com/citations?view_op=medium_photo&user=zsCpXWQAAAAJ,20080,70,56,626,463,0,1
30059,"(Chaired) Professor, ECE Dept., Univ. of Texas at Austin;  Faculty Dell Med, UTCS …",@utexas.edu,32391,Xnk4W5cAAAAJ,{'indices'},Machine Learning|Data Mining|Artificial Intelligence|Personalization|Health Informatics,Joydeep Ghosh,https://scholar.google.com/citations?view_op=medium_photo&user=Xnk4W5cAAAAJ,12328,68,39,254,126,0,1
30060,"Prof. of Computer Science, Queens College",@cs.qc.edu,32298,lr_fQCEAAAAJ,{'indices'},AI|Data Mining|Information Retrieval|Web,J Chen,https://scholar.google.com/citations?view_op=medium_photo&user=lr_fQCEAAAAJ,17669,81,56,670,468,0,1
