,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
350291,University of Copenhagen,,61509,zXAyIo0AAAAJ,{'indices'},,Lars Juhl Jensen,,36838,91,67,201,160,0,0
350292,"Professor of Computational Biology, University of Zurich and Swiss Institute of Bioinformatics",,54072,Av-VeeEAAAAJ,{'indices'},,Christian von Mering,,31108,69,53,111,98,0,0
350293,biobyte solutions GmbH,,46570,QqRR0osAAAAJ,{'indices'},,Ivica Letunić,,19651,52,41,63,55,0,0
350294,"staff scientist in the lab of Peer Bork, EMBL",,30537,LvfaFIIAAAAJ,{'indices'},,Michael Kuhn,,21207,34,28,41,36,0,0
350295,Utrecht University,,22176,XwAaptMAAAAJ,{'indices'},,Berend Snel,,6490,61,37,104,80,0,0
350296,"Chair of Medical Bioinformatics, University of Edinburgh",,110131,cwT02HYAAAAJ,{'indices'},,Chris Ponting,,36245,123,80,285,235,0,0
350297,"CMBI, Radboud University Medical Centre",,25700,3lT7CoMAAAAJ,{'indices'},,Martijn Huynen,,8348,78,48,194,148,0,0
350298,ETH Zürich; Swiss Institute of Bioinformatics,,27140,7cA8YgMAAAAJ,{'indices'},,Shinichi Sunagawa,,22006,57,54,91,88,0,0
350299,"Sorbonne Université, CNRS UMR 7009, Villefranche-sur-Mer",,57413,5j7V_lUAAAAJ,{'indices'},,Richard Copley,,11708,52,33,82,60,0,0
350300,"Group Leader at CBGP (UPM-INIA), Madrid, Spain",,19484,lUCR9rIAAAAJ,{'indices'},,Jaime Huerta-Cepas,,17005,38,28,50,47,0,0
350301,SIB Swiss Institute of Bioinformatics / University of Zurich,,27630,YTh64j8AAAAJ,{'indices'},,Damian Szklarczyk,,22469,26,26,31,30,0,0
350302,"Professor of Biomedical Informatics and of Medicine (BWH), Harvard Medical School",,59440,tGgctt4AAAAJ,{'indices'},,Shamil Sunyaev,,32340,78,58,135,118,0,0
350303,"Senior Investigator, NCBI, NIH",,200131,F4P3ghEAAAAJ,{'indices'},,Eugene Koonin,,66184,212,112,864,674,0,0
350304,"Professor, Faculty of Medicine, Rega Institute, KU Leuven; Group Leader Microbiome, VIB, Belgium",,60243,Ff13MYIAAAAJ,{'indices'},,Jeroen Raes,,42997,84,71,173,161,0,0
350305,"Junior Group Leader, ECRC (joint Max Delbrück Center and Charité University Hospital unit), Berlin",,23596,7wAzvKIAAAAJ,{'indices'},,Sofia K. Forslund,,14966,27,24,38,33,0,0
350306,Johannes-Gutenberg University in Mainz,,19814,hoejIlAAAAAJ,{'indices'},,Miguel Andrade,,7034,70,41,169,111,0,0
350307,"University of Geneva, Faculty of Medicine",,18873,H8YsneQAAAAJ,{'indices'},,Anne-Claude Gavin,,4999,47,35,70,59,0,0
350308,"Dana-Farber Cancer Institute, Harvard Medical School, Broad Institute, Memorial Sloan Kettering",,216252,4R7_wW8AAAAJ,{'indices'},,Chris Sander,,109322,187,128,424,314,0,0
350309,"EMBL, Heidelberg",,16378,5XdNlE8AAAAJ,{'indices'},,Georg Zeller,,10807,41,35,49,42,0,0
350310,"Asst. Professor, Amsterdam University Medical Center, University of Amsterdam",,20730,q4JtNUkAAAAJ,{'indices'},,Daniel R. Mende,,13984,26,26,29,28,0,0
350311,"Associate Professor, Johns Hopkins University",,33585,fKjqGyEAAAAJ,{'indices'},,Mihaela Pertea,,12541,39,28,49,40,0,0
350312,"Associate Professor of Computer Science, Johns Hopkins University",,56825,2JMaTKsAAAAJ,{'indices'},,Ben Langmead,,42757,30,29,37,37,0,0
350313,"Professor of Biomedical Engineering, Computer Science and Bioinformatics, Boston University",,44320,SBNZBMUAAAAJ,{'indices'},,Simon Kasif,,10766,53,30,121,62,0,0
350314,"Professor of Computer Science, University of Maryland, College Park",,53053,4glkLD0AAAAJ,{'indices'},,Mihai Pop,,27256,58,48,100,86,0,0
350315,"Assistant Professor, University of Washington",,81359,XtXFCp8AAAAJ,{'indices'},,Cole Trapnell,,56614,53,50,74,73,0,0
350316,Michael L. Rosenberg Assistant Professor of Bioinformatics at the University of Texas Southwestern,,29148,RotyhxEAAAAJ,{'indices'},,Daehwan Kim,,25588,10,10,10,10,0,0
350317,Johns Hopkins University,,9224,Unw2dPYAAAAJ,{'indices'},,Daniela Puiu,,5546,37,31,44,40,0,0
350318,"Director of Bioinformatics, Institute for Genome Sciences, Professor, Department of Epidemiology and Preventative, University of",,112000,uwYSPwUAAAAJ,{'indices'},,Owen White,,28972,104,73,169,137,0,0
350319,"Associate Research Scientist, Department of Biomedical Engineering, Johns Hopkins Unviersity",,11662,Bp3ixaUAAAAJ,{'indices'},,Aleksey V Zimin,,6885,33,30,42,40,0,0
350320,"Sr. Investigator, National Human Genome Research Institute, NIH",,24351,PTTAqsgAAAAJ,{'indices'},,Adam M. Phillippy,,16786,50,44,84,78,0,0
350321,"Bren Professor of Computational Biology, Caltech",,79648,DKfEcuEAAAAJ,{'indices'},,Lior Pachter,,41253,66,46,140,108,0,0
350322,"Bloomberg Distinguished Associate Professor, Johns Hopkins University",,28550,rcs6IKwAAAAJ,{'indices'},,Michael C. Schatz,,16511,65,60,121,113,0,0
350323,Calico Labs,,15552,NYzqnv0AAAAJ,{'indices'},,David R Kelley,,11499,24,22,25,25,0,0
350324,University of Maryland,,70520,aBRLHCIAAAAJ,{'indices'},,James A. Yorke,,15316,118,55,327,189,0,0
350325,Senior Software Engineer at SOPHiA Genetics,,2390,VMSuK4QAAAAJ,{'indices'},,Florian P Breitwieser,,1945,24,22,36,32,0,0
350326,"Professor, University of California, Davis (UC Davis), Department of Evolution and Ecology",,75866,LrlwhwUAAAAJ,{'indices'},,Jonathan A. Eisen,,23454,101,75,314,230,0,0
350327,Project Scientist,,6287,oD8K--AAAAAJ,{'indices'},,Guillaume Marcais,,4507,16,15,20,19,0,0
350328,"Staff Scientist, National Library of Medicine",,27970,6kLscXQAAAAJ,{'indices'},,Martin Shumway,,12483,25,24,26,26,0,0
350329,"Professor, University of California - Davis",,18027,_zP4ZdEAAAAJ,{'indices'},,Charles H. Langley,,4313,65,30,143,68,0,0
350330,,,2433,r8ZnQ2QAAAAJ,{'indices'},,Marc Crepeau,,1761,22,19,26,24,0,0
350331,"Penn State University, UC Santa Barbara, Arizona",,231782,k9T3V7EAAAAJ,{'indices'},,Webb Miller,,56979,100,52,247,130,0,0
350332,Allen Institute for Brain Science,,19207,mzHFPr4AAAAJ,{'indices'},,Hanchuan Peng,,11232,42,34,96,72,0,0
350333,The Jackson Laboratory for Genomic Medicine,,172277,hKV4ZD8AAAAJ,{'indices'},,Mark D Adams,,46486,161,92,1201,766,0,0
350334,CSBD/MPI-CBG and Fondazione Human Technopole,,1399,vYInKgwAAAAJ,{'indices'},,Florian Jug,,1327,18,18,24,22,0,0
350335,"Professor of Informatics, J. Craig Venter Institute",,167667,QlMHNn0AAAAJ,{'indices'},,Granger G. Sutton III,,38705,68,49,106,78,0,0
350336,FU Berlin / MPI Molgen,,35540,XwG4wAcAAAAJ,{'indices'},,Knut Reinert,,8378,49,32,94,64,0,0
350337,Group Leader,,2651,upcbWQQAAAAJ,{'indices'},,Loic Alain Royer,,2253,18,14,23,16,0,0
350338,BIH/MDC Berlin,,2039,mg0LpUwAAAAJ,{'indices'},,Dagmar Kainmueller,,1154,19,16,25,21,0,0
350339,"Group Leader, HHMI, Janelia Farm Research Campus",,60209,HTuwJ_EAAAAJ,{'indices'},,svoboda k and svoboda karel,,25582,112,79,171,163,0,0
350340,Max Planck institute of molecular cell biology and genetics,,53600,U_ZkarMAAAAJ,{'indices'},,AA Hyman,,24596,129,80,281,240,0,0
350341,"Howard Hughes Medical Institute, Janelia Farm Research Campus",,2233,lGzMhGIAAAAJ,{'indices'},,Ting Zhao,,1510,20,15,26,19,0,0
350342,"Max Planck Institute of Molecular Cell Biology and Genetics, Dresden, Germany",,439,IyikPmoAAAAJ,{'indices'},,Corinna Blasse,,337,8,8,7,7,0,0
350343,Max Planck Institute of Molecular Cell Biology and Genetics,,10425,b37sU-IAAAAJ,{'indices'},,Suzanne Eaton,,4093,49,36,70,62,0,0
350344,"Professor of Algorithms in Bioinformatics, University of Tuebingen",,50888,hLTZTG4AAAAJ,{'indices'},,Daniel H. Huson,,19685,70,47,134,95,0,0
