,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
428726,Queensland University of Technology,,30961,Rf6fpyIAAAAJ,{'indices'},,Arthur ter Hofstede,,7222,76,41,218,117,0,0
428727,"Professor of Computer Science, Eindhoven University of Technology",,18894,vSPKumwAAAAJ,{'indices'},,Boudewijn van Dongen,,8932,52,39,110,89,0,0
428728,"Scientific Engineer, Eindhoven University of Technology",,10876,g3R0nCgAAAAJ,{'indices'},,Eric Verbeek,,3894,39,26,86,44,0,0
428729,University of Tartu,,32867,9lIttRkAAAAJ,{'indices'},,Marlon Dumas,,11740,77,48,243,162,0,0
428730,Consultant,,6694,B26STTMAAAAJ,{'indices'},,Nick Russell,,1549,31,15,53,22,0,0
428731,"Professor of Computer Science, Utrecht University || Eindhoven University of Technology",,18882,hsfC0rEAAAAJ,{'indices'},,Hajo A. Reijers,,9740,62,47,199,146,0,0
428732,"PostDoctoral Researcher at Technische Universiteit Eindhoven, Department of Mathematics and Computer Science",,4694,8ZE64FIAAAAJ,{'indices'},,Ronny Mans,,2686,26,21,40,31,0,0
428733,Co-founder Fluxicon,,5965,ZJ0SJusAAAAJ,{'indices'},,Anne Rozinat,,2654,29,21,39,29,0,0
428734,"Emeritus Professor of Computer Science, Eindhoven University of Technology",,8699,Ux7Q2U4AAAAJ,{'indices'},,Kees van Hee,,1652,36,15,79,21,0,0
428735,Vienna University of Economics and Business (WU Vienna),,25872,e3LVAMEAAAAJ,{'indices'},,Jan Mendling,,13222,78,54,293,222,0,0
428736,Technische Universiteit Eindhoven,,3564,MpuRqeQAAAAJ,{'indices'},,Natalia Sidorova,,1482,28,18,73,28,0,0
428737,"Assistant Professor of Computer Science, University of Padova",,4046,OejM6_AAAAAJ,{'indices'},,Massimiliano de Leoni,,2881,33,27,65,47,0,0
428738,"Associate Professor at Department of Industrial & Management Engineering, POSTECH",,7253,8ACzAlkAAAAJ,{'indices'},,Minseok Song,,3452,31,25,45,34,0,0
428739,"Associate Professor in Computer Science, Eindhoven University of Technology",,5195,qLkK5JAAAAAJ,{'indices'},,Dirk Fahland,,3416,38,29,63,49,0,0
428740,"Professor, Queensland University of Technology",,4171,HV1NIvcAAAAJ,{'indices'},,Moe Thandar Kyaw Wynn,,2531,30,22,63,47,0,0
428741,"School of Computing and Information Systems, University of Melbourne",,10795,RTrK8csAAAAJ,{'indices'},,Marcello La Rosa,,7054,48,38,105,86,0,0
428742,"former Assistant professor, Eindhoven University of Technology",,3053,hQjcD-0AAAAJ,{'indices'},,Joos Buijs,,2212,21,21,29,27,0,0
428743,Queensland University of Technology,,23309,5aVOGFMAAAAJ,{'indices'},,Michael Rosemann,,8300,70,45,240,129,0,0
428744,"Department of Mathematics and Computer Science, Eindhoven University of Technology, The Netherlands",,3521,8HxkhewAAAAJ,{'indices'},,R. P. Jagadeesh Chandra Bose,,2306,24,22,36,28,0,0
428745,Queensland University of Technology,,4461,aQqD_CQAAAAJ,{'indices'},,Chun Ouyang,,1443,27,18,44,27,0,0
428746,Independent researcher,,48645,cBRgwaQAAAAJ,{'indices'},,Laurence Prusak,,11407,50,30,90,53,0,0
428747,University of Texas at Austin,,37862,0tjBRy8AAAAJ,{'indices'},,Sirkka Jarvenpaa,,10119,69,39,130,87,0,0
428748,"David D. Glass Endowed Chair and Distinguished Professor, Walton COB, University of Arkansas",,41138,BUnuvQwAAAAJ,{'indices'},,Varun Grover,,14046,94,55,194,143,0,0
428749,"Professor of Business Administration, Jacobs University",,10199,ryT_obQAAAAJ,{'indices'},,Sven C. Voelpel,,4727,38,32,66,51,0,0
428750,"Professor of Marketing, Georgia Tech",,48924,IZK5fLEAAAAJ,{'indices'},,Ajay Kohli,,16361,39,31,52,42,0,0
428751,"Professor, Babson College",,5005,Rknb2XwAAAAJ,{'indices'},,Bala Iyer,,1429,30,19,45,26,0,0
428752,"Global Managing Director, Technology & Business Research, Accenture",,1564,V9WVG_oAAAAJ,{'indices'},,H. James Wilson,,1078,12,11,14,13,0,0
428753,Babson College,,20699,VcOD5ccAAAAJ,{'indices'},,Rob Cross,,7259,44,34,65,51,0,0
428754,"Professor: Strategy, Innovation and Leadership Minds",,4152,DuqBJKEAAAAJ,{'indices'},,Marius Leibold,,1313,20,14,23,17,0,0
428755,"Executive Director and PI, MIT",,1920,Z2Qp_JMAAAAJ,{'indices'},,Keri Pearlson,,561,10,6,10,5,0,0
428756,Queensland University of Technology,,23309,5aVOGFMAAAAJ,{'indices'},,Michael Rosemann,,8300,70,45,240,129,0,0
428757,Babson College,,3106,YaX89kgAAAAJ,{'indices'},,Salvatore Parise,,1381,26,20,32,26,0,0
428758,Queensland University of Technology,,9002,Hfq-KXQAAAAJ,{'indices'},,Guy G. Gable,,2913,38,22,91,45,0,0
428759,"Professor, Harvard Business School",,54250,rViX0TMAAAAJ,{'indices'},,Nitin Nohria,,13386,69,45,127,83,0,0
428760,"William S. Lee Distinguished Professor in Management, Clemson University",,12874,JxOjpywAAAAJ,{'indices'},,William J. Kettinger,,3420,44,29,78,58,0,0
428761,University of Liechtenstein,,16094,WkGDQ0oAAAAJ,{'indices'},,Jan vom Brocke,,10545,58,47,206,139,0,0
428762,Bentley University,,38885,5aXawzwAAAAJ,{'indices'},,M. Lynne Markus,,8658,69,45,160,85,0,0
428763,"Associate Professor of Accounting, Babson College",,467,PxLyvQ4AAAAJ,{'indices'},,Julia Kokina,,458,7,7,7,7,0,0
428764,"Professor of Marketing & Toyota Chair of Commerce and Electronic Business, Babson College",,64495,adnaVp0AAAAJ,{'indices'},,Dhruv Grewal,,28991,84,65,189,161,0,0
428765,"Associate Professor, University of South Carolina",,439,rQLUF9MAAAAJ,{'indices'},,Abhijit Guha,,394,10,9,10,9,0,0
428766,Professor of MIS Drexel University,,60025,R2vp_EEAAAAJ,{'indices'},,David Gefen,,24535,58,41,93,79,0,0
