Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
261535,"PhD Student in ECE, Rice University",@rice.edu,126,SloyGEkAAAAJ,{'indices'},Computational Imaging|Computer Vision|Computational Photography|Deep Learning,Yicheng Wu,https://scholar.google.com/citations?view_op=medium_photo&user=SloyGEkAAAAJ,124,5,5,3,3,0,1
261536,"Institute of Medical Informatics, University of Lübeck, Lübeck, Germany",@imi.uni-luebeck.de,126,8J28iXcAAAAJ,{'indices'},Medical Image Analysis|Deep Learning,Timo Kepp,https://scholar.google.com/citations?view_op=medium_photo&user=8J28iXcAAAAJ,125,6,6,5,5,0,1
261537,George Washington University,@gwu.edu,126,Rvk73CgAAAAJ,{'indices'},Data Science|Machine Learning|Deep Learning|Signal Processing|Wireless Communications,Mohammad Bari,https://scholar.google.com/citations?view_op=medium_photo&user=Rvk73CgAAAAJ,61,8,5,6,1,0,1
261538,"Dean of Faculty of Computers and Information, Damietta University",@du.edu.eg,126,WITlKHsAAAAJ,{'indices'},AI|Image Processing|OS|neural networks|Deep learning,Prof. Dr. GM Behery,https://scholar.google.com/citations?view_op=medium_photo&user=WITlKHsAAAAJ,55,5,5,4,1,0,1
261539,University of Manitoba,@myumanitoba.ca,126,06_m14QAAAAJ,{'indices'},Deep Learning|Machine learning|Robotics,Vahab Khoshdel,https://scholar.google.com/citations?view_op=medium_photo&user=06_m14QAAAAJ,122,5,5,4,4,0,1
261540,"Computer Science Department, Bahria University Islamabad, Pakistan.",@bahria.edu.pk,126,1nMjZrAAAAAJ,{'indices'},Pattern Recognition|Deep Learning|Digital Image Processing|Computer Vision|Delay Tolerant Networking,Momina Moetesum,https://scholar.google.com/citations?view_op=medium_photo&user=1nMjZrAAAAAJ,125,6,6,4,4,0,1
261541,ETH Zürich,@geod.baug.ethz.ch,126,8KsqL4gAAAAJ,{'indices'},3D Vision|Deep Learning|Point cloud processing|Machine Learning,Zan Gojcic,https://scholar.google.com/citations?view_op=medium_photo&user=8KsqL4gAAAAJ,125,5,5,3,3,0,1
261542,PhD student Bar-Ilan University,@biu.ac.il,126,I3oxpKUAAAAJ,{'indices'},Deep Learning|Machine Learning|Signal Processing|Speech Processing,Shlomo E. Chazan,https://scholar.google.com/citations?view_op=medium_photo&user=I3oxpKUAAAAJ,126,7,7,4,4,0,1
261543,"Postdoctoral Researcher, National University of Singapore",@comp.nus.edu.sg,126,U8AyzLIAAAAJ,{'indices'},Deep Learning|Computer Vision|Video Analytics|Remote Sensing|Data Valuation,Murari Mandal,https://scholar.google.com/citations?view_op=medium_photo&user=U8AyzLIAAAAJ,126,7,7,7,7,0,1
261544,Waymo,@cs.stonybrook.edu,126,OT3Xk68AAAAJ,{'indices'},computer vision|video understanding|deep learning,Yang Wang (王洋),https://scholar.google.com/citations?view_op=medium_photo&user=OT3Xk68AAAAJ,122,7,7,7,7,0,1
261545,Undergraduate Student at IIIT Sri City,@iiits.in,126,ov0hXLsAAAAJ,{'indices'},Nautral Language Processing|Deep Learning|Computational Social Science,Tushar Maheshwari,https://scholar.google.com/citations?view_op=medium_photo&user=ov0hXLsAAAAJ,126,6,6,2,2,0,1
261546,Sivas Cumhuriyet University,@cumhuriyet.edu.tr,126,y7xFtjkAAAAJ,{'indices'},Machine Learning|Deep Learning|Computer Vision,Ömer Faruk Gürcan,https://scholar.google.com/citations?view_op=medium_photo&user=y7xFtjkAAAAJ,126,5,5,4,4,0,1
261547,Karlovac University of Applied Sciences,@vuka.hr,126,2lxAKKkAAAAJ,{'indices'},deep learning|image segmentation|OCT retinal images,Martina Melinscak,https://scholar.google.com/citations?view_op=medium_photo&user=2lxAKKkAAAAJ,123,2,1,1,1,0,1
261548,University of Central Florida,@knights.ucf.edu,126,Lzxk0PMAAAAJ,{'indices'},Computer Vision|Machine Learning|Deep Learning|Artificial Neural Networks,Ugur Demir,https://scholar.google.com/citations?view_op=medium_photo&user=Lzxk0PMAAAAJ,126,4,4,2,2,0,1
261549,University of Montreal,@umontreal.ca,126,MkkWhdAAAAAJ,{'indices'},Artificial Intelligence|Natural Language Processing|Machine Learning|Deep Learning,Abbas Ghaddar,https://scholar.google.com/citations?view_op=medium_photo&user=MkkWhdAAAAAJ,126,5,5,4,4,0,1
261550,Hyundai Motor Group,@hyundai.com,126,B4t5x28AAAAJ,{'indices'},Natural Language Processing|Deep Learning,Cheoneum Park,https://scholar.google.com/citations?view_op=medium_photo&user=B4t5x28AAAAJ,122,6,6,4,4,0,1
261551,"AI Lab, Tencent",@tencent.com,126,AfC_R58AAAAJ,{'indices'},MR Brain Imaging|Medical Image Analysis|Computer Vision|Machine Learning|Deep Learning,Haocheng Shen,https://scholar.google.com/citations?view_op=medium_photo&user=AfC_R58AAAAJ,125,6,6,4,4,0,1
261552,Tianjin University,@tju.edu.cn,126,mwnoybEAAAAJ,{'indices'},Deep Learning,Yang Yang,https://scholar.google.com/citations?view_op=medium_photo&user=mwnoybEAAAAJ,126,6,6,4,4,0,1
261553,Near East University,@neu.edu.tr,126,b7jRWhMAAAAJ,{'indices'},Machine learning|Image Processing|Fuzzy System|Neural Network|Deep Learning,Mohammad Khaleel Sallam Ma'aitah,https://scholar.google.com/citations?view_op=medium_photo&user=b7jRWhMAAAAJ,125,4,4,3,3,0,1
261554,"Faculty of Sciences and Techniques of Errachidia, Moulay Ismail University",,126,Na5yyTAAAAAJ,{'indices'},Image processing|Signal processing|Speech recognition|Machine Leraning|Deep Learning,Youness Chawki,https://scholar.google.com/citations?view_op=medium_photo&user=Na5yyTAAAAAJ,124,5,5,4,4,0,1
261555,"PhD Student, University of Toronto",@cs.toronto.edu,126,nOj2GykAAAAJ,{'indices'},dense mapping|deep learning|computer vision,Ioan Andrei Bârsan,https://scholar.google.com/citations?view_op=medium_photo&user=nOj2GykAAAAJ,125,4,4,4,4,0,1
261556,Toyota Technological Institute,@toyota-ti.ac.jp,126,feXU8kIAAAAJ,{'indices'},stereo vision|autonomous vehicle|image processing|deep learning,Yuquan Xu,https://scholar.google.com/citations?view_op=medium_photo&user=feXU8kIAAAAJ,105,6,5,4,3,0,1
261557,"PhD Student, University of Pisa",@phd.unipi.it,126,VJ0n2gQAAAAJ,{'indices'},Deep Graph Networks|Probabilistic Models|Deep Learning|Structured Data,Federico Errica,https://scholar.google.com/citations?view_op=medium_photo&user=VJ0n2gQAAAAJ,125,3,3,3,3,0,1
261558,Graduate Research Assistant at University of Houston,@central.uh.edu,126,zWB5QnwAAAAJ,{'indices'},Machine Learning|Software Engineering|Software Testing|Deep Learning|Program Analysis,Md Rafiqul Islam Rabin,https://scholar.google.com/citations?view_op=medium_photo&user=zWB5QnwAAAAJ,126,4,4,3,3,0,1
261559,"National Engineering Laboratory for Fiber Optic Sensing Technology, Wuhan University of …",@whut.edu.cn,126,nNVVs7IAAAAJ,{'indices'},machine learning|deep learning|fiber optic sensing|damage detection|structural health monitoring,Sheng Li （S. Li),https://scholar.google.com/citations?view_op=medium_photo&user=nNVVs7IAAAAJ,70,6,5,3,1,0,1
261560,Vietnam Maritime University,@vimaru.edu.vn,126,Z0CnklwAAAAJ,{'indices'},Topology optimization|Additive manufacturing|Lightweight structure|Structural analysis|Deep learning,Van-Nam Hoang,https://scholar.google.com/citations?view_op=medium_photo&user=Z0CnklwAAAAJ,126,5,5,3,3,0,1
261561,Tianjin University,@tju.edu.cn,126,v5DO3PcAAAAJ,{'indices'},Rockmass|Hydraulic|Engineering Geology|Machine learning|Deep learning,Shuai Han,https://scholar.google.com/citations?view_op=medium_photo&user=v5DO3PcAAAAJ,126,7,7,4,4,0,1
261562,University of Surrey,,126,E2o62dQAAAAJ,{'indices'},Computer Vision|Deep Learning,Zhongying Deng,https://scholar.google.com/citations?view_op=medium_photo&user=E2o62dQAAAAJ,126,4,4,4,4,0,1
261563,Zhejiang University,@zju.edu.cn,126,HZYNtDkAAAAJ,{'indices'},Visual Tracking|Computer Vision|Deep Learning|Machine Learning,Yinda XU,https://scholar.google.com/citations?view_op=medium_photo&user=HZYNtDkAAAAJ,126,2,2,2,2,0,1
261564,"Insight Centre for Data Analytics, Dublin City University",@insight-centre.org,126,0FJ5BQMAAAAJ,{'indices'},Computer vision|Deep learning|Machine learning|Artificial intelligence,Eric Arazo Sánchez,https://scholar.google.com/citations?view_op=medium_photo&user=0FJ5BQMAAAAJ,126,4,4,2,2,0,1
261565,"Technology Specialist for Computer Vision and Machine Learning, ZEISS Microscopy",@dhaase.de,126,B58vq_cAAAAJ,{'indices'},Deep Learning|Machine Learning|Computer Vision,Daniel Haase,https://scholar.google.com/citations?view_op=medium_photo&user=B58vq_cAAAAJ,78,6,4,4,3,0,1
261566,Research Assistant,@knu.ac.kr,126,l1uvg8cAAAAJ,{'indices'},Computer Vision|Deep Learning|Visual Object Tracking|Scene Understanding|Segmentation,Md. Maklachur Rahman,https://scholar.google.com/citations?view_op=medium_photo&user=l1uvg8cAAAAJ,95,4,4,3,3,0,1
