Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
729167,Université de Montréal,,108226.0,km6CP8cAAAAJ,{'indices'},Machine learning|Artificial Intelligence,Aaron Courville,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=km6CP8cAAAAJ&citpid=4,102645.0,76,69,155,150,0,0
729168,"Facebook AI Research; U. Montreal (Professor, Computer Sc. & Op. Res.); MILA; CIFAR",,42661.0,WBCKQMsAAAAJ,{'indices'},Machine Learning|Deep Learning|Artificial Intelligence,Pascal Vincent,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WBCKQMsAAAAJ&citpid=2,33601.0,46,41,73,64,0,0
729169,New York University,,69011.0,0RAmmIAAAAAJ,{'indices'},Machine Learning|Deep Learning,Kyunghyun Cho,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0RAmmIAAAAAJ&citpid=1,66823.0,68,66,159,158,0,0
729170,,,138005.0,iYN86KEAAAAJ,{'indices'},Deep Learning,Ian Goodfellow,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iYN86KEAAAAJ&citpid=4,134763.0,70,69,112,110,0,0
729171,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York University",,192969.0,WLN3QrAAAAAJ,{'indices'},AI|machine learning|computer vision|robotics|image compression,Yann LeCun,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WLN3QrAAAAAJ&citpid=2,155304.0,126,104,295,239,0,0
729172,Google Brain & Mila,,42375.0,U89FHq4AAAAJ,{'indices'},Machine Learning|Artificial Intelligence,Hugo Larochelle,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=U89FHq4AAAAJ&citpid=9,36234.0,55,52,95,90,0,0
729173,Research Scientist at Deepmind and PhD from MILA,,30891.0,7hwJ2ckAAAAJ,{'indices'},Machine Learning|Reinforcement Learning|Cognitive Science|Artificial Intelligence,Caglar Gulcehre,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7hwJ2ckAAAAJ&citpid=1,30033.0,35,35,47,46,0,0
729174,Element AI,,39528.0,Nq0dVMcAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Deep Learning,Dzmitry Bahdanau,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Nq0dVMcAAAAJ&citpid=1,38493.0,16,16,17,17,0,0
729175,"Senior Research Scientist, DeepMind",,45502.0,MOgfm8oAAAAJ,{'indices'},Machine Learning|Artificial Intelligence|Generative Models,David Warde-Farley,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Nq0dVMcAAAAJ&citpid=1,41293.0,23,23,27,27,0,0
729176,DeepMind,,27375.0,_WnkXlkAAAAJ,{'indices'},Machine Learning,Xavier Glorot,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_WnkXlkAAAAJ&citpid=3,25229.0,18,16,20,18,0,0
729177,Research Scientist at Google DeepMind,,26388.0,eSPY8LwAAAAJ,{'indices'},Machine Learning|Artificial Intelligence|Recurrent Neural Networks|Deep Learning|Reinforcement Learning,Razvan Pascanu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eSPY8LwAAAAJ&citpid=5,24039.0,52,51,72,71,0,0
729178,DeepMind,,46168.0,c646VbAAAAAJ,{'indices'},Machine Learning|Artificial Intelligence,Mehdi Mirza,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c646VbAAAAAJ&citpid=1,44715.0,19,19,23,22,0,0
729179,Facebook AI Research,,91103.0,kbN88gsAAAAJ,{'indices'},Machine learning|artificial intelligence,Leon Bottou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c646VbAAAAAJ&citpid=1,71392.0,74,59,139,105,0,0
729180,"PhD Student, U. Montreal",,33069.0,O7MZStwAAAAJ,{'indices'},machine learning|deep learning|artificial intelligence|probabilistic programming,Sherjil Ozair,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=O7MZStwAAAAJ&citpid=3,32561.0,13,12,15,14,0,0
729181,,,19187.0,KOBmy0sAAAAJ,{'indices'},Machine Learning|Neural Networks|Theoretical Neuroscience|Optimization,James Bergstra,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KOBmy0sAAAAJ&citpid=2,15856.0,26,26,37,31,0,0
729182,Facebook AI Research,,5205.0,zqLpO2QAAAAJ,{'indices'},Artificial Intelligence,Olivier Delalleau,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zqLpO2QAAAAJ&citpid=2,2947.0,21,16,27,19,0,0
729183,"Mila, Université de Montréal",,1751.0,krrh6OUAAAAJ,{'indices'},Machine Learning|Deep Learning|Deep Reinforcement Learning,Anirudh Goyal,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=krrh6OUAAAAJ&citpid=2,1744.0,15,15,16,16,0,0
729184,Interactions Corp,,53393.0,s8bAY0kAAAAJ,{'indices'},error,Patrick Haffner,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=krrh6OUAAAAJ&citpid=2,38817.0,35,22,74,37,0,0
729185,"Google Research, Brain Team",,12851.0,bn4xHHIAAAAJ,{'indices'},Machine Learning|Neural Networks|Deep Learning,Pascal Lamblin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=krrh6OUAAAAJ&citpid=2,9516.0,13,13,13,13,0,0
729186,Google Brain,,7341.0,LmKtwk8AAAAJ,{'indices'},Machine Learning|Neural networks|Deep learning|Optimization,Nicolas Le Roux,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LmKtwk8AAAAJ&citpid=3,4452.0,26,22,35,33,0,0
729187,"Emeritus Prof. Comp Sci, U.Toronto & Engineering Fellow, Google",,437974.0,JicYPdAAAAAJ,{'indices'},machine learning|psychology|artificial intelligence|cognitive science|computer science,Geoffrey Hinton,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JicYPdAAAAAJ&citpid=2,317191.0,162,116,376,277,0,0
729188,Dessa,,136322.0,xegzhJcAAAAJ,{'indices'},Machine Learning,Alex Krizhevsky,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JicYPdAAAAAJ&citpid=2,127258.0,25,25,26,26,0,0
729189,"UPMC Professor, Machine Learning Department, CMU",,113672.0,ITZ1e7MAAAAJ,{'indices'},Machine Learning|Artificial Intelligence|Deep Learning,Ruslan Salakhutdinov,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ITZ1e7MAAAAJ&citpid=3,94639.0,92,83,189,184,0,0
729190,Research Scientist at Google DeepMind,,107092.0,NkzyCvUAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Deep Learning|Speech|Vision,Oriol Vinyals,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NkzyCvUAAAAJ&citpid=2,102864.0,75,71,121,108,0,0
729191,"Research Scientist, Google Brain",,83846.0,vfT6-XIAAAAJ,{'indices'},Machine Learning|Artificial Intelligence,Quoc V. Le,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vfT6-XIAAAAJ&citpid=4,76572.0,87,81,145,140,0,0
729192,Co-Founder of OpenAI,,28560.0,XCZpOcAAAAAJ,{'indices'},Machine Perception|Machine Learning|Computer Vision|Natural Language Processing,Wojciech Zaremba,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XCZpOcAAAAAJ&citpid=6,27802.0,30,29,38,35,0,0
729193,"Research Scientist, Apple",,43941.0,s1PgoeUAAAAJ,{'indices'},Machine Learning|Neural Networks|Unsupervised Learning|Reinforcement Learning,Nitish Srivastava,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=s1PgoeUAAAAJ&citpid=4,40974.0,19,19,22,21,0,0
729194,OpenAI,,26348.0,dOad5HoAAAAJ,{'indices'},Deep Learning|Machine Learning,Alec Radford,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dOad5HoAAAAJ&citpid=2,26099.0,21,21,23,23,0,0
729195,"Senior Researcher, CIIRC CTU",,92472.0,oBu8kMMAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Language Modeling|Natural Language Processing,Tomas Mikolov,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oBu8kMMAAAAJ&citpid=4,84896.0,46,45,84,76,0,0
729196,UC Berkeley | Covariant.AI,,57363.0,vtwH6GkAAAAJ,{'indices'},Robotics|Machine Learning|AI,Pieter Abbeel,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vtwH6GkAAAAJ&citpid=3,49682.0,110,103,275,270,0,0
729197,"Google Senior Fellow & SVP, Google Research and Health",,175334.0,NMS69lQAAAAJ,{'indices'},Distributed systems|information retrieval|machine learning|compilers|computer architecture,Jeff Dean,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NMS69lQAAAAJ&citpid=3,123933.0,84,63,236,158,0,0
729198,Google Brain Amsterdam,,13209.0,w68-7AYAAAAJ,{'indices'},generative models|reinforcement learning|deep learning|approximate Bayesian inference,Tim Salimans,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=w68-7AYAAAAJ&citpid=1,12988.0,17,17,23,19,0,0
729199,"Research Scientist, DeepMind",,8389.0,LlK_saMAAAAJ,{'indices'},Machine Learning,James Martens,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=w68-7AYAAAAJ&citpid=1,7244.0,22,20,23,21,0,0
729200,"Embodied Intelligence, UC Berkeley",,8263.0,EMDboA4AAAAJ,{'indices'},Robotics|Machine Learning|Reinforcement Learning|Meta Learning,Yan Duan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=w68-7AYAAAAJ&citpid=1,8096.0,21,19,22,22,0,0
729201,Google Research,,102833.0,HBtozdUAAAAJ,{'indices'},Machine Learning|Computational Neuroscience,Greg Corrado,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HBtozdUAAAAJ&citpid=1,94493.0,51,49,70,68,0,0
729202,Google Inc.,,59239.0,TKvd_Z4AAAAJ,{'indices'},Machine Learning|Deep Learning|Online Advertising,Kai Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TKvd_Z4AAAAJ&citpid=2,52132.0,31,21,55,43,0,0
729203,"Research Scientist, OpenAI",,23991.0,itSa94cAAAAJ,{'indices'},Artificial Intelligence|Robotics|Neuroscience,John Schulman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TKvd_Z4AAAAJ&citpid=2,23498.0,38,38,48,48,0,0
729204,,,138005.0,iYN86KEAAAAJ,{'indices'},Deep Learning,Ian Goodfellow,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iYN86KEAAAAJ&citpid=4,134763.0,70,69,112,110,0,0
729205,"Senior Research Scientist, Google DeepMind",,42988.0,htPVdRMAAAAJ,{'indices'},Machine Learning|Deep Learning|Neuroscience|Reinforcement Learning|Memory,Timothy P. Lillicrap,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=htPVdRMAAAAJ&citpid=2,42198.0,50,50,82,79,0,0
729206,Google DeepMind,,70986.0,-8DNE4UAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Reinforcement Learning|Monte-Carlo Search|Computer Games,David Silver,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=htPVdRMAAAAJ&citpid=2,67570.0,66,59,104,101,0,0
729207,"Research Scientist, Facebook AI Research (FAIR)",,196459.0,DhtAFkwAAAAJ,{'indices'},Computer Vision|Machine Learning,Kaiming He,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DhtAFkwAAAAJ&citpid=3,190154.0,57,56,65,65,0,0
729208,"Research Leader, MEGVII Technology",,106628.0,yuB-cfoAAAAJ,{'indices'},Neural Network Architectures|Efficient Deep Learning,Xiangyu Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yuB-cfoAAAAJ&citpid=4,104827.0,26,26,30,30,0,0
729209,NIO,,130039.0,AUhj438AAAAJ,{'indices'},Computer Vision|Deep Learning|Autonomous Driving,Shaoqing Ren,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AUhj438AAAAJ&citpid=4,127652.0,14,14,14,14,0,0
729210,Microsoft,,46310.0,9akH-n8AAAAJ,{'indices'},Computer Vision|Computer Graphics,Heung-Yeung Shum,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9akH-n8AAAAJ&citpid=1,13405.0,106,55,337,226,0,0
729211,The Chinese University of Hong Kong,,87910.0,qpBtpGsAAAAJ,{'indices'},Computer Vision|Pattern Recognition,Xiaoou Tang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qpBtpGsAAAAJ&citpid=2,65173.0,126,98,387,277,0,0
729212,Megvii Research Shanghai,,14130.0,O7A6nYMAAAAJ,{'indices'},computer vision,Yichen Wei,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=O7A6nYMAAAAJ&citpid=1,12098.0,42,37,61,55,0,0
729213,"Research Scientist, Facebook AI Research (FAIR)",,176282.0,W8VIEZgAAAAJ,{'indices'},computer vision|machine learning,Ross Girshick,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=W8VIEZgAAAAJ&citpid=7,163683.0,73,71,101,98,0,0
729214,"Principal Research Manager, Cognition, Cloud & AI, Microsoft",,5868.0,k9TsUVsAAAAJ,{'indices'},Video Understanding and Processing|Computational Photography|Computer Vision|Computational Creativity,Lu Yuan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=k9TsUVsAAAAJ&citpid=11,3712.0,31,29,45,42,0,0
729215,CEO at Momenta.ai,,4731.0,H6E_VnoAAAAJ,{'indices'},Deep Learning|Autonomous Driving,Xudong Cao,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=H6E_VnoAAAAJ&citpid=2,3769.0,14,14,15,15,0,0
729216,Senior Researcher of Megvii(Face++),,990.0,XdTqWS0AAAAJ,{'indices'},Computer Vision|Deep Learning,Zeming Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XdTqWS0AAAAJ&citpid=4,986.0,11,11,12,12,0,0
729217,"Professor, CUHK",,31062.0,XPAkzTEAAAAJ,{'indices'},Computer Vision|Computational Imaging|Machine Learning,Jiaya Jia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XPAkzTEAAAAJ&citpid=15,22853.0,76,64,154,145,0,0
