Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
696727,Director at Bytedance Inc.,,30673.0,HWFvq_wAAAAJ,{'indices'},error,Yang Jianchao,nan,20415.0,65,55,207,164,0,0
696728,Lenovo Research and previously Microsoft Research,,29095.0,rCGsLtcAAAAJ,{'indices'},Multimedia analysis|computer vision|AI|machine learning,"Yong Rui, Fellow of ACM, IEEE, IAPR,...",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rCGsLtcAAAAJ&citpid=3,10630.0,82,51,233,173,0,0
696729,"NEU, Professor; FIEEE, FSPIE, FOSA, FIAPR",,20329.0,h-JEcQ8AAAAJ,{'indices'},machine learning|computer vision|image processing|human computer interaction|multimedia,Yun Raymond Fu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=h-JEcQ8AAAAJ&citpid=4,15350.0,71,60,269,238,0,0
696730,Director@Sea AI Labs (SAIL); Group Chief Scientist@Sea; National University of Singapore,,73364.0,DNuiPHwAAAAJ,{'indices'},Multimedia|Computer Vision|Machine Learning|Fashion Recommendation,"Shuicheng Yan, Fellow of ACM, SAEn...",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DNuiPHwAAAAJ&citpid=7,47623.0,117,100,773,565,0,0
696731,UII,,15138.0,-bp44DoAAAAJ,{'indices'},Computer vision and pattern recognition|machine learning|image and text based information retrieval|medical image analysis,Xiang Sean Zhou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-bp44DoAAAAJ&citpid=2,5278.0,50,30,213,94,0,0
696732,"Professor of Electrical Engineering and Computer Science, Northwestern University",,17718.0,zAlz89wAAAAJ,{'indices'},computer vision and pattern recognition,Ying Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zAlz89wAAAAJ&citpid=2,7614.0,66,38,137,95,0,0
696733,"Professor of Electrical and Computer Engineering, University of Illinois",,11903.0,18O0OAwAAAAJ,{'indices'},Speech|Audio|Natural Language Processing,Mark Hasegawa-Johnson,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=18O0OAwAAAAJ&citpid=5,6214.0,43,32,233,111,0,0
696734,Startup nation,,7977.0,yuXLVPEAAAAJ,{'indices'},machine learning|system diagnosis|computer vision,Ira Cohen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yuXLVPEAAAAJ&citpid=2,2630.0,37,27,67,45,0,0
696735,Huawei Cloud & AI,,27624.0,61b6eYkAAAAJ,{'indices'},Computer Vision|Multimedia Information Retrieval|Machine Learning,"Qi Tian, IEEE Fellow, Chief Scientist in...",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=61b6eYkAAAAJ&citpid=3,21428.0,80,65,388,325,0,0
696736,MIT-IBM Watson AI Lab,,5074.0,r21asW4AAAAJ,{'indices'},Machine Learning|Natural Language Processing|Computer Vision|Data Mining,SHIYU CHANG,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r21asW4AAAAJ&citpid=3,4818.0,35,34,63,58,0,0
