,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
641457,"Professor of Management, Hamburg University of Technology, Technische Universität Hamburg, TUHH",,89362,y5F176wAAAAJ,{'indices'},,Christian M. Ringle,,73156,73,64,118,101,0,0
641458,Otto-von-Guericke Universität Magdeburg,,78967,KnnmEP4AAAAJ,{'indices'},,Marko Sarstedt,,69610,70,66,120,113,0,0
641459,The University of Houston,,65643,SykbscsAAAAJ,{'indices'},,Wynne Chin,,32207,64,47,97,78,0,0
641460,Technische Universität Kaiserslautern,,5586,ZaVrhs8AAAAJ,{'indices'},,Georg Fassott,,2310,24,14,31,16,0,0
641461,Beihang University,,3454,rC-FHA4AAAAJ,{'indices'},,Huiwen Wang,,2339,19,18,35,31,0,0
641462,"Professor of Statistics, ESSEC Business School",,13999,Pn7LTYIAAAAJ,{'indices'},,Vincenzo ESPOSITO VINZI,,8249,28,22,50,35,0,0
641463,"Associate Professor of Communication, Brand and Urban Creative Cultures, Universidad de Los Andes",,1597,Bhp3eugAAAAJ,{'indices'},,Bradley Wilson,,930,16,14,22,18,0,0
641464,University of Twente,,445,ZPXMVcIAAAAJ,{'indices'},,Florian Schuberth,,444,9,9,9,9,0,0
641465,"University of South Alabama, Cleverdon Chair of Business",,257623,jMVuQpsAAAAJ,{'indices'},,"Joseph F. Hair, Jr.",,149121,94,80,402,267,0,0
641466,"Professor of International Business, The University of Auckland",,19529,-4ljMwcAAAAJ,{'indices'},,Rudolf R. Sinkovics,,13071,47,39,92,77,0,0
641467,"Chaired Professor of International Marketing, University of Vienna",,41593,f1xBBqUAAAAJ,{'indices'},,Adamantios Diamantopoulos,,19365,84,58,170,131,0,0
641468,"Professor, Temple University's Fox School of Business",,76709,YMWhx1gAAAAJ,{'indices'},,Detmar Straub,,30449,77,53,158,110,0,0
641469,Professor of Management and Sport Management (Universidad de Sevilla). www.us.es,,6511,dmuLAOkAAAAJ,{'indices'},,Gabriel Cepeda Carrion,,4563,35,29,60,54,0,0
641470,Professor of Marketing,,19577,QANMWK4AAAAJ,{'indices'},,Werner J. Reinartz,,8979,39,31,57,48,0,0
641471,Associate Professor of MIS,,6248,z0fu7_4AAAAJ,{'indices'},,Geoffrey Hubona,,4057,21,13,30,17,0,0
641472,"Professor of Business and Services Marketing, Freie Universitaet Berlin",,11578,5M0nX6kAAAAJ,{'indices'},,Andreas Eggert,,4843,41,31,63,49,0,0
641473,HWR Berlin - Berlin School of Economics and Law,,4739,QLiZ9ooAAAAJ,{'indices'},,Prof. Dr. Carsten Baumgarth,,2014,28,18,76,30,0,0
641474,"Full Professor of Marketing, Hasselt University",,11057,_0ToN-gAAAAJ,{'indices'},,Allard VAN RIEL,,5938,36,30,47,42,0,0
641475,"Professor, Auburn University",,44199,iTNxaBkAAAAJ,{'indices'},,Dave Ketchen,,22990,83,70,164,144,0,0
641476,Michigan State University,,75747,tzQFQZUAAAAJ,{'indices'},,G. Tomas M. Hult,,44161,87,69,182,155,0,0
641477,Princeton University,,5208,x00hmNAAAAAJ,{'indices'},,Luigi Martinelli,,1547,34,20,82,42,0,0
641478,"Professor, Aeronautics & Astronautics, Stanford University",,10869,UmDgUWUAAAAJ,{'indices'},,Juan J. Alonso,,5607,50,36,163,108,0,0
641479,"Engineering Specialist, Bombardier Aerospace",,1436,tEm2YYMAAAAJ,{'indices'},,Patrice Castonguay,,929,20,16,21,19,0,0
641480,"Professor of Computational Fluid Dynamics, Department of Aeronautics, Imperial College London",,2247,hL3mEmYAAAAJ,{'indices'},,Peter Vincent,,1725,25,23,39,36,0,0
641481,McGill University,,2143,t5sjjcMAAAAJ,{'indices'},,Siva Nadarajah,,1050,23,16,48,28,0,0
641482,"Professor of Mechanical and Aeronautical Engineering, Clarkson University",,1460,JcyMnCIAAAAJ,{'indices'},,Chunlei Charles Liang,,716,22,16,33,27,0,0
641483,Honda Aircraft Company,,304,aGpRAxwAAAAJ,{'indices'},,Kui Ou,,123,11,8,12,4,0,0
641484,"Professor, Mechanical Engineering, University of Wyoming",,11131,aAxJ_YsAAAAJ,{'indices'},,Dimitri Mavriplis,,3569,56,29,163,101,0,0
641485,Assistant Professor at Texas A&M University,,772,Vc5U6cgAAAAJ,{'indices'},,Freddie Witherden,,732,14,14,19,19,0,0
641486,"Professor of Mathematics, Tel Aviv University",,17668,X8RRDNUAAAAJ,{'indices'},,Eli Turkel,,3961,48,29,142,68,0,0
641487,"Assistant Professor in Mechanical Engineering, Pennsylvania State University",,389,1p2M0jAAAAAJ,{'indices'},,David Michael Williams,,293,11,10,11,11,0,0
641488,University of Kansas,,9541,b1e2kHcAAAAJ,{'indices'},,Z.J. Wang,,4256,46,34,143,85,0,0
641489,"Chair Professor, Mathematics Department, Hong Kong University of Science and Technology",,7773,dRlBzscAAAAJ,{'indices'},,Kun Xu,,4129,47,34,143,101,0,0
641490,"University of California, Irvine",,4913,XrFp6bIAAAAJ,{'indices'},,Feng Liu,,1853,37,20,100,57,0,0
641491,Carrier HVAC,,249,fX0auKsAAAAJ,{'indices'},,Jonathan Bull,,236,8,8,7,6,0,0
641492,NVIDIA Corporation,,300,qYOiBgkAAAAJ,{'indices'},,Joshua Romero,,296,9,9,7,7,0,0
641493,"PhD, Stanford University",,120,9SXCQmQAAAAJ,{'indices'},,Kartikey Asthana,,114,5,5,5,5,0,0
641494,"Professor of Applied & Computational Mathematics and Bioengineering, California Institute of",,11855,dPgyka0AAAAJ,{'indices'},,Niles A. Pierce,,5767,39,29,46,42,0,0
641495,HGST,,360,y4uA5TIAAAAJ,{'indices'},,Andre Chan,,131,9,5,8,3,0,0
641496,Stanford University,,81,aUFCBfsAAAAJ,{'indices'},,Abhishek Sheshadri,,77,5,5,5,5,0,0
641497,Michigan State University,,32792,PJxP93QAAAAJ,{'indices'},,Matthew Koehler,,19335,49,37,98,78,0,0
641498,Associate Professor of Educational Leadership and Innovation,,2154,7R3u-UAAAAAJ,{'indices'},,Danah Henriksen,,1804,23,22,44,38,0,0
641499,"University Professor, Iowa State University",,9473,Du2tYkgAAAAJ,{'indices'},,Ann D. Thompson,,3732,40,24,105,49,0,0
641500,"Associate Professor, Iowa State University",,4303,mDNRujQAAAAJ,{'indices'},,Denise Schmidt-Crawford,,2343,20,16,37,23,0,0
641501,Hoogleraar Universiteit van Amsterdam,,12538,2MYPRaoAAAAJ,{'indices'},,Joke Voogt,,8747,51,44,142,113,0,0
641502,"University of Wyoming - Assistant Professor of Learning, Design, & Technology",,1077,TI1HsQ8AAAAJ,{'indices'},,William Cain,,941,10,9,10,9,0,0
641503,"Associate Professor, School of Education, Iowa State University",,5306,Wkw9EyIAAAAJ,{'indices'},,Evrim Baran,,3750,23,21,36,34,0,0
641504,"assistant professor at california state university, fresno",,381,H7v5stAAAAAJ,{'indices'},,rohit mehta,,376,8,8,8,8,0,0
641505,"University of Kansas, University of Melbourne, University of Oregon, Michigan State University",,17469,p0S6fZEAAAAJ,{'indices'},,Yong Zhao,,7353,57,35,124,93,0,0
641506,National Institute for Curriculum Development,,3639,JRIfna0AAAAJ,{'indices'},,Petra Fisser,,2846,21,19,34,24,0,0
641507,Arizona State University,,347,6MJ2HJEAAAAJ,{'indices'},,Leigh Graves Wolf,,227,7,6,7,3,0,0
641508,"Professor, Michigan State University",,4520,E_kmtUQAAAAJ,{'indices'},,Aman Yadav,,3482,32,27,55,49,0,0
641509,Michigan State University,,914,MJFTjacAAAAJ,{'indices'},,Jon Good,,905,11,11,11,11,0,0
641510,"Learning Technologies, Drexel University",,989,_caHZ_0AAAAJ,{'indices'},,Aroutis Foster,,662,16,14,21,16,0,0
