Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
299128,"Senior Scientific Software Engineer,  University of Edinburgh",@ed.ac.uk,246798,CIQdaf8AAAAJ,{'indices'},Software Engineering|Computational Biology|HPC|Physics,Thomas Doherty,https://scholar.google.com/citations?view_op=medium_photo&user=CIQdaf8AAAAJ,105472,207,142,1711,1028,1,1
299129,"Lectuler of IT Convergence and Application Engineering, Pukyong National University",@pknu.ac.kr,67318,gFkXB5EAAAAJ,{'indices'},Software Engineering|Wireless Sensor Network|e-Learning Systems|TVET,Kim Myonghee,https://scholar.google.com/citations?view_op=medium_photo&user=gFkXB5EAAAAJ,25373,107,63,1405,659,1,1
299130,"Professor of Computer Science, Industrial&Systems Engineering, & Astronautics",@usc.edu,64405,EyAD66UAAAAJ,{'indices'},Computer Science|Software Engineering|Systems Engineering|Software Cost Estimation|Software Process,Barry Boehm,https://scholar.google.com/citations?view_op=medium_photo&user=EyAD66UAAAAJ,12231,87,41,333,130,1,1
299131,"Professor, Faculty of Computer Science and Information Technology, University of Malaya",@um.edu.my,57268,C-0T-X0AAAAJ,{'indices'},Software Engineering,Lee Sai Peck,https://scholar.google.com/citations?view_op=medium_photo&user=C-0T-X0AAAAJ,21512,100,54,1140,494,1,1
299132,IBM Corporation,@us.ibm.com,55169,Dhj9dZwAAAAJ,{'indices'},Software Engineering|Cloud Computing|Text Analytics|File systems|Storage,Soumitra Sarkar,https://scholar.google.com/citations?view_op=medium_photo&user=Dhj9dZwAAAAJ,26629,57,47,215,165,1,1
299133,Nanjing University,,51327,5c8-XCAAAAAJ,{'indices'},Recommended system|Software Engineering|Social network,Jia Liu,https://scholar.google.com/citations?view_op=medium_photo&user=5c8-XCAAAAAJ,24786,91,60,959,446,1,1
299134,Beihang University,@buaa.edu.cn,46409,WQuLq0MAAAAJ,{'indices'},software engineering,li Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=WQuLq0MAAAAJ,24007,88,61,886,529,1,1
299135,"Professor, Computer Science, MIT",@mit.edu,43812,e-c3R8QAAAAJ,{'indices'},HCI|software engineering|crowdsourcing,Robert C. Miller,https://scholar.google.com/citations?view_op=medium_photo&user=e-c3R8QAAAAJ,14561,93,52,470,206,1,1
299136,COMSATS Institute of Information Technology,@ciitvehari.edu.pk,43112,1ZJ2BD0AAAAJ,{'indices'},Software Engineering|Software Reliability Engineering|Digital Image Processing,Malik Muhammad Ali-shahid,https://scholar.google.com/citations?view_op=medium_photo&user=1ZJ2BD0AAAAJ,21289,86,56,866,532,1,1
299137,Digital Intelligent Systems (DISYS),@disys.com,42917,hdn0Ln0AAAAJ,{'indices'},Artificial Intelligence|Data Science|Software Engineering|Astrophysics|Physics,jayanti prasad,https://scholar.google.com/citations?view_op=medium_photo&user=hdn0Ln0AAAAJ,42214,59,58,116,111,1,1
299138,"Professor of Computer Science & Engineering, The Chinese University of Hong Kong",@cse.cuhk.edu.hk,40134,uQnBgK0AAAAJ,{'indices'},software engineering|software reliability|fault tolerance|machine learning|distributed systems,Michael R. Lyu,https://scholar.google.com/citations?view_op=medium_photo&user=uQnBgK0AAAAJ,18247,97,65,435,273,1,1
299139,"Professor of Quantitative Software Engineering, Keele University",@keele.ac.uk,39802,CQDOm2gAAAAJ,{'indices'},Empirical Software Engineering|Software Engineering|Empirical Methods|Statistical methods|Meta-analysis,Barbara  Ann Kitchenham,https://scholar.google.com/citations?view_op=medium_photo&user=CQDOm2gAAAAJ,19365,78,48,188,113,1,1
299140,"Professor of Electrical and Computer Engineering, Purdue University",@purdue.edu,39497,Ii7P2QQAAAAJ,{'indices'},Sensor and Camera Networks|High-Level Programming Languages|Software Engineering|Computer and Network Security,Avinash Kak,https://scholar.google.com/citations?view_op=medium_photo&user=Ii7P2QQAAAAJ,7131,62,27,186,66,1,1
