303127,Free University of Bozen-Bolzano,@unibz.it,222,zFC7S-8AAAAJ,{'indices'},Software engineering|formal methods|formal verification,Matteo Camilli,https://scholar.google.com/citations?view_op=medium_photo&user=zFC7S-8AAAAJ,170,9,8,9,6,0,1
303128,BARC,@barc.gov.in,222,x4I-EH8AAAAJ,{'indices'},Software Engineering|Formal Specification and Verification|Synchronous Languages|Software Security,AK Bhattacharjee,https://scholar.google.com/citations?view_op=medium_photo&user=x4I-EH8AAAAJ,85,8,5,6,3,0,1
303129,Iowa State University,@iastate.edu,222,GWou-UQAAAAJ,{'indices'},Scientific Computing|Computer Architecture|Software Engineering|Medical Devices|Mobile Devices,Venkata Satya Veerendra Prasad Allada,https://scholar.google.com/citations?view_op=medium_photo&user=GWou-UQAAAAJ,118,5,5,5,4,0,1
303130,UFPA,@acad.pucrs.br,222,MChFTh8AAAAJ,{'indices'},Software Engineering|Computer Supported Cooperative Work|Crowdsourcing,Leticia dos Santos Machado,https://scholar.google.com/citations?view_op=medium_photo&user=MChFTh8AAAAJ,148,8,8,6,6,0,1
303131,"Lecturer & Postdoc, Chalmers and Gothenburg Universities",@chalmers.se,222,zh0BeHIAAAAJ,{'indices'},Software Engineering|Software Design|Open Source System|Data Mining,Truong Ho-Quang,https://scholar.google.com/citations?view_op=medium_photo&user=zh0BeHIAAAAJ,212,7,7,6,6,0,1
303132,"Electrolux AB, Stockholm Sweden",@electrolux.com,222,6t5Ror8AAAAJ,{'indices'},Software Engineering|Global Software Development|Software Product Quality|Software Process Improvement,Sadhana Deshpande,https://scholar.google.com/citations?view_op=medium_photo&user=6t5Ror8AAAAJ,69,6,5,6,3,0,1
303133,Guru Gobind Singh Indraprastha University,@ipu.ac.in,222,RbSl6okAAAAJ,{'indices'},Software Testing|Artificial intelligence|software engineering,Shweta Singhal,https://scholar.google.com/citations?view_op=medium_photo&user=RbSl6okAAAAJ,148,6,5,5,4,0,1
303134,Facultad de Ingeniería. Universidad ORT Uruguay,@fi365.ort.edu.uy,222,iBjpj5wAAAAJ,{'indices'},Software startups|software engineering|knowledge management|agile methodologies,Dr. Gerardo Matturro,https://scholar.google.com/citations?view_op=medium_photo&user=iBjpj5wAAAAJ,185,8,8,7,6,0,1
303135,Postdoctoral researcher at Eindhoven University of Technology,@tue.nl,222,0_kRyLwAAAAJ,{'indices'},Software Engineering|Software Evolution|Software Analytics|Human Aspects of Software Engineering|Social Software Engineering,Felipe Ebert,https://scholar.google.com/citations?view_op=medium_photo&user=0_kRyLwAAAAJ,198,8,8,7,7,0,1
303136,bol.com,@bol.com,221,VgqFe_kAAAAJ,{'indices'},Machine Learning|Software Engineering,D.Pranantha,https://scholar.google.com/citations?view_op=medium_photo&user=VgqFe_kAAAAJ,144,6,4,3,2,0,1
303137,Tsinghua University,@mails.tsinghua.edu.cn,221,vPOeQe8AAAAJ,{'indices'},Software Engineering|Model Checking,Min Zhou,https://scholar.google.com/citations?view_op=medium_photo&user=vPOeQe8AAAAJ,139,9,6,8,4,0,1
303138,Universitas Bina Sarana Informatika,@bsi.ac.id,221,alG2aa4AAAAJ,{'indices'},Expert System|Data Mining|Software Engineering|Database,anik andriani,https://scholar.google.com/citations?view_op=medium_photo&user=alG2aa4AAAAJ,197,8,8,6,5,0,1
303139,UC Davis,@ucdavis.edu,221,hyRSLmkAAAAJ,{'indices'},Security and Privacy|Software Engineering|Machine Learning|Computer Networks,Hao Fu,https://scholar.google.com/citations?view_op=medium_photo&user=hyRSLmkAAAAJ,215,5,5,3,3,0,1
303140,Tongji University,@tongji.edu.cn,221,F2wcDOsAAAAJ,{'indices'},CSCW|Software Engineering,Hongfei Fan,https://scholar.google.com/citations?view_op=medium_photo&user=F2wcDOsAAAAJ,178,8,8,8,7,0,1
303141,Dublin City University,@dcu.ie,221,DXgY_xYAAAAJ,{'indices'},Computing|Computer Assisted Language Learning|Software Engineering|Endangered Languages|Computing Education,Monica Ward,https://scholar.google.com/citations?view_op=medium_photo&user=DXgY_xYAAAAJ,112,7,6,7,4,0,1
303142,"University of California, Berkeley",@ischool.berkeley.edu,221,gBvuEnoAAAAJ,{'indices'},data|natural language processing|software engineering,Robert L. Donaway,https://scholar.google.com/citations?view_op=medium_photo&user=gBvuEnoAAAAJ,34,4,2,4,1,0,1
303143,"Professor of Computer Science, Federal University of Goiás",,220,8wCq0dMAAAAJ,{'indices'},Software Engineering|Software Product Line,Lu Lobato,https://scholar.google.com/citations?view_op=medium_photo&user=8wCq0dMAAAAJ,77,9,4,7,2,0,1
303144,Università della Svizzera Italiana (USI),@usi.ch,220,s3RQeYQAAAAJ,{'indices'},Software Engineering,Luca Pascarella,https://scholar.google.com/citations?view_op=medium_photo&user=s3RQeYQAAAAJ,219,8,8,8,8,0,1
303145,Professor in Computer Science,@cusat.ac.in,220,LZTOVVUAAAAJ,{'indices'},Natural Language Processing|Artificial Intelligence|Software Engineering,David Peter,https://scholar.google.com/citations?view_op=medium_photo&user=LZTOVVUAAAAJ,106,9,5,7,3,0,1
303146,"PhD Student, Mälardalen University",@mdh.se,220,gHBDQykAAAAJ,{'indices'},Model-Driven Engineering|Software Engineering,Robbert Jongeling,https://scholar.google.com/citations?view_op=medium_photo&user=gHBDQykAAAAJ,216,4,4,2,2,0,1
303147,ITI - Instituto Tecnológico de Informática,@iti.es,219,HG2A98FDqroC,{'indices'},Self-adaptive Systems|Self-organised Systems|Software Architecture|Software Engineering,Cristóbal Costa-Soria,https://scholar.google.com/citations?view_op=medium_photo&user=HG2A98FDqroC,56,10,5,10,1,0,1
303148,Federal University of Ceará,@dc.ufc.br,219,xNHKGfYAAAAJ,{'indices'},Computer Science|Software Engineering|Health Informatics,João Bosco Ferreira Filho,https://scholar.google.com/citations?view_op=medium_photo&user=xNHKGfYAAAAJ,133,7,5,5,3,0,1
303149,Czech Technical University in Prague,@fel.cvut.cz,219,GEaf7-8AAAAJ,{'indices'},software engineering|ontology|management|linguistics|history,Martin Molhanec,https://scholar.google.com/citations?view_op=medium_photo&user=GEaf7-8AAAAJ,65,6,4,1,0,0,1
303150,ASML,@asml.com,219,ln2CsAEAAAAJ,{'indices'},Computational Science|Numerical Simulation|Software Engineering,Liesbeth Vanherpe,https://scholar.google.com/citations?view_op=medium_photo&user=ln2CsAEAAAAJ,113,7,6,6,4,0,1
303151,Jawaharlal Nehru Technological University Hyderabad,,219,ZcjOUGkAAAAJ,{'indices'},Cyberpolicing|Cyberpsychology|Cyberforensics|Software Engineering|Internet of Things,Dr.Kanagaluru Chandra Sekharaiah,https://scholar.google.com/citations?view_op=medium_photo&user=ZcjOUGkAAAAJ,138,7,6,3,0,0,1
303152,"COMSATS Institute of Information Technology, Lahore.",@ciitlahore.edu.pk,218,LebAwewAAAAJ,{'indices'},Software Engineering|Distributed Software Development|Software Design and Architecture|Software as a Service.,Sajid Ibrahim Hashmi,https://scholar.google.com/citations?view_op=medium_photo&user=LebAwewAAAAJ,88,6,5,5,3,0,1
303153,University of Ostrava,@osu.cz,218,nFsolvUAAAAJ,{'indices'},Expert systems|fuzzy approaches|databases|software engineering,Bogdan Walek,https://scholar.google.com/citations?view_op=medium_photo&user=nFsolvUAAAAJ,133,8,6,6,3,0,1
303154,Institut Teknologi Sepuluh Nopember,@its.ac.id,218,dBFDIUQAAAAJ,{'indices'},Game Technology|Software Engineering|Computational Intelligent,Supeno Mardi Susiki Nugroho,https://scholar.google.com/citations?view_op=medium_photo&user=dBFDIUQAAAAJ,198,7,6,3,2,0,1
303155,"Software Development Engineer, Amazon",@amazon.com,218,oLd76xUAAAAJ,{'indices'},Software Engineering,Diego Cedrim,https://scholar.google.com/citations?view_op=medium_photo&user=oLd76xUAAAAJ,214,8,8,7,7,0,1
303156,The University of Danang - University of Science and Technology,@dut.udn.vn,218,uYFPpDwAAAAJ,{'indices'},Software Engineering|Software Testing|Computational Intelligence|Machine Learning|Knowledge Mining,Le Thi My Hanh,https://scholar.google.com/citations?view_op=medium_photo&user=uYFPpDwAAAAJ,198,9,8,8,8,0,1
303157,"Member of faculty of computer engineering,North Tehran Branch, Islamic Azad University",@iau-tnb.ac.ir,218,RtiEnuEAAAAJ,{'indices'},distributed systems|software engineering|ad-hoc networks|sensor networks,sepideh adabi,https://scholar.google.com/citations?view_op=medium_photo&user=RtiEnuEAAAAJ,109,8,7,7,5,0,1
303158,explore.dev,@explore.dev,218,YVrZxlAAAAAJ,{'indices'},Programming Languages|Static Analysis|Developer Tools|Software Engineering,Marcelo Sousa,https://scholar.google.com/citations?view_op=medium_photo&user=YVrZxlAAAAAJ,209,7,7,6,5,0,1
