,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
677887,"Professor, University of Oulu, Finland",,4454,hiQnvicAAAAJ,{'indices'},,Burak Turhan,,2830,34,26,71,58,0,0
677888,Professor in Applied Computational Logic,,4320,_6zceo4AAAAJ,{'indices'},,alessandra russo,,1672,33,23,95,50,0,0
677889,"Lecturer in Machine Learning, University College London",,420,DtFpmGMAAAAJ,{'indices'},,Luke Dickens,,245,10,8,11,7,0,0
677890,Chalmers | University of Gothenburg,,2021,jlnAa9cAAAAJ,{'indices'},,Eric Knauss,,1255,28,21,59,44,0,0
677891,"Assistant Prof. at Faculty of Computer and Informatics Engineering, Istanbul Technical University",,1572,KktAed0AAAAJ,{'indices'},,Ayşe Tosun,,1061,22,19,33,28,0,0
677892,"Head of the Institute of Software Security, Hamburg University of Technology (TUHH)",,2507,xul68AwAAAAJ,{'indices'},,Riccardo Scandariato,,1608,24,19,54,33,0,0
677893,Chalmers and University of Gothenburg,,104,5lOAGbwAAAAJ,{'indices'},,Katja Tuma,,104,5,5,3,3,0,0
677894,University of Gothenburg/Chalmers University of Technology,,2914,mQvdcosAAAAJ,{'indices'},,Jennifer Horkoff,,1832,28,22,56,45,0,0
677895,"Imperial College London, ILASP Limited",,407,A5JWIs0AAAAJ,{'indices'},,Mark Law,,396,11,11,13,12,0,0
677896,The Open University,,208,qM5W0TsAAAAJ,{'indices'},,Vikram Mehta,,187,5,5,4,4,0,0
677897,"Senior Software Engineer, BBC News Labs",,328,Tu3HBDwAAAAJ,{'indices'},,Roo Hutton,,256,10,8,10,8,0,0
677898,"Research Software Engineer, The Open University",,16441,65Ml3t4AAAAJ,{'indices'},,Ciaran McCormick,,7422,9,8,9,8,0,0
677899,Chalmers and Makerere University Uganda,,147,q7EbjzAAAAAJ,{'indices'},,Rashidah Kasauli,,145,6,6,6,6,0,0
677900,"Lecturer of Software Engineering, Makerere University",,170,JCgWgFEAAAAJ,{'indices'},,Benjamin Kanagwa,,142,6,6,4,4,0,0
677901,"Software Technology and Artificial Intelligence Research Lab, Chiba Institute of Technology",,271,26t7BlUAAAAJ,{'indices'},,Masatomo Hashimoto,,97,8,5,3,1,0,0
677902,"Professor of Computer Science, JAIST",,5217,v8q9HiEAAAAJ,{'indices'},,Kokichi FUTATSUGI,,553,29,12,87,14,0,0
677903,University of Illinois at Urbana Champaign,,12596,yxpqbdQAAAAJ,{'indices'},,Grigore Rosu,,4372,60,36,186,91,0,0
677904,University of Bristol,,4999,kS0oatgAAAAJ,{'indices'},,Bogdan Warinschi,,2150,37,24,65,46,0,0
677905,National Institute of Advanced Industrial Science and Technology (AIST),,191,t8FlvzEAAAAJ,{'indices'},,Koichiro Eto,,45,6,4,4,1,0,0
677906,Wuhan University of Technology,,711,G-WVAWsAAAAJ,{'indices'},,Jianwen Xiang,,450,15,12,24,16,0,0
677907,"KTH Royal Institute of Technology, Sweden",,2178,wrWmPRQAAAAJ,{'indices'},,Cyrille Artho,,856,24,16,46,25,0,0
677908,AIST,,228,LMKCmzsAAAAJ,{'indices'},,Takashi Kitamura,,194,10,9,10,8,0,0
677909,AIST,,330,LNpF8j0AAAAJ,{'indices'},,Eun-Hye Choi,,192,10,9,12,8,0,0
677910,"Senior Researcher, National Institute of Advanced Industrial Science and Technology (AIST)",,285,lL_rG2gAAAAJ,{'indices'},,Yoriyuki Yamagata,,248,8,7,7,6,0,0
677911,Software Competence Center Hagenberg GmbH (SCCH),,1509,1P57apAAAAAJ,{'indices'},,Rudolf Ramler,,893,20,16,39,30,0,0
677912,"Univ.-Prof., JKU Linz",,2440,SBGtDbMAAAAJ,{'indices'},,Martina Seidl,,1372,28,20,62,40,0,0
677913,"National Institute of Technology, Toyota College",,220,nLOBSWYAAAAJ,{'indices'},,Kenji Fujiwara,,160,7,6,7,4,0,0
677914,JAIST,,1491,NQqOx68AAAAJ,{'indices'},,Kazuhiro Ogata,,398,20,9,46,7,0,0
677915,Xi'an University of Posts and Telecommunications,,385,Rz5GXAoAAAAJ,{'indices'},,Zhenzhou Tian,,359,8,8,8,8,0,0
677916,西安交通大学; Xi'an Jiaotong University,,1609,vcG2mn8AAAAJ,{'indices'},,刘烃; Ting Liu,,1406,22,21,40,33,0,0
677917,The Hong Kong Polytechnic University,,5710,uvedrYMAAAAJ,{'indices'},,Xiapu Luo,,4368,41,34,96,84,0,0
