,author_1,author_2
81862,VxOmZDgAAAAJ,G5zYeD8AAAAJ
81863,VxOmZDgAAAAJ,o5f46UgAAAAJ
81864,VxOmZDgAAAAJ,406xy9MAAAAJ
81865,VxOmZDgAAAAJ,RFRua_AAAAAJ
81866,VxOmZDgAAAAJ,XtESOY8AAAAJ
81867,VxOmZDgAAAAJ,x_OfflAAAAAJ
81868,VxOmZDgAAAAJ,HXCMYLsAAAAJ
81869,VxOmZDgAAAAJ,ixygDCsAAAAJ
81870,VxOmZDgAAAAJ,206DEM0AAAAJ
81871,VxOmZDgAAAAJ,CM2zuJkAAAAJ
81872,VxOmZDgAAAAJ,EpCh6W8AAAAJ
81873,VxOmZDgAAAAJ,NraZpoIAAAAJ
81874,VxOmZDgAAAAJ,QIZHj9MAAAAJ
81875,VxOmZDgAAAAJ,ZdWMJlcAAAAJ
81876,VxOmZDgAAAAJ,qYrr0JwAAAAJ
81877,VxOmZDgAAAAJ,PLGDUWAAAAAJ
81878,VxOmZDgAAAAJ,WaxOK7UAAAAJ
81879,VxOmZDgAAAAJ,fb2iQfwAAAAJ
81880,VxOmZDgAAAAJ,cDqqaeUAAAAJ
81881,VxOmZDgAAAAJ,u8qmhKYAAAAJ
81882,M6Etr6oAAAAJ,zXAyIo0AAAAJ
81883,M6Etr6oAAAAJ,Av-VeeEAAAAJ
81884,M6Etr6oAAAAJ,QqRR0osAAAAJ
81885,M6Etr6oAAAAJ,LvfaFIIAAAAJ
81886,M6Etr6oAAAAJ,XwAaptMAAAAJ
81887,M6Etr6oAAAAJ,cwT02HYAAAAJ
81888,M6Etr6oAAAAJ,3lT7CoMAAAAJ
81889,M6Etr6oAAAAJ,7cA8YgMAAAAJ
81890,M6Etr6oAAAAJ,5j7V_lUAAAAJ
81891,M6Etr6oAAAAJ,lUCR9rIAAAAJ
81892,M6Etr6oAAAAJ,YTh64j8AAAAJ
81893,M6Etr6oAAAAJ,tGgctt4AAAAJ
81894,M6Etr6oAAAAJ,Ff13MYIAAAAJ
81895,M6Etr6oAAAAJ,F4P3ghEAAAAJ
81896,M6Etr6oAAAAJ,7wAzvKIAAAAJ
81897,M6Etr6oAAAAJ,hoejIlAAAAAJ
81898,M6Etr6oAAAAJ,H8YsneQAAAAJ
81899,M6Etr6oAAAAJ,4R7_wW8AAAAJ
81900,M6Etr6oAAAAJ,5XdNlE8AAAAJ
81901,M6Etr6oAAAAJ,q4JtNUkAAAAJ
81902,0b1Q-3cAAAAJ,rGGBNJgAAAAJ
81903,0b1Q-3cAAAAJ,fzimDsYAAAAJ
81904,0b1Q-3cAAAAJ,UMESq3MAAAAJ
81905,0b1Q-3cAAAAJ,_3xrhMAAAAAJ
81906,0b1Q-3cAAAAJ,X5WtxsgAAAAJ
81907,0b1Q-3cAAAAJ,ACE29vIAAAAJ
81908,0b1Q-3cAAAAJ,CFZfq6AAAAAJ
81909,0b1Q-3cAAAAJ,uLZ5Xl8AAAAJ
81910,0b1Q-3cAAAAJ,lNxlSBQAAAAJ
81911,0b1Q-3cAAAAJ,pM5gtbkAAAAJ
81912,0b1Q-3cAAAAJ,f8Q2LccAAAAJ
81913,0b1Q-3cAAAAJ,xDm-y_0AAAAJ
81914,0b1Q-3cAAAAJ,mMF6tLkAAAAJ
81915,0b1Q-3cAAAAJ,peGg0YEAAAAJ
81916,0b1Q-3cAAAAJ,wODzSMoAAAAJ
81917,0b1Q-3cAAAAJ,3K4FdCoAAAAJ
81918,0b1Q-3cAAAAJ,P2bcmdIAAAAJ
81919,0b1Q-3cAAAAJ,p0eGXuYAAAAJ
81920,0b1Q-3cAAAAJ,rxvEwJIAAAAJ
81921,0b1Q-3cAAAAJ,Yrmj5asAAAAJ
81922,4R7_wW8AAAAJ,qFmoeNkAAAAJ
81923,4R7_wW8AAAAJ,GxlXjFkAAAAJ
81924,4R7_wW8AAAAJ,HA9NPoEAAAAJ
81925,4R7_wW8AAAAJ,sWkHMacAAAAJ
81926,4R7_wW8AAAAJ,BP3ofxcAAAAJ
81927,4R7_wW8AAAAJ,GPRquTYAAAAJ
81928,4R7_wW8AAAAJ,r06O54MAAAAJ
81929,4R7_wW8AAAAJ,4iB725QAAAAJ
81930,4R7_wW8AAAAJ,88ga38YAAAAJ
81931,4R7_wW8AAAAJ,C79osIsAAAAJ
81932,4R7_wW8AAAAJ,Jul6HHYAAAAJ
81933,4R7_wW8AAAAJ,nuyBlicAAAAJ
81934,4R7_wW8AAAAJ,M6Etr6oAAAAJ
81935,4R7_wW8AAAAJ,z_1mfIkAAAAJ
81936,4R7_wW8AAAAJ,EeGzvqwAAAAJ
81937,4R7_wW8AAAAJ,eiP4TqIAAAAJ
81938,4R7_wW8AAAAJ,m1lhgKgAAAAJ
81939,4R7_wW8AAAAJ,IidSQ0UAAAAJ
81940,4R7_wW8AAAAJ,FN5pfboAAAAJ
81941,4R7_wW8AAAAJ,hssvolwAAAAJ
81942,D847cGsAAAAJ,go3ok5sAAAAJ
81943,Ap0K7rUAAAAJ,oYUWc7YAAAAJ
81944,Ap0K7rUAAAAJ,V8Ueo9cAAAAJ
81945,Ap0K7rUAAAAJ,h9DQ2SYAAAAJ
81946,Ap0K7rUAAAAJ,3KeXQ2cAAAAJ
81947,Ap0K7rUAAAAJ,7fhGnVEAAAAJ
81948,Ap0K7rUAAAAJ,_KTRRAcAAAAJ
81949,Ap0K7rUAAAAJ,FKr7J48AAAAJ
81950,Ap0K7rUAAAAJ,O8OszPcAAAAJ
81951,Ap0K7rUAAAAJ,DXFhSQwAAAAJ
81952,Ap0K7rUAAAAJ,4ughzM0AAAAJ
81953,Ap0K7rUAAAAJ,ZhNFzz8AAAAJ
81954,Ap0K7rUAAAAJ,KxEwP9UAAAAJ
81955,Ap0K7rUAAAAJ,X1LtPGcAAAAJ
81956,Ap0K7rUAAAAJ,xjYIe80AAAAJ
81957,Ap0K7rUAAAAJ,cBmSFFMAAAAJ
81958,Ap0K7rUAAAAJ,IqfO9U8AAAAJ
81959,Ap0K7rUAAAAJ,HHdszD0AAAAJ
81960,Ap0K7rUAAAAJ,_6Fh2pwAAAAJ
81961,Ap0K7rUAAAAJ,NkdZJvkAAAAJ
81962,Ap0K7rUAAAAJ,xUGOXvEAAAAJ
81963,VGGBqAUAAAAJ,A2NaTjoAAAAJ
81964,VGGBqAUAAAAJ,2WBRFVIAAAAJ
81965,VGGBqAUAAAAJ,OpCdJIEAAAAJ
81966,VGGBqAUAAAAJ,Ef3qHvoAAAAJ
81967,VGGBqAUAAAAJ,BFuK-JEAAAAJ
81968,VGGBqAUAAAAJ,PfC17QsAAAAJ
81969,VGGBqAUAAAAJ,L5HWvdIAAAAJ
81970,VGGBqAUAAAAJ,-kMR4rwAAAAJ
81971,VGGBqAUAAAAJ,4IG4aXgAAAAJ
81972,VGGBqAUAAAAJ,MCqFgksAAAAJ
81973,VGGBqAUAAAAJ,9h2dGW8AAAAJ
81974,VGGBqAUAAAAJ,Ids2ILYAAAAJ
81975,VGGBqAUAAAAJ,_bVeyFQAAAAJ
81976,VGGBqAUAAAAJ,a5xiIfQAAAAJ
81977,VGGBqAUAAAAJ,tP0i83IAAAAJ
81978,VGGBqAUAAAAJ,FMKgGDAAAAAJ
81979,VGGBqAUAAAAJ,cUDsvDwAAAAJ
81980,VGGBqAUAAAAJ,TjHOIXcAAAAJ
81981,VGGBqAUAAAAJ,IngfbB0AAAAJ
81982,VGGBqAUAAAAJ,OK8Z30IAAAAJ
81983,aNFzP50AAAAJ,gPaRF9kAAAAJ
81984,aNFzP50AAAAJ,ScXat-4AAAAJ
81985,aNFzP50AAAAJ,L_JGehAAAAAJ
81986,aNFzP50AAAAJ,C0ANojIAAAAJ
81987,aNFzP50AAAAJ,jlfYejEAAAAJ
81988,aNFzP50AAAAJ,3MBv8rIAAAAJ
81989,aNFzP50AAAAJ,O3FVg9AAAAAJ
81990,aNFzP50AAAAJ,qY6KJI4AAAAJ
81991,aNFzP50AAAAJ,08MxPVAAAAAJ
81992,aNFzP50AAAAJ,1kaW8bwAAAAJ
81993,aNFzP50AAAAJ,2oXpzgQAAAAJ
81994,aNFzP50AAAAJ,C_IyouIAAAAJ
81995,aNFzP50AAAAJ,zkQ1gkQAAAAJ
81996,aNFzP50AAAAJ,skDE7oIAAAAJ
81997,aNFzP50AAAAJ,BakrjRgAAAAJ
81998,aNFzP50AAAAJ,14ZS0KwAAAAJ
81999,aNFzP50AAAAJ,FXbbGUYAAAAJ
82000,aNFzP50AAAAJ,cQR_dxAAAAAJ
82001,aNFzP50AAAAJ,CdY4zVMAAAAJ
82002,aNFzP50AAAAJ,XCo4OfoAAAAJ
82003,v811KJoAAAAJ,WMhS0lAAAAAJ
82004,v811KJoAAAAJ,LLwsG08AAAAJ
82005,v811KJoAAAAJ,g0s8hgEAAAAJ
82006,v811KJoAAAAJ,XyKS-LsAAAAJ
82007,v811KJoAAAAJ,ZliYSzgAAAAJ
82008,v811KJoAAAAJ,3esPc64AAAAJ
82009,v811KJoAAAAJ,JoztQKcAAAAJ
82010,v811KJoAAAAJ,NjzvH3kAAAAJ
82011,v811KJoAAAAJ,X6OfpGwAAAAJ
82012,v811KJoAAAAJ,5Ks1HwsAAAAJ
82013,v811KJoAAAAJ,b1zZKS4AAAAJ
82014,v811KJoAAAAJ,1JGsAmUAAAAJ
82015,v811KJoAAAAJ,5q0DNGIAAAAJ
82016,v811KJoAAAAJ,z2foFg4AAAAJ
82017,OghCU6kAAAAJ,rywPBOQAAAAJ
82018,OghCU6kAAAAJ,Z_-fdA4AAAAJ
82019,OghCU6kAAAAJ,HjbwtPoAAAAJ
82020,OghCU6kAAAAJ,D3CqfBkAAAAJ
82021,OghCU6kAAAAJ,SNWxvx8AAAAJ
82022,OghCU6kAAAAJ,mQrdLlMAAAAJ
82023,OghCU6kAAAAJ,l9PnVUEAAAAJ
82024,OghCU6kAAAAJ,8fpNZz0AAAAJ
82025,OghCU6kAAAAJ,eTKwJysAAAAJ
82026,OghCU6kAAAAJ,PjLm1ysAAAAJ
82027,OghCU6kAAAAJ,qIqwbxgAAAAJ
82028,OghCU6kAAAAJ,IWoYKAIAAAAJ
82029,OghCU6kAAAAJ,sZO6mJsAAAAJ
82030,OghCU6kAAAAJ,UwVriB0AAAAJ
82031,OghCU6kAAAAJ,W-tgDhYAAAAJ
82032,OghCU6kAAAAJ,BrDTVwcAAAAJ
82033,OghCU6kAAAAJ,vsVnST4AAAAJ
82034,OghCU6kAAAAJ,ylj48ccAAAAJ
82035,OghCU6kAAAAJ,lNP8eNAAAAAJ
82036,OghCU6kAAAAJ,yeSm0PMAAAAJ
82037,SN2zDOEAAAAJ,JCSZqzsAAAAJ
82038,zorKm2EAAAAJ,JHSWOxwAAAAJ
82039,zorKm2EAAAAJ,0BQzlisAAAAJ
82040,zorKm2EAAAAJ,O_-tZGMAAAAJ
82041,zorKm2EAAAAJ,Sha9_3YAAAAJ
82042,zorKm2EAAAAJ,KQmxwHwAAAAJ
82043,zorKm2EAAAAJ,TJO0VOwAAAAJ
